gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
IDI1,0.1492020489591523,0.1492020489591523,0.1492020489591523,human,UP
NAB1,0.1441552377755508,0.1441552377755508,0.1441552377755508,human,UP
TMED5,0.1437513899860592,0.1437513899860592,0.1437513899860592,human,UP
COL4A1,0.1434483396919868,0.1434483396919868,0.1434483396919868,human,UP
CD59,0.1394574691943946,0.1394574691943946,0.1394574691943946,human,UP
VMP1,0.1292376210007378,0.1292376210007378,0.1292376210007378,human,UP
CPNE8,0.1265673225773413,0.1265673225773413,0.1265673225773413,human,UP
LAMC1,0.1265209043558655,0.1265209043558655,0.1265209043558655,human,UP
ACSL4,0.1261592922242813,0.1261592922242813,0.1261592922242813,human,UP
LSM10,0.1251757418451145,0.1251757418451145,0.1251757418451145,human,UP
SNX9,0.1218775833886693,0.1218775833886693,0.1218775833886693,human,UP
RPS10,0.1181425110809502,0.1181425110809502,0.1181425110809502,human,UP
C1R,0.1141107796937761,0.1141107796937761,0.1141107796937761,human,UP
RNF168,0.1136866570039587,0.1136866570039587,0.1136866570039587,human,UP
FAR1,0.1135775710679199,0.1135775710679199,0.1135775710679199,human,UP
SERPING1,0.1070353578894936,0.1070353578894936,0.1070353578894936,human,UP
MED6,0.0989314680740942,0.0989314680740942,0.0989314680740942,human,UP
DRAP1,0.095326829997864,0.095326829997864,0.095326829997864,human,UP
RGS3,0.0936737046372936,0.0936737046372936,0.0936737046372936,human,UP
PPP1R12A,0.0914467468642257,0.0914467468642257,0.0914467468642257,human,UP
FAU,0.0896997165699531,0.0896997165699531,0.0896997165699531,human,UP
CCNH,0.0855780907213755,0.0855780907213755,0.0855780907213755,human,UP
LRRC41,0.0742679891549079,0.0742679891549079,0.0742679891549079,human,UP
DCTN6,0.073494037411425,0.073494037411425,0.073494037411425,human,UP
COL1A1,0.0712802764836197,0.0712802764836197,0.0712802764836197,human,UP
TP53BP2,0.0704934317347252,0.0704934317347252,0.0704934317347252,human,UP
