gene_symbol,mean_logfc,median_logfc,common_experiment,organism
KTN1,-0.0649789791090666,-0.0649789791090666,-0.0649789791090666,human
SNX3,-0.1786999397242708,-0.1786999397242708,-0.1786999397242708,human
RPL34,-0.0089382585315611,-0.0089382585315611,-0.0089382585315611,human
PTGES3,-0.1677212903301002,-0.1677212903301002,-0.1677212903301002,human
HIST1H1C,0.0318950655418713,0.0318950655418713,0.0318950655418713,human
COL21A1,-0.1686144486302788,-0.1686144486302788,-0.1686144486302788,human
PPIB,-0.0407719069211101,-0.0407719069211101,-0.0407719069211101,human
DLGAP5,-0.203195166088352,-0.203195166088352,-0.203195166088352,human
RPL11,0.0283801101773999,0.0283801101773999,0.0283801101773999,human
RASSF3,0.1259526741920743,0.1259526741920743,0.1259526741920743,human
ARHGEF15,0.0187595830458781,0.0187595830458781,0.0187595830458781,human
SQSTM1,-0.3084476435526007,-0.3084476435526007,-0.3084476435526007,human
SRGAP1,0.0543972708883278,0.0543972708883278,0.0543972708883278,human
MT-ATP6,0.1856091042542669,0.1856091042542669,0.1856091042542669,human
CTNNAL1,-0.3188488835640728,-0.3188488835640728,-0.3188488835640728,human
KAT6B,-0.1336141367732449,-0.1336141367732449,-0.1336141367732449,human
IGFBP2,-0.324786469257446,-0.324786469257446,-0.324786469257446,human
PDLIM4,0.7681268125241467,0.7681268125241467,0.7681268125241467,human
RAB7A,-0.1010157145096227,-0.1010157145096227,-0.1010157145096227,human
RPL5,-0.0861308297680549,-0.0861308297680549,-0.0861308297680549,human
PRC1,-0.2972589715012054,-0.2972589715012054,-0.2972589715012054,human
RPL6,-0.1716671985189571,-0.1716671985189571,-0.1716671985189571,human
RPS19,0.0263098890394513,0.0263098890394513,0.0263098890394513,human
HDAC7,-0.0590819090256542,-0.0590819090256542,-0.0590819090256542,human
CST3,-0.1092822211732325,-0.1092822211732325,-0.1092822211732325,human
CCN2,0.2651819974529315,0.2651819974529315,0.2651819974529315,human
PLAAT3,-0.2768039796061228,-0.2768039796061228,-0.2768039796061228,human
HYAL2,0.1442304545486315,0.1442304545486315,0.1442304545486315,human
PHF1,0.1233234919599803,0.1233234919599803,0.1233234919599803,human
HLA-F,0.0435730756564651,0.0435730756564651,0.0435730756564651,human
BHLHE40,0.1438725490546087,0.1438725490546087,0.1438725490546087,human
ICAM2,0.1278091295175519,0.1278091295175519,0.1278091295175519,human
RPL17,-0.071053603914418,-0.071053603914418,-0.071053603914418,human
RHOU,0.0194511203797569,0.0194511203797569,0.0194511203797569,human
SHB,-0.0050433696520579,-0.0050433696520579,-0.0050433696520579,human
IRAK3,0.2319470497280555,0.2319470497280555,0.2319470497280555,human
UBE2D3,-0.0286703476640921,-0.0286703476640921,-0.0286703476640921,human
RAC1,-0.0085635683152669,-0.0085635683152669,-0.0085635683152669,human
RND1,0.3176668827222641,0.3176668827222641,0.3176668827222641,human
CSRNP1,0.1302073027924802,0.1302073027924802,0.1302073027924802,human
RPL41,-0.0156365020675073,-0.0156365020675073,-0.0156365020675073,human
