gene_symbol,logfc_dz:912,logfc_dz:913,logfc_dz:503,logfc_dz:877,logfc_dz:878,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS10,,,0.0303511433303356,0.052331905812025,,0.0413415245711803,0.0413415245711803,,human,UP
NEB,0.0312711186707019,0.0721870362758636,0.0400706753134727,0.0214401520788669,,0.0412422455847263,0.0356708969920873,0.0312711186707019,human,UP
FSTL1,,0.0206337440758943,0.0463855899870395,0.0544852130115032,0.0432441160082817,0.0411871657706797,0.0448148529976606,,human,UP
HMGN2,,,0.0484714210033416,0.0419612079858779,0.0330452024936676,0.0411592771609624,0.0419612079858779,,human,UP
H3F3AP4,,0.025574030354619,0.05508653819561,0.0498901419341564,0.0328898876905441,0.0408601495437324,0.0413900148123502,,human,UP
FLNC,-0.0273271948099136,-0.0111377649009227,0.0845161527395248,0.1112220510840416,0.0448132120072841,0.0404172912240028,0.0448132120072841,-0.0273271948099136,human,UP
RPL24,,,0.0395405143499374,0.0397513806819915,,0.0396459475159645,0.0396459475159645,,human,UP
ALPK3,,,0.0421216115355491,0.0452275089919567,0.0312410648912191,0.0395300618062416,0.0421216115355491,,human,UP
EEF1A1,0.0131365889683365,0.0570998564362525,0.0325928069651126,0.0366650782525539,0.0508008748292923,0.0380590410903096,0.0366650782525539,0.0131365889683365,human,UP
HNRNPA1P10,0.0144517058506608,0.0276095289736986,0.0560530088841915,0.0511405989527702,0.0348607897758483,0.0368231264874339,0.0348607897758483,0.0144517058506608,human,UP
COL15A1,-0.0152327502146363,0.0213628429919481,0.0573525540530681,0.0605709366500377,0.0568428374826908,0.0361792841926217,0.0568428374826908,-0.0152327502146363,human,UP
RPL7A,,0.0102746067568659,0.0427940376102924,0.0554184205830097,,0.0361623549833893,0.0427940376102924,,human,UP
MYBPC1,0.0211667846888303,0.1474341452121734,0.0366388000547885,0.0270247887820005,-0.0523205436766147,0.0359887950122356,0.0270247887820005,0.0211667846888303,human,UP
ATF3,,,0.0204866025596857,0.0505060479044914,,0.0354963252320885,0.0354963252320885,,human,UP
CSDE1,0.0265854615718126,0.024950860068202,0.0384918674826622,0.0447519198060035,,0.0336950272321701,0.0325386645272374,0.0265854615718126,human,UP
CAPN3,0.0228211395442485,0.0209518056362867,0.053922276943922,0.0360414274036884,0.0334346778690815,0.0334342654794454,0.0334346778690815,0.0228211395442485,human,UP
RPS26,0.0260048396885395,0.0258757285773754,0.0450910069048404,0.0363471880555152,,0.0333296908065676,0.0311760138720273,0.0260048396885395,human,UP
S100A4,0.0384336970746517,0.0268759820610284,,,,0.0326548395678401,0.0326548395678401,0.0384336970746517,human,UP
ENAH,,,0.0322877801954746,0.0511000826954841,0.0137564726173877,0.0323814451694488,0.0322877801954746,,human,UP
MMADHC,0.010965010151267,0.0186797268688678,0.0584483817219734,0.0370851531624794,,0.0312945679761469,0.0278824400156736,0.010965010151267,human,UP
TMEM70,,-0.0113264750689268,0.0631582885980606,0.0475956499576568,0.0246455539017915,0.0310182543471455,0.0361206019297242,,human,UP
CASQ2,-0.0265069138258695,0.0161183830350637,0.0572578571736812,0.0743631571531295,0.0334602147340774,0.0309385396540164,0.0334602147340774,-0.0265069138258695,human,UP
IFRD1,,,0.032369066029787,0.0376674719154834,0.0222625564783811,0.0307663648078839,0.032369066029787,,human,UP
FOS,0.0300932489335536,,,,,0.0300932489335536,0.0300932489335536,0.0300932489335536,human,UP
RPS23,0.0319096557796001,-0.0150472614914178,0.0759677439928054,0.0716210007667541,-0.0145040452480316,0.029989418759942,0.0319096557796001,0.0319096557796001,human,UP
APOBEC2,0.0256051514297723,0.0840185284614563,0.0381662175059318,0.0166003555059433,-0.0171886086463928,0.0294403288513422,0.0256051514297723,0.0256051514297723,human,UP
MYOT,0.0084924846887588,0.0744238048791885,0.0386984758079052,0.051421295851469,-0.0285858735442161,0.028890037536621,0.0386984758079052,0.0084924846887588,human,UP
COL6A3,,,0.0189891215413808,0.0337537266314029,0.0334822684526443,0.0287417055418094,0.0334822684526443,,human,UP
DYNLT1,,,0.0275540295988321,0.0296918582171201,,0.0286229439079761,0.0286229439079761,,human,UP
