id,cell_type,ctrl_ids,disease_name,geo_id,organism,pert_ids,platform,version
dz:P214,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163300|GSM1163301|GSM1163302,GPL6480,2.0
dz:P215,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163303|GSM1163304|GSM1163305|GSM1163306,GPL6480,2.0
dz:P2460,Cells|Peripheral blood mononuclear cell (cell),GSM844142|GSM844143|GSM844195|GSM844199,Communicable Diseases|Influenza,GSE34205,human,GSM844149|GSM844152|GSM844233,GPL570,2.0
dz:P2462,Cells|Peripheral blood mononuclear cell (cell),GSM844142|GSM844143|GSM844195|GSM844199,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844157|GSM844215,GPL570,2.0
dz:P2463,Cells|Peripheral blood mononuclear cell (cell),GSM844142|GSM844143|GSM844195|GSM844199,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844158|GSM844176|GSM844178|GSM844185|GSM844220,GPL570,2.0
dz:P2464,Cells|Peripheral blood mononuclear cell (cell),GSM844142|GSM844143|GSM844195|GSM844199,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844159|GSM844210,GPL570,2.0
dz:P2466,Cells|Peripheral blood mononuclear cell (cell),GSM844142|GSM844143|GSM844195|GSM844199,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844163|GSM844189|GSM844222,GPL570,2.0
dz:P2467,Cells|Peripheral blood mononuclear cell (cell),GSM844142|GSM844143|GSM844195|GSM844199,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844168|GSM844177,GPL570,2.0
dz:P2468,Cells|Peripheral blood mononuclear cell (cell),GSM844142|GSM844143|GSM844195|GSM844199,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844169|GSM844183,GPL570,2.0
dz:P2469,Cells|Peripheral blood mononuclear cell (cell),GSM844142|GSM844143|GSM844195|GSM844199,Communicable Diseases|Influenza|Respiratory Syncytial Virus Infections,GSE34205,human,GSM844172|GSM844175|GSM844230,GPL570,2.0
dz:P2832,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983485|GSM983486,"Pneumonia, Bacterial|Influenza|Pneumonia",GSE40012,human,GSM983406|GSM983411|GSM983414|GSM983416|GSM983417,GPL6947,2.0
dz:P1726,Cervical Atlas|Tissue membrane|Hip region structure|Lower Extremity|Muscle|Muscle|Structure of extensor digitorum longus muscle of foot|Digit structure|Leg|Entire sciatic nerve,GSM30359|GSM30360|GSM30378|GSM30382|GSM30383|GSM30387,,GSE1741,rat,GSM30385|GSM30395,GPL154,2.0
dz:P311,Cells,GSM1163537|GSM1163538|GSM1163539,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47962,human,GSM1163557|GSM1163558|GSM1163559,GPL6480,2.0
dz:P231,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163374|GSM1163375|GSM1163376|GSM1163393,GPL6480,2.0
dz:P237,Cells,GSM1163322|GSM1163323|GSM1163324|GSM1163325,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163241|GSM1163242|GSM1163243|GSM1163244,GPL6480,2.0
dz:P2699,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983471|GSM983472,"Pneumonia, Bacterial|Influenza|Pneumonia",GSE40012,human,GSM983406|GSM983411|GSM983414|GSM983416|GSM983417,GPL6947,2.0
dz:P2793,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983479|GSM983480,Influenza|Pneumonia|Systemic Inflammatory Response Syndrome|Inflammatory Response,GSE40012,human,GSM983583|GSM983584,GPL6947,2.0
dz:P2698,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983469|GSM983470,Influenza|Pneumonia|Systemic Inflammatory Response Syndrome|Inflammatory Response,GSE40012,human,GSM983583|GSM983584,GPL6947,2.0
dz:P1520,whole blood specimen|Blood|Body tissue,GSM1637686|GSM1637688,Communicable Diseases,GSE67059,human,GSM1637694|GSM1637697,"[GPL6947, GPL10558]",2.0
dz:P1521,whole blood specimen|Blood|Body tissue,GSM1637686|GSM1637688,Communicable Diseases,GSE67059,human,GSM1637695|GSM1637714,"[GPL6947, GPL10558]",2.0
dz:P1522,whole blood specimen|Blood|Body tissue,GSM1637686|GSM1637688,Communicable Diseases,GSE67059,human,GSM1637698|GSM1637699|GSM1637700|GSM1637717,"[GPL6947, GPL10558]",2.0
dz:P1523,whole blood specimen|Blood|Body tissue,GSM1637686|GSM1637688,Communicable Diseases,GSE67059,human,GSM1637708|GSM1637711,"[GPL6947, GPL10558]",2.0
dz:P1525,whole blood specimen|Blood|Body tissue,GSM1637686|GSM1637688,Communicable Diseases,GSE67059,human,GSM1637751|GSM1637753,"[GPL6947, GPL10558]",2.0
dz:P1526,whole blood specimen|Blood|Body tissue,GSM1637686|GSM1637688,Communicable Diseases,GSE67059,human,GSM1637755|GSM1637763,"[GPL6947, GPL10558]",2.0
dz:P1527,whole blood specimen|Blood|Body tissue,GSM1637686|GSM1637688,Communicable Diseases,GSE67059,human,GSM1637788|GSM1637789,"[GPL6947, GPL10558]",2.0
dz:P1528,whole blood specimen|Blood|Body tissue,GSM1637686|GSM1637688,Communicable Diseases,GSE67059,human,GSM1637796|GSM1637797,"[GPL6947, GPL10558]",2.0
dz:P551,Kidney|Body tissue|Medulla,GSM1321644|GSM1321645|GSM1321646|GSM1321647|GSM1321648|GSM1321649,Toxic nephropathy,GSE54674,mouse,GSM1321641|GSM1321642|GSM1321643,GPL6885,2.0
dz:P550,Kidney|Body tissue|Medulla,GSM1321644|GSM1321645|GSM1321646|GSM1321647|GSM1321648|GSM1321649,Toxic nephropathy,GSE54674,mouse,GSM1321629|GSM1321630|GSM1321631,GPL6885,2.0
dz:P553,Kidney|Body tissue|Cortex of Organ|Medulla,GSM1321650|GSM1321651|GSM1321652,Toxic nephropathy,GSE54674,mouse,GSM1321572|GSM1321573|GSM1321574|GSM1321611|GSM1321612|GSM1321613,GPL6885,2.0
dz:P552,Kidney|Body tissue|Medulla,GSM1321644|GSM1321645|GSM1321646|GSM1321647|GSM1321648|GSM1321649,Toxic nephropathy,GSE54674,mouse,GSM1321653|GSM1321654|GSM1321655|GSM1321668|GSM1321669|GSM1321670,GPL6885,2.0
dz:P555,Kidney|Body tissue|Cortex of Organ|Medulla,GSM1321650|GSM1321651|GSM1321652,Toxic nephropathy,GSE54674,mouse,GSM1321584|GSM1321585|GSM1321586,GPL6885,2.0
