drug_name,in_tahoe
propylthiouracil,No
proscillaridin,No
protoveratrine A,No
protriptyline,No
proxymetacaine,No
proxyphylline,No
pseudopelletierine,No
puromycin,No
pyrantel,No
pyrazinamide,No
pyridoxine,Yes
pyrimethamine,No
pyrithyldione,No
pyrvinium,No
quercetin,No
quinethazone,No
quinidine,No
quinisocaine,No
quinostatin,No
quinpirole,No
quipazine,No
racecadotril,No
raloxifene,No
ramifenazone,No
ramipril,No
ranitidine,No
raubasine,No
remoxipride,No
repaglinide,No
rescinnamine,No
reserpine,No
resveratrol,Yes
retrorsine,No
ribavirin,No
riboflavin,No
ribostamycin,No
ricinine,No
rifabutin,No
rifampicin,No
rilmenidine,No
riluzole,No
rimexolone,No
risperidone,No
ritodrine,No
rofecoxib,No
rolipram,No
rolitetracycline,No
ronidazole,No
rosiglitazone,Yes
rotenone,No
rottlerin,No
roxarsone,No
roxithromycin,No
salbutamol,No
salsolidin,No
salsolinol,No
sanguinarine,No
santonin,No
saquinavir,Yes
scopolamine,No
scopolamine N-oxide,No
scopoletin,No
scoulerine,No
scriptaid,No
securinine,No
selegiline,No
semustine,No
seneciphylline,No
serotonin,No
sertaconazole,No
simvastatin,No
sirolimus,No
sisomicin,No
sitosterol,No
skimmianine,No
sodium phenylbutyrate,No
solanine,No
solasodine,No
sotalol,No
spaglumic acid,No
sparteine,No
spectinomycin,No
spiperone,No
spiradoline,No
spiramycin,No
spironolactone,No
splitomicin,No
stachydrine,No
staurosporine,No
streptomycin,No
streptozocin,No
strophanthidin,No
succinylsulfathiazole,No
sulconazole,No
sulfabenzamide,No
sulfacetamide,No
sulfachlorpyridazine,No
sulfadiazine,No
sulfadimethoxine,No
sulfadimidine,No
sulfadoxine,No
sulfafurazole,No
sulfaguanidine,No
sulfamerazine,No
sulfamethizole,No
sulfamethoxazole,No
sulfamethoxypyridazine,No
sulfametoxydiazine,No
sulfamonomethoxine,No
sulfanilamide,No
sulfaphenazole,No
sulfapyridine,No
sulfaquinoxaline,No
sulfasalazine,No
sulfathiazole,No
sulfinpyrazone,No
sulindac,No
sulindac sulfide,No
sulmazole,No
suloctidil,No
sulpiride,No
suprofen,No
suramin sodium,No
suxibuzone,No
syrosingopine,No
tacrine,No
tacrolimus,No
talampicillin,No
tamoxifen,No
tanespimycin,No
telenzepine,No
tenoxicam,No
terazosin,No
terbutaline,No
terconazole,No
terfenadine,Yes
terguride,No
testosterone,No
tetracaine,No
tetracycline,No
tetraethylenepentamine,No
tetrahydroalstonine,No
tetramisole,No
tetrandrine,No
tetroquinone,No
tetryzoline,No
thalidomide,No
thapsigargin,No
theobromine,No
theophylline,No
thiamazole,No
thiamine,No
thiamphenicol,No
thiethylperazine,No
thiocolchicoside,No
thioguanosine,No
thioperamide,No
thioproperazine,No
thioridazine,No
thiostrepton,No
tiabendazole,No
tiapride,No
tiaprofenic acid,No
ticarcillin,No
ticlopidine,No
tiletamine,No
timolol,No
tinidazole,No
tioguanine,No
tiratricol,No
tobramycin,No
tocainide,No
todralazine,No
tolazamide,No
tolazoline,No
tolbutamide,No
tolfenamic acid,No
tolmetin,Yes
tolnaftate,No
tomatidine,No
tomelukast,No
tonzonium bromide,No
topiramate,No
torasemide,No
tracazolate,No
tranexamic acid,No
tranylcypromine,No
trapidil,No
trazodone,No
tremorine,No
tretinoin,No
triamcinolone,Yes
triamterene,No
tribenoside,No
trichlormethiazide,No
trichostatin A,No
tridihexethyl,No
trifluoperazine,No
triflupromazine,No
trifluridine,Yes
triflusal,No
trihexyphenidyl,No
trimetazidine,No
trimethadione,No
trimethobenzamide,No
trimethoprim,No
trimethylcolchicinic acid,No
trimipramine,No
trioxysalen,No
triprolidine,No
troglitazone,No
troleandomycin,No
tropicamide,No
tropine,No
tubocurarine chloride,No
tyloxapol,No
tyrphostin AG-1478,No
