"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"51626_at",1.16014396157236,6.32708099843374,6.69496396415317,1.09376275239179e-09,4.17529560566409e-09,11.6919008310685,"51626_at","DYNC2LI1"
"5971_at",-1.15996727504787,7.55394981468739,-6.43832698811806,3.70625736031837e-09,1.23586156224583e-08,10.5018105509836,"5971_at","RELB"
"94101_at",1.15995895992658,7.59960047084646,7.58977705562624,1.37377870612718e-11,9.3026390136559e-11,15.9709423409984,"94101_at","ORMDL1"
"57480_at",1.15978593723383,7.19096502175405,5.80886743094124,6.79955591137962e-08,1.73111788275272e-07,7.6720397392103,"57480_at","PLEKHG1"
"80127_at",1.15928684562196,7.07191671569817,6.36269831673519,5.29172999307436e-09,1.70514074529078e-08,10.1548393900755,"80127_at","BBOF1"
"64844_at",1.15913512483551,7.75768621734205,6.70518400635392,1.04149696171166e-09,4.00338220373459e-09,11.7396812646549,"64844_at","MARCHF7"
"2201_at",1.15863883539797,7.07285854398798,3.80268481485652,0.000240699204831071,0.000356300224870621,-0.168392363826672,"2201_at","FBN2"
"83547_at",-1.15862250473975,8.05594310302097,-9.5793012417351,5.42722798802587e-16,2.59140648267417e-14,25.9162935474249,"83547_at","RILP"
"11012_at",-1.15852936877778,7.88843111782138,-4.2000708562833,5.6131881399207e-05,8.94581388455113e-05,1.20920523515825,"11012_at","KLK11"
"387103_at",1.15828980795136,8.13560171340758,5.40983049732324,4.00182629304294e-07,8.82193389869691e-07,5.95476065389607,"387103_at","CENPW"
"57117_at",1.15816683104,7.36557734377676,6.85606843758574,5.03935408038726e-10,2.11225964769087e-09,12.4483519942692,"57117_at","INTS12"
"9276_at",1.15759394784814,10.0320541162468,7.81870335399705,4.37393924967896e-12,3.5427351360389e-11,17.0917964390139,"9276_at","COPB2"
"106707243_at",1.1574238511309,5.59889519241172,7.81406511973552,4.47691355989872e-12,3.61613159940715e-11,17.0690005123616,"106707243_at","PRH1-TAS2R14"
"22803_at",1.15736894474,7.2972502398405,6.97271767962193,2.86405807779055e-10,1.28684723986536e-09,13.0002518731986,"22803_at","XRN2"
"85453_at",1.15704508252008,8.52323598297212,6.4723311222307,3.1561902922949e-09,1.071984777771e-08,10.6583864434589,"85453_at","TSPYL5"
"91612_at",1.15652737880869,8.19404791348502,6.42175655746363,4.00759716797519e-09,1.32427198562355e-08,10.4256374679577,"91612_at","CHURC1"
"11164_at",1.15583406601563,7.26609024334004,9.88165908867827,1.13797441922239e-16,7.64271082077098e-15,27.4503839022386,"11164_at","NUDT5"
"5901_at",1.1558167864112,9.29314687093796,7.04229667166136,2.04154327060276e-10,9.5586222525776e-10,13.3310400787663,"5901_at","RAN"
"399473_at",-1.1556533960198,7.35033908450441,-9.21005360508761,3.64491063170354e-15,1.18261345894149e-13,24.046348332711,"399473_at","SPRED3"
"2773_at",1.1552641625162,8.41592849764584,9.22140724015014,3.43787098966804e-15,1.13766315593474e-13,24.1037602854149,"2773_at","GNAI3"
"2332_at",1.15512511875466,8.64418271710831,7.41867038946393,3.2130377585354e-11,1.92500337659664e-10,15.1393006246497,"2332_at","FMR1"
