"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"51528_at",1.12706121925646,8.29788832392537,4.96194226196583,4.18130628726088e-05,0.00120974403938209,2.16706667668907,"51528_at","JKAMP"
"57222_at",1.12661925967637,9.52649369298692,5.95210795144405,3.3389336245296e-06,0.000510408331081077,4.56286042278634,"57222_at","ERGIC1"
"116255_at",-1.12628193053516,8.60370118628203,-2.84916935899244,0.00867987860402893,0.0286218018874644,-2.83377967494064,"116255_at","MOGAT1"
"171424_at",1.12623662633798,7.58718337488261,3.62989374701155,0.00128223586029058,0.00766743152597699,-1.06433117117003,"171424_at","SPA17P1"
"5264_at",1.12614030753319,9.130626200924,5.07952755342251,3.08780537306673e-05,0.00109755531073026,2.45458220326485,"5264_at","PHYH"
"7922_at",1.12507453819928,8.10097479618945,5.64879729876606,7.18870523087166e-06,0.000643028113315175,3.83664583264784,"7922_at","SLC39A7"
"3600_at",1.123886998336,6.88237568575395,2.74019920455426,0.0112020249052368,0.0345056057381759,-3.06568163037097,"3600_at","IL15"
"105373159_at",-1.1236228971325,7.46386502344235,-4.61123313676519,0.000103482567547911,0.00182893607735237,1.30815484570292,"105373159_at","RAB4A-AS1"
"3845_at",-1.12356940713655,8.2603243805557,-3.47961394667863,0.00187003017124619,0.00974699695364042,-1.41676789535879,"3845_at","KRAS"
"100130987_at",-1.12314384195276,6.20135231840997,-5.61056872057854,7.92253234565464e-06,0.000655526408375943,3.74453239142627,"100130987_at","LOC100130987"
"3622_at",1.12260405514723,7.32301961365308,4.6005416567367,0.000106383048955227,0.00185679325643338,1.28197377570327,"3622_at","ING2"
"5686_at",1.12249745046019,7.07679501175638,5.01371946091656,3.65855486938746e-05,0.00114910635208764,2.29372356937183,"5686_at","PSMA5"
"11025_at",-1.12109563359693,7.58066928896389,-4.70449639421047,8.13101618779447e-05,0.00162970387075129,1.53659412949188,"11025_at","LILRB3"
"150737_at",1.11970630323919,5.10284254467852,5.58384250711606,8.48018198990489e-06,0.000662144928496822,3.68006378545329,"150737_at","TTC30B"
"25950_at",1.11850997038503,8.61930929300209,3.41551075806357,0.00219421159227643,0.0108564938569183,-1.56568829246779,"25950_at","RWDD3"
"51018_at",1.11759210981123,6.37898978122659,4.43111645254313,0.000164836904036927,0.00227286976625425,0.867453421741129,"51018_at","RRP15"
"56952_at",1.11692985499337,8.43045349723015,3.75819678716701,0.000926772281976287,0.00625090662627667,-0.760191751758176,"56952_at","PRTFDC1"
