disease_id,disease_name,drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,disease_therapeutic_areas
MONDO_0002974,cervical cancer,CHEMBL1908360,EVEROLIMUS,Enzyme|Ion channel,40-o-(2-hydroxyethyl)-rapamycin|Everolimus|RAD 666|RAD-001|RAD-666|RAD001|SDZ-RAD|Sdz rad,Small molecule,FK506-binding protein 1A inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL4071161,TIRABRUTINIB,Enzyme|Unclassified protein,GS-4059|Gs-4059|ONO-4059|ONO-4059(FREE BASE)|Ono-4059|Tirabrutinib,Small molecule,Tyrosine-protein kinase BTK inhibitor,Cancer/Tumor|Reproductive/Breast
EFO_0000365,colorectal adenocarcinoma,CHEMBL3301612,ENCORAFENIB,Unclassified protein|Enzyme,Encorafenib|Lgx-818|Lgx818|NVP-LGX-818-NXA|NVP-LGX818|NVP-LGX818-NXA,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,Enzyme,"Adriablastina cs|Adriamycin, hydrochloride|Doxorubicin HCl|Doxorubicin citrate|Doxorubicin citric acid salt|Doxorubicin hcl|Doxorubicin hydrochloride|Doxorubicin liposomal complex of the hydrochloride|Doxorubicini hydrochloridum|Hydroxydaunomycin hydrochloride|Liposomal doxorubicin hydrochloride",Small molecule,DNA topoisomerase II alpha inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL225072,PEMETREXED,Enzyme,LY-2315|LY-231514|LY231514|NSC-698037|Pemetrexed,Small molecule,GAR transformylase inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL1399,ANASTROZOLE,Enzyme,Anastrozol|Anastrozole|Arimidex|ICI D1033|ICI-D1033|NSC-719344|NSC-759855|Rvg-106400|ZD-1033|ZD1033,Small molecule,Cytochrome P450 19A1 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL409,BICALUTAMIDE,Transcription factor,"Bicalutamida|Bicalutamide|Casodex|ICI 176,334|ICI-176334|ICI176,334-1|NSC-759816",Small molecule,Androgen Receptor antagonist,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL1201182,TEMSIROLIMUS,Enzyme|Ion channel,CCI-779|Temsirolimus,Small molecule,FK506-binding protein 1A inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL939,GEFITINIB,Enzyme,Gefitinib|Iressa|NSC-759856|ZD-1839|ZD1839,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL1607,TOPOTECAN HYDROCHLORIDE,Enzyme,Evotopin|NSC-759263|Nogitecan hydrochloride|SK&F S-104864-A|SK&F-S-104864A|SK-S-104864-A|Topotecan|Topotecan (as hydrochloride)|Topotecan actavis|Topotecan hcl|Topotecan hospira|Topotecan hydrochloride|Topotecan teva,Small molecule,"DNA topoisomerase I, mitochondrial inhibitor",Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL225071,RALTITREXED,Enzyme,Raltitrexed|ZD-16|ZD-1694|ZD1694,Small molecule,Thymidylate synthase inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL481,IRINOTECAN,Enzyme,Biotecan|Irinotecan|NSC-728073,Small molecule,DNA topoisomerase I inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL408513,BELINOSTAT,Epigenetic regulator,Belinostat|NSC-726630|NSC726630|PX-105684|PXD-101|PXD101,Small molecule,Histone deacetylase inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL3545252,DOCETAXEL,Structural protein,Docetaxel|Docetaxel (as trihydrate)|Docetaxel hydrate|Docetaxel trihydrate|RP 56976|RP-56976|XRP6976,Small molecule,Tubulin inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL1229517,VEMURAFENIB,Unclassified protein|Enzyme,PLX-4032|PLX4032|RG 7204|RG-7204|RO 5185426|RO-51-85426|RO-5185426|Vemurafenib,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL888,GEMCITABINE,Enzyme,Gemcitabina|Gemcitabine|Gemzar|LY-188011|LY188011|NSC-613327,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL189963,PALBOCICLIB,Other nuclear protein|Enzyme|Other cytosolic protein,PD-0332991|Palbociclib,Small molecule,CDK6/cyclin D1 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL467,HYDROXYUREA,Enzyme,Hidroxicarbamida|Hydroxycarbamide|Hydroxyurea|NSC-32065|SQ 1089|SQ-1089,Small molecule,Ribonucleoside-diphosphate reductase RR1 inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0000365,colorectal adenocarcinoma,CHEMBL118,CELECOXIB,Enzyme,Celecoxib|DFN-15|DFN15|NSC-719627|NSC-758624|SC-58635,Small molecule,Cyclooxygenase-2 inhibitor,Gastrointestinal|Cancer/Tumor
