disease_id,disease_name,disease_therapeutic_areas,drug_rank,drug_name_original,drug_id,drug_common_name,drug_target_class,drug_type,drug_mechanism_of_action,drug_synonyms
MONDO_0002050,mental depression,Nervous System|Psychiatric,9,oxaprozin,CHEMBL1071,OXAPROZIN,Enzyme,Small molecule,Cyclooxygenase inhibitor,"NSC-310839|Oxaprozin|Oxaprozina|Oxaprozine|WY-21,743|WY-21743"
MONDO_0002050,mental depression,Nervous System|Psychiatric,10,paclitaxel,CHEMBL428647,PACLITAXEL,Structural protein,Small molecule,Tubulin inhibitor,(-)-paclitaxel|ABI-007|ABI-007 COMPONENT PACLITAXEL|BMS 181339-01|BMS-181339-01|Capxol|Cyclopax|DHP 107|DHP-107|Ebetaxel|Empac|Endotag 1|Genaxol|Genetaxyl|Genexol|Genexol-pm|Intaxel|Lep-etu|MBT 0206|MBT-0206|Mitotax|NK 105|NK-105|NSC-125973|Oncogel|Onxal|Onxol|Pacliex|Paclitaxel|Paclitaxel (taxus canadensis)|Paclitaxol|Plaxicel|QW-8184|Taxalbin|Taxol|Taxol a|Taxus|Taxus liberte|Taxus stent|Tocosol paclitaxel|Yewtaxan
MONDO_0002050,mental depression,Nervous System|Psychiatric,12,dexamethasone,CHEMBL384467,DEXAMETHASONE,Transcription factor,Small molecule,Glucocorticoid receptor agonist,Decadron-LA|Dexacen-4|Dexacort|Dexair|Dexametasona|Dexamethasone|Dexamethasone metasulfobenzoate sodium|Dexamethasone palmitate|Dexamethasone valerate|Dexycu|Fluormethylprednisolone|ISV-305|Mymethasone|NSC-34521|Neodecadron|OTO-104
MONDO_0002050,mental depression,Nervous System|Psychiatric,14,azapropazone,CHEMBL1565476,APAZONE,Enzyme,Small molecule,Cyclooxygenase inhibitor,AHR-3018|Apazone|Apazone dihydrate|Azapropazona|Azapropazone|Azapropazone dihydrate|Cinnopropazone|MI-85|MI-85DI|NSC-102824|Prolixan
MONDO_0002050,mental depression,Nervous System|Psychiatric,15,pimethixene,CHEMBL1201342,METHIXENE,Membrane receptor,Small molecule,Serotonin 2c (5-HT2c) receptor antagonist,Atosil|Methixene|Metixene|Metixeno
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,2,tranylcypromine,CHEMBL3989843,TRANYLCYPROMINE,Enzyme,Small molecule,Monoamine oxidase inhibitor,NSC-80664|Tranilcipromina|Tranylcypromine
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,4,hyoscyamine,CHEMBL517712,ATROPINE,Membrane receptor,Small molecule,Muscarinic acetylcholine receptor M3 antagonist,Atropine|Atropinum|Dl-hyoscyamine
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,5,atropine,CHEMBL517712,ATROPINE,Membrane receptor,Small molecule,Muscarinic acetylcholine receptor M3 antagonist,Atropine|Atropinum|Dl-hyoscyamine
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,7,trifluoperazine,CHEMBL422,TRIFLUOPERAZINE,Membrane receptor,Small molecule,Serotonin 2c (5-HT2c) receptor antagonist,Apo-trifluoperazine|Flurazine|NSC-17474|NSC-46061|RP-7623|Trifluoperazina|Trifluoperazine
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,11,profenamine,CHEMBL1206,ETHOPROPAZINE,Membrane receptor,Small molecule,Muscarinic acetylcholine receptor M1 antagonist,Ethopropazine|Parsidol|Profenamina|Profenamine
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,12,diltiazem,CHEMBL23,DILTIAZEM,Ion channel,Small molecule,Voltage-gated L-type calcium channel blocker,Cardizem|Dilt-CD|Diltiazem|Diltiazem extended release|Diltzac|Ditiaz|Surazem|Tiamate|Tiazac
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,13,fenoprofen,CHEMBL1297,FENOPROFEN,Enzyme,Small molecule,Cyclooxygenase inhibitor,53858|Fenoprofen|Fenoprofene|Fenoprofeno|LILLY-53858|NSC-757813|Nalfon
MONDO_0002974,cervical cancer,Cancer/Tumor|Reproductive/Breast,15,repaglinide,CHEMBL1272,REPAGLINIDE,Transporter,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",A10BX02|AG-EE 623 ZW|AG-EE-623-ZW|AG-EE-623ZW|AGEE-623ZW|NSC-759893|Prandin|Repaglinida|Repaglinide
