gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism
RWDD3,,0.03256992995738983,,,,0.03256992995738983,0.03256992995738983,,human
PCGF5,,0.03239941596984863,0.017203988507390022,0.033873412758111954,,0.02782560574511687,0.03239941596984863,,human
PITHD1,,0.032384175807237625,,0.03947362303733826,,0.03592889942228794,0.03592889942228794,,human
ATG9A,,0.032269496470689774,,0.032426342368125916,,0.032347919419407845,0.032347919419407845,,human
TMEM183B,,0.032128091901540756,,0.03574017807841301,,0.03393413498997688,0.03393413498997688,,human
ACP1,,0.032060276716947556,,0.026832031086087227,,0.02944615390151739,0.02944615390151739,,human
ANK1,,0.032058581709861755,,0.03005381114780903,,0.031056196428835392,0.031056196428835392,,human
DDX17,,0.03173011913895607,,0.020519455894827843,,0.026124787516891956,0.026124787516891956,,human
RNF10,,0.031672511249780655,,0.0451287142932415,,0.03840061277151108,0.03840061277151108,,human
TSPAN5,,0.03125857934355736,,0.04435325786471367,,0.03780591860413551,0.03780591860413551,,human
SELENBP1,,0.03120984509587288,,0.017898622900247574,,0.024554233998060226,0.024554233998060226,,human
EPB41,,0.030657589435577393,,0.039035312831401825,,0.03484645113348961,0.03484645113348961,,human
LNX2,,0.030570603907108307,,0.0238274447619915,,0.027199024334549904,0.027199024334549904,,human
DDB1,,0.0304540004581213,,0.03493531793355942,,0.03269465919584036,0.03269465919584036,,human
ODC1,,0.03042910248041153,,0.03812604397535324,,0.034277573227882385,0.034277573227882385,,human
FAM104A,,0.03036760725080967,,0.04124255105853081,,0.03580507915467024,0.03580507915467024,,human
YIPF6,,0.030271010473370552,,0.029226113110780716,,0.029748561792075634,0.029748561792075634,,human
FURIN,,0.030019516125321388,,0.0314062163233757,,0.030712866224348545,0.030712866224348545,,human
LOC729870,,0.029959814622998238,,0.030728602781891823,,0.03034420870244503,0.03034420870244503,,human
HPS1,,0.029793404042720795,,0.02861572429537773,,0.029204564169049263,0.029204564169049263,,human
MAP2K3,,0.029637765139341354,,0.04933229461312294,,0.03948502987623215,0.03948502987623215,,human
SRRD,,0.029414379969239235,,0.04859566316008568,,0.039005021564662457,0.039005021564662457,,human
EIF2AK1,,0.028988515958189964,0.024942703545093536,0.03622622415423393,,0.030052481219172478,0.028988515958189964,,human
HERC5,,0.02889317087829113,,0.023643823340535164,,0.026268497109413147,0.026268497109413147,,human
ZNF23,,0.02887684851884842,,0.03201362490653992,,0.030445236712694168,0.030445236712694168,,human
UBL5,,0.028816573321819305,,0.02098744921386242,,0.024902011267840862,0.024902011267840862,,human
E2F2,,0.02875867672264576,,0.029651116579771042,,0.0292048966512084,0.0292048966512084,,human
LOC100507448,,0.02865392342209816,,0.018423600122332573,,0.023538761772215366,0.023538761772215366,,human
GNA12,,0.028617054224014282,,0.033470604568719864,,0.031043829396367073,0.031043829396367073,,human
TSTA3,,0.028587892651557922,,0.023631881922483444,,0.026109887287020683,0.026109887287020683,,human
UBAC1,,0.028463562950491905,,0.025524161756038666,,0.026993862353265285,0.026993862353265285,,human
PCSK1N,,0.02842547930777073,,0.0325055755674839,,0.030465527437627316,0.030465527437627316,,human
RMND5A,,0.028127925470471382,,0.02783529832959175,,0.027981611900031567,0.027981611900031567,,human
KAT2B,,0.0279279425740242,,0.023418046534061432,,0.025672994554042816,0.025672994554042816,,human
MFHAS1,,0.027465295046567917,,0.025309303775429726,,0.02638729941099882,0.02638729941099882,,human
NUDT4P1,,0.02735341526567936,,,,0.02735341526567936,0.02735341526567936,,human
STAU1,,0.027346808463335037,,0.031095122918486595,,0.029220965690910816,0.029220965690910816,,human
PINK1,,0.027190448716282845,,0.028110643848776817,,0.02765054628252983,0.02765054628252983,,human
UBQLN1,,0.02718772180378437,,0.029013603925704956,,0.028100662864744663,0.028100662864744663,,human
HEPACAM2,,0.027138063684105873,,0.029369637370109558,,0.028253850527107716,0.028253850527107716,,human
DNAJC6,,0.026581596583127975,,0.016774391755461693,,0.021677994169294834,0.021677994169294834,,human
PSMF1,,0.026548953726887703,,0.0422545000910759,,0.0344017269089818,0.0344017269089818,,human
IFRD2,,0.02653193473815918,,0.03108866885304451,,0.028810301795601845,0.028810301795601845,,human
TNS1,,0.026495298370718956,,0.032782845199108124,,0.02963907178491354,0.02963907178491354,,human
PPP3R1,,0.026449032127857208,,0.032629113644361496,,0.029539072886109352,0.029539072886109352,,human
STOM,,0.026036422699689865,,0.03536296263337135,,0.03069969266653061,0.03069969266653061,,human
ALDH5A1,,0.025766078382730484,,0.03234845772385597,,0.029057268053293228,0.029057268053293228,,human
