gene_symbol,logfc_dz:825,logfc_dz:826,logfc_dz:797,logfc_dz:292,logfc_dz:880,logfc_dz:308,logfc_dz:818,logfc_dz:806,logfc_dz:559,logfc_dz:560,logfc_dz:468,logfc_dz:558,mean_logfc,median_logfc,common_experiment,organism
MRPS10,,,,,-0.018258225172758102,,,,,,,,-0.018258225172758102,-0.018258225172758102,,human
ANKRD1,,,,,-0.0176552701741457,,,,,,,,-0.0176552701741457,-0.0176552701741457,,human
MRPS21,,,,,-0.01727709360420704,,,,,,,,-0.01727709360420704,-0.01727709360420704,,human
GLUL,,,,,-0.015936188399791718,-0.02250334993004799,,,,,,,-0.019219769164919853,-0.019219769164919853,,human
FEM1A,,,,,-0.015620932914316654,,,,,,,,-0.015620932914316654,-0.015620932914316654,,human
PSMD1,,,,,-0.015203499235212803,,,,,,,,-0.015203499235212803,-0.015203499235212803,,human
XPC,,,,,-0.01496503222733736,,,,,,,,-0.01496503222733736,-0.01496503222733736,,human
ACOT13,,,,,-0.014605604112148285,,,,,,,,-0.014605604112148285,-0.014605604112148285,,human
C12orf57,,,,,-0.014553508721292019,,,,,,,,-0.014553508721292019,-0.014553508721292019,,human
CMC2,,,,,-0.014204547740519047,,,,,,,,-0.014204547740519047,-0.014204547740519047,,human
USP54,,,,,-0.013760507106781006,,,,,,,,-0.013760507106781006,-0.013760507106781006,,human
RPS27,,,,,-0.013434309512376785,0.02834370918571949,,,,,,,0.007454699836671352,0.007454699836671352,,human
FOXO3,,,,,-0.013353907503187656,0.014822612516582012,,,,,,,0.0007343525066971779,0.0007343525066971779,,human
SLC38A1,,,,,-0.013230624608695507,,,,,,,,-0.013230624608695507,-0.013230624608695507,,human
MID1IP1,,,,,-0.013164366595447063,,,,,,,,-0.013164366595447063,-0.013164366595447063,,human
ADIRF,,,,,-0.012954390607774258,0.04074385017156601,,,,,,,0.013894729781895876,0.013894729781895876,,human
SRSF2,,,,,-0.012940422631800175,,,,,,,,-0.012940422631800175,-0.012940422631800175,,human
EIF3K,,,,,-0.012496794573962688,,,,,,,,-0.012496794573962688,-0.012496794573962688,,human
UQCRC2,,,,,-0.012254111468791962,,,,,,,,-0.012254111468791962,-0.012254111468791962,,human
C10orf71,,,,,-0.012236655689775944,,,,,,,,-0.012236655689775944,-0.012236655689775944,,human
UBL5,,,,,-0.0122007355093956,,,,,,,,-0.0122007355093956,-0.0122007355093956,,human
COQ3,,,,,-0.012144156731665134,,,,,,,,-0.012144156731665134,-0.012144156731665134,,human
NDUFS2,,,,,-0.012065193615853786,,,,,,,,-0.012065193615853786,-0.012065193615853786,,human
ANKRD9,,,,,-0.012038939632475376,,,,,,,,-0.012038939632475376,-0.012038939632475376,,human
RPS16,,,,,-0.011858725920319557,,,,,,,,-0.011858725920319557,-0.011858725920319557,,human
CCL2,,,,,,-0.0706314966082573,0.048418719321489334,0.04656139761209488,,0.025260068476200104,,0.11865072697401047,0.0336518831551075,0.04656139761209488,,human
NR1D2,,,,,,0.016180187463760376,0.02435285598039627,0.022471396252512932,,0.025396840646862984,,,0.02210032008588314,0.0234121261164546,,human
RGS5,,,,,,0.015848776325583458,,0.021192096173763275,,,0.07967542111873627,,0.038905431206027664,0.021192096173763275,,human
EGR1,,,,,,0.01990901306271553,,0.019594259560108185,,,,0.014235548675060272,0.017912940432627995,0.019594259560108185,,human
GSTM5,,,,,,0.017933087423443794,,0.0188896581530571,,0.016625097021460533,,,0.01781594753265381,0.017933087423443794,,human
CLDN1,,,,,,-0.01689424365758896,,0.016884293407201767,,,0.01763894595205784,0.009961686097085476,0.006897670449689031,0.013422989752143621,,human
OGN,,,,,,0.026881534606218338,-0.0650814026594162,-0.06372272968292236,,-0.2057330161333084,-0.020981410518288612,,-0.06572740487754344,-0.06372272968292236,,human
PECAM1,,,,,,-0.019953379407525063,-0.0488739013671875,-0.04820707440376282,,,-0.020122695714235306,0.12663136422634125,-0.0021051373332738876,-0.020122695714235306,,human
ALDH1A1,,,,,,-0.01486197393387556,-0.027179667726159096,-0.029509104788303375,,0.022842569276690483,,,-0.012177044292911887,-0.021020820830017328,,human
MGP,,,,,,0.018177799880504608,-0.028056448325514793,-0.02793716825544834,,,,,-0.012605272233486176,-0.02793716825544834,,human
ADAMTS5,,,,,,0.021091626957058907,-0.030779631808400154,-0.026181980967521667,,-0.052264586091041565,-0.05797655135393143,,-0.029222224652767182,-0.030779631808400154,,human
ENO1,,,,,,-0.0227337833493948,-0.0419711098074913,-0.024286875501275063,-0.013327384367585182,,-0.027557499706745148,,-0.0259753305464983,-0.024286875501275063,,human
CD93,,,,,,-0.01852080039680004,-0.02804652228951454,-0.02389718033373356,,,,0.22014892101287842,0.03742110449820757,-0.0212089903652668,,human
ACTA2,,,,,,-0.016615327447652817,-0.03967873752117157,-0.02276790514588356,,-0.029995646327733994,-0.20257124304771423,,-0.062325771898031235,-0.029995646327733994,,human
CES1,,,,,,0.04877367988228798,-0.022648684680461884,-0.02262553572654724,,-0.024638470262289047,,,-0.005284752696752548,-0.022637110203504562,,human
LYVE1,,,,,,-0.020730791613459587,-0.025292042642831802,-0.02236744575202465,,,-0.01678065024316311,,-0.021292732562869787,-0.02154911868274212,,human
APOLD1,,,,,,0.05290066450834274,-0.019715597853064537,-0.020972682163119316,,,-0.014007046818733215,-0.010371748358011246,-0.002433282136917114,-0.014007046818733215,,human
MEST,,,,,,0.025092557072639465,,-0.018884794786572456,,,,,0.0031038811430335045,0.0031038811430335045,,human
UQCR11,,,,,,0.014438220299780369,-0.019455421715974808,-0.01866396702826023,,,,,-0.007893722814818224,-0.01866396702826023,,human
A2M,,,,,,-0.04496882110834122,-0.02488221414387226,-0.017899494618177414,,,,,-0.02925017662346363,-0.02488221414387226,,human
ATP5A1,,,,,,-0.018644962459802628,,-0.01716025546193123,,,,,-0.017902608960866928,-0.017902608960866928,,human
ATP5E,,,,,,0.028700605034828186,-0.01798851229250431,-0.016984857618808746,,-0.017750753089785576,,,-0.006005879491567612,-0.01736780535429716,,human
CXCL2,,,,,,-0.01699795201420784,0.02092801220715046,,,,0.025358548387885094,,0.009762869526942572,0.02092801220715046,,human
GNG11,,,,,,0.022588485851883888,-0.02902350015938282,,,-0.022095320746302605,,0.014968444593250751,-0.0033904726151376963,-0.0035634380765259266,,human
ACTG2,,,,,,-0.014020412229001522,-0.028272219002246857,,,,-0.07098262012004852,,-0.037758417117098965,-0.028272219002246857,,human
PLA2G16,,,,,,-0.015280376188457012,-0.017327843233942986,,,,,,-0.0163041097112,-0.0163041097112,,human
