gene_symbol,logfc_dz:1029,logfc_dz:1030,logfc_dz:1032,logfc_dz:1038,logfc_dz:1028,logfc_dz:1026,logfc_dz:1027,logfc_dz:1024,logfc_dz:1022,logfc_dz:1023,logfc_dz:464,logfc_dz:1035,logfc_dz:1025,logfc_dz:1021,logfc_dz:1041,logfc_dz:1036,logfc_dz:1037,logfc_dz:1039,logfc_dz:1040,logfc_dz:1033,logfc_dz:1034,mean_logfc,median_logfc,common_experiment,organism
RPS18,0.03484485298395157,,-0.08566713333129883,-0.11919455975294113,-0.02265656180679798,0.036946360021829605,0.023348743095993996,0.11298849433660507,,-0.04839800298213959,-0.06190343201160431,,,-0.07213137298822403,,-0.019489195197820663,,,,,,-0.020119255239313297,-0.02265656180679798,,human
MPEG1,0.03463781252503395,,-0.015605136752128601,0.022371400147676468,-0.028857240453362465,-0.013770945370197296,-0.033913787454366684,-0.01644718274474144,-0.03817560523748398,,-0.02385508455336094,,0.037575703114271164,-0.077131487429142,,,,,,,,-0.013924686746163801,-0.01644718274474144,,human
RASSF2,0.03431720286607742,0.0274319089949131,-0.04770383611321449,-0.009245040826499462,-0.03701445087790489,-0.01685269922018051,,-0.016274331137537956,-0.03739352896809578,0.0176986176520586,-0.026632526889443398,,,-0.03606218844652176,,,,0.04299583286046982,,,,-0.008727920008823276,-0.016563515178859234,,human
RPS3,0.033815786242485046,0.08723035454750061,,0.016957029700279236,,0.06851600110530853,,-0.021377934142947197,0.024670151993632317,-0.019090069457888603,0.026626797392964363,,0.027197852730751038,0.03112916275858879,,-0.1174931600689888,-0.0484834685921669,,0.020854249596595764,,,0.010042519523547245,0.024670151993632317,,human
NPC2,0.033814772963523865,0.06768468022346497,-0.06042153388261795,-0.03322369605302811,,,,-0.03109125606715679,,-0.013800431974232197,0.022189965471625328,,,,,,,,,,,-0.002121071331202984,-0.013800431974232197,,human
TIMP1,0.033784374594688416,,-0.08740080147981644,-0.010390862822532654,,-0.02978299744427204,-0.03293568640947342,,-0.03707682713866234,-0.022179871797561646,-0.01742185652256012,,,,,-0.1709168255329132,,,,,,-0.041591261617011495,-0.02978299744427204,,human
CEBPB,0.03358858823776245,-0.06000179424881935,,0.019130850210785866,0.040054939687252045,-0.056308191269636154,0.04079987108707428,0.0415383018553257,-0.06309628486633301,-0.05580190569162369,0.08126010745763779,,,,,,,,,,,0.0021164482459425926,0.02635971922427416,,human
SSR4,0.033269770443439484,0.017456434667110443,-0.01614350639283657,-0.0579499676823616,,0.016058582812547684,0.03405250981450081,,0.02437480539083481,-0.03244248405098915,,,,0.020850809291005135,,,,,,,,0.004391883810361226,0.017456434667110443,,human
GNG11,0.03302938863635063,0.016773676499724388,,,,,0.018130706623196602,,,,0.01698882132768631,,0.020307481288909912,-0.01810644194483757,,,,,,,,0.014520605405171713,0.017559763975441456,,human
NOP10,0.03287486732006073,0.07439149171113968,-0.08184976875782013,-0.01929928921163082,-0.01461762748658657,-0.03667398542165756,-0.04025273025035858,0.059661686420440674,,-0.03947238251566887,-0.036179229617118835,,-0.05094520002603531,0.052152615040540695,,,,,,,,-0.008350796066224575,-0.02773925941437483,,human
RETN,0.03276542201638222,,,,,,,,,,,,,,,,,,,,,0.03276542201638222,0.03276542201638222,,human
EMR1,0.03276102617383003,,,,,-0.025153903290629387,0.013018381781876087,,0.054014723747968674,,0.02199857495725155,,-0.013641603291034698,0.013205534778535366,,,,,,,,0.013743247836828232,0.013205534778535366,,human
METRNL,0.03257184848189354,,,,,-0.017470641061663628,0.011267400346696377,,,,0.014329453930258751,-0.01793854311108589,,,,,,,,,,0.00455190371721983,0.011267400346696377,-0.01793854311108589,human
VPS28,0.032227855175733566,,-0.021838365122675896,-0.01829528994858265,-0.01380707137286663,,-0.022933194413781166,0.015342077240347862,,-0.011395285837352276,,,-0.020276494324207306,0.020568275824189186,,,,,,,,-0.00448972141991059,-0.01380707137286663,,human
USMG5,0.03186884894967079,,-0.03396870568394661,-0.01756885275244713,,0.05603637546300888,0.012530215084552765,0.0298728346824646,0.048002421855926514,,,,-0.023075858131051064,0.01637185737490654,,,,,,,,0.013341015204787254,0.01637185737490654,,human
NDUFA3,0.031639616936445236,-0.027312273159623146,-0.015349797904491425,-0.023267921060323715,-0.022900378331542015,,,,0.029806403443217278,-0.03746608644723892,-0.017539357766509056,,,,,,0.027083609253168106,,,,,-0.006145131670766407,-0.017539357766509056,,human
