gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:9,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism
RPS20,0.021801577880978584,,,,0.02782193012535572,,0.024811754003167152,0.024811754003167152,,human
ZC3H11A,0.021627360954880714,,,,,,0.021627360954880714,0.021627360954880714,,human
HMGN3,0.021613508462905884,,-0.04753740504384041,,,,-0.012961948290467262,-0.012961948290467262,,human
PLA2G16,0.021590445190668106,,,,,,0.021590445190668106,0.021590445190668106,,human
CITED2,0.021539680659770966,,,,,,0.021539680659770966,0.021539680659770966,,human
TSPAN15,0.02146817557513714,,,,,,0.02146817557513714,0.02146817557513714,,human
SERF2,0.021397385746240616,,,,0.01760459505021572,,0.01950099039822817,0.01950099039822817,,human
PTP4A2,0.021311026066541672,,,0.021476667374372482,,,0.021393846720457077,0.021393846720457077,,human
RTN4,0.02122797816991806,,-0.023526128381490707,0.03302439674735069,0.010707652196288109,,0.010358474683016539,0.015967815183103085,,human
PGM1,0.021119549870491028,,,0.027194388210773468,,,0.024156969040632248,0.024156969040632248,,human
GATM,0.02110518515110016,,,,,,0.02110518515110016,0.02110518515110016,,human
BET1L,0.02094348333775997,,,,,,0.02094348333775997,0.02094348333775997,,human
LIMCH1,0.020807230845093727,,,,,,0.020807230845093727,0.020807230845093727,,human
MAP7D1,0.020798932760953903,,,,,,0.020798932760953903,0.020798932760953903,,human
BLCAP,0.02064233273267746,,,,,,0.02064233273267746,0.02064233273267746,,human
SIX1,0.02055273950099945,,,,,,0.02055273950099945,0.02055273950099945,,human
IL32,0.020428264513611794,,,-0.041857097297906876,,,-0.010714416392147541,-0.010714416392147541,,human
NAA50,0.02037856914103031,,,,,,0.02037856914103031,0.02037856914103031,,human
PRKAB2,0.020357124507427216,,,,,,0.020357124507427216,0.020357124507427216,,human
KCNJ2,0.02027427777647972,,,,,,0.02027427777647972,0.02027427777647972,,human
PPP2R3A,0.01996687613427639,,,,,,0.01996687613427639,0.01996687613427639,,human
MFAP5,0.019895508885383606,,,,,,0.019895508885383606,0.019895508885383606,,human
REV3L,0.019745908677577972,,,0.015440755523741245,,,0.01759333210065961,0.01759333210065961,,human
ATP5E,0.019456470385193825,,,,,,0.019456470385193825,0.019456470385193825,,human
LAMTOR5,0.01945543847978115,,,,,,0.01945543847978115,0.01945543847978115,,human
ATP6V1G1,0.019420534372329712,,-0.01956373080611229,,,,-7.159821689128876e-05,-7.159821689128876e-05,,human
MGP,0.019210824742913246,,,,,,0.019210824742913246,0.019210824742913246,,human
GPX3,0.019174562767148018,,0.05348970741033554,0.01947890967130661,,,0.030714393282930057,0.01947890967130661,,human
PDGFRL,0.01915709488093853,,0.017955787479877472,,,,0.018556441180408,0.018556441180408,,human
RNF7,0.019116977229714394,,,,,,0.019116977229714394,0.019116977229714394,,human
ADAMTS20,0.018961893394589424,,,,,,0.018961893394589424,0.018961893394589424,,human
UBE2E3,0.01893361285328865,,-0.01925211399793625,0.023818213492631912,,,0.007833237449328104,0.01893361285328865,,human
RPS11,0.018930558115243912,,0.026389965787529945,-0.025823509320616722,-0.012718264944851398,,0.0016946874093264341,0.0031061465851962566,,human
SOD1,0.018847709521651268,,,0.013285747729241848,,,0.016066728625446558,0.016066728625446558,,human
KANSL2,0.018675051629543304,,,,0.012889646925032139,,0.01578234927728772,0.01578234927728772,,human
MYOZ3,0.018388697877526283,,,,,,0.018388697877526283,0.018388697877526283,,human
PHYH,0.01817815937101841,,,,,,0.01817815937101841,0.01817815937101841,,human
RASA4,0.018092568963766098,,,,,,0.018092568963766098,0.018092568963766098,,human
ANXA2P3,0.01798609085381031,,,0.0738348588347435,,0.027530405670404434,0.03978378511965275,0.027530405670404434,0.027530405670404434,human
TMEM38B,0.017879370599985123,,,,,,0.017879370599985123,0.017879370599985123,,human
MYOZ2,0.01786698028445244,,,,,,0.01786698028445244,0.01786698028445244,,human
GPX4,0.017859922721982002,,,,,,0.017859922721982002,0.017859922721982002,,human
ZNF106,0.01784481294453144,,,,,,0.01784481294453144,0.01784481294453144,,human
CFL1,0.01767689362168312,,-0.046474795788526535,-0.08286918699741364,0.04358506575226784,,-0.017020505852997303,-0.014398951083421707,,human
ARPC2,0.01766417920589447,,,-0.026764290407299995,,,-0.004550055600702763,-0.004550055600702763,,human
GLRX,0.01756983995437622,,,0.015118442475795746,,,0.016344141215085983,0.016344141215085983,,human
EEF1A1,0.01754125952720642,,0.05109940469264984,0.02699093520641327,-0.01182872336357832,,0.020950719015672803,0.022266097366809845,,human
MN1,0.017430784180760384,-0.02303788624703884,,,,,-0.002803551033139229,-0.002803551033139229,,human
HIST1H1C,0.01739979162812233,,,,,,0.01739979162812233,0.01739979162812233,,human
PMEPA1,0.017203314229846,,,,,,0.017203314229846,0.017203314229846,,human
ARL5A,0.01716873049736023,,-0.0334768146276474,,,,-0.008154042065143585,-0.008154042065143585,,human
PCYOX1,0.01702934131026268,,-0.019226720556616783,,,,-0.0010986896231770515,-0.0010986896231770515,,human
PPP1R13B,0.0169205442070961,,,,,,0.0169205442070961,0.0169205442070961,,human
CAV3,0.01681528240442276,,,,,-0.017992181703448296,-0.0005884496495127678,-0.0005884496495127678,-0.017992181703448296,human
EPM2AIP1,0.016536494717001915,,,,,,0.016536494717001915,0.016536494717001915,,human
FBP2,0.016527269035577774,,,,,,0.016527269035577774,0.016527269035577774,,human
TUBA1C,0.01652168296277523,,0.01637614704668522,,-0.021980419754981995,,0.0036391367514928183,0.01637614704668522,,human
ACYP2,0.01651560701429844,,,,,,0.01651560701429844,0.01651560701429844,,human
HOXC6,0.016515366733074188,,,,,,0.016515366733074188,0.016515366733074188,,human
PKIA,0.01591625064611435,,,,,,0.01591625064611435,0.01591625064611435,,human
CRYZ,0.01585479825735092,,-0.019322238862514496,,,,-0.0017337203025817871,-0.0017337203025817871,,human
