rank,primary_key,drug_name,desc_4,desc_3,desc_2
102,DB09020,bisacodyl,Contact laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION
103,DB00721,procaine,Esters of aminobenzoic acid,"ANESTHETICS, LOCAL",ANESTHETICS
103,DB00721,procaine,Local anesthetics,LOCAL ANESTHETICS,OPHTHALMOLOGICALS
103,DB00721,procaine,Local anesthetics,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,VASOPROTECTIVES
104,DB01626,pargyline,MAO inhibitors and diuretics,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,ANTIHYPERTENSIVES
105,DB00564,carbamazepine,Carboxamide derivatives,ANTIEPILEPTICS,ANTIEPILEPTICS
106,DB00809,tropicamide,Anticholinergics,MYDRIATICS AND CYCLOPLEGICS,OPHTHALMOLOGICALS
107,DB00328,indometacin,Acetic acid derivatives and related substances,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
107,DB00328,indometacin,"Antiinflammatory agents, non-steroids and antiinfectives in combination",ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,OPHTHALMOLOGICALS
107,DB00328,indometacin,"Antiinflammatory preparations, non-steroids for topical use",TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
107,DB00328,indometacin,Other cardiac preparations,OTHER CARDIAC PREPARATIONS,CARDIAC THERAPY
108,DB00788,naproxen,Antiinflammatory products for vaginal administration,OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS
108,DB00788,naproxen,"Antiinflammatory preparations, non-steroids for topical use",TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
108,DB00788,naproxen,Propionic acid derivatives,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
109,DB00586,diclofenac,Other dermatologicals,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS
109,DB00586,diclofenac,Acetic acid derivatives and related substances,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
109,DB00586,diclofenac,"Antiinflammatory agents, non-steroids and antiinfectives in combination",ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,OPHTHALMOLOGICALS
109,DB00586,diclofenac,"Antiinflammatory preparations, non-steroids for topical use",TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
110,DB01099,flucytosine,Other antimycotics for systemic use,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE
110,DB01099,flucytosine,Other antifungals for topical use,ANTIFUNGALS FOR TOPICAL USE,ANTIFUNGALS FOR DERMATOLOGICAL USE
111,DB00871,terbutaline,Selective beta-2-adrenoreceptor agonists,ADRENERGICS FOR SYSTEMIC USE,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
112,DB01100,pimozide,Diphenylbutylpiperidine derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS
113,DB00826,natamycin,Antibiotics,ANTIFUNGALS FOR TOPICAL USE,ANTIFUNGALS FOR DERMATOLOGICAL USE
113,DB00826,natamycin,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS
113,DB00826,natamycin,Antibiotics,ANTIINFECTIVES,OPHTHALMOLOGICALS
113,DB00826,natamycin,Antibiotics,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
113,DB00826,natamycin,Antibiotics,INTESTINAL ANTIINFECTIVES,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
114,DB01424,aminophenazone,Pyrazolones,OTHER ANALGESICS AND ANTIPYRETICS,ANALGESICS
115,DB01069,promethazine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
115,DB01069,promethazine,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS
115,DB01069,promethazine,Phenothiazine derivatives,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE
116,DB00115,cyanocobalamin,Vitamin B12 (cyanocobalamin and analogues),VITAMIN B12 AND FOLIC ACID,ANTIANEMIC PREPARATIONS
117,DB01060,amoxicillin,"Combinations of penicillins, incl. beta-lactamase inhibitors","BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE
117,DB01060,amoxicillin,Combinations for eradication of Helicobacter pylori,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),DRUGS FOR ACID RELATED DISORDERS
118,DB06707,corbadrine,NA,NA,NA
119,DB00341,cetirizine,Piperazine derivatives,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE
120,DB00752,tranylcypromine,"Monoamine oxidase inhibitors, non-selective",ANTIDEPRESSANTS,PSYCHOANALEPTICS
121,DB06694,xylometazoline,Sympathomimetics used as decongestants,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS
121,DB06694,xylometazoline,"Sympathomimetics, combinations excl. corticosteroids",DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,NASAL PREPARATIONS
122,DB00550,propylthiouracil,Thiouracils,ANTITHYROID PREPARATIONS,THYROID THERAPY
123,DB01047,fluocinonide,"Corticosteroids, potent (group III)","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
123,DB01047,fluocinonide,Corticosteroids,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,VASOPROTECTIVES
124,DB00637,astemizole,Other antihistamines for systemic use,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE
125,DB04842,fluspirilene,Diphenylbutylpiperidine derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS
