"","primary_key","rank","drug_name","cmap_score_unstratified","cmap_score_I-II","cmap_score_III-IV","cmap_score_PE","cmap_score_ESE","cmap_score_MSE","desc_4","desc_3","desc_2","notes","ref"
"331","DB01581",57,"sulfamerazine",-0.493534759724959,-0.441259873649306,-0.513040461599177,-0.462697103649905,-0.449559793438721,-0.463847098128831,"Sulfonamides","ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS","GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS","",""
"332","DB01581",57,"sulfamerazine",-0.493534759724959,-0.441259873649306,-0.513040461599177,-0.462697103649905,-0.449559793438721,-0.463847098128831,"Long-acting sulfonamides","SULFONAMIDES AND TRIMETHOPRIM","ANTIBACTERIALS FOR SYSTEMIC USE","",""
"333","DB01581",57,"sulfamerazine",-0.493534759724959,-0.441259873649306,-0.513040461599177,-0.462697103649905,-0.449559793438721,-0.463847098128831,"Sulfonamides","CHEMOTHERAPEUTICS FOR TOPICAL USE","ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE","",""
"351","DB04570",58,"latamoxef",-0.491933179310082,-0.486258907546515,-0.525001258259346,-0.469642115400159,-0.447125333526247,-0.405552549222966,"Third-generation cephalosporins","OTHER BETA-LACTAM ANTIBACTERIALS","ANTIBACTERIALS FOR SYSTEMIC USE","",""
"178","DB00784",59,"mefenamic acid",-0.490919604625296,-0.491401783821504,-0.525716417613082,-0.496064086322116,-0.49568739384539,-0.512877281968017,"Fenamates","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","currently used to treat endometriosis",""
"159","DB00726",60,"trimipramine",-0.490522126369413,-0.423328346980667,-0.552717763748026,-0.398628935319358,-0.559143072407402,-0.41778539128108,"Non-selective monoamine reuptake inhibitors","ANTIDEPRESSANTS","PSYCHOANALEPTICS","",""
"317","DB01232",61,"saquinavir",-0.488822964136013,-0.540919990260016,-0.527439772675891,-0.538054333416754,-0.537633293875002,-0.479045073738814,"Protease inhibitors","DIRECT ACTING ANTIVIRALS","ANTIVIRALS FOR SYSTEMIC USE","",""
"91","DB00502",62,"haloperidol",-0.486248148785312,-0.467146897265524,-0.475017997512828,-0.445110083261042,-0.433315455795401,-0.472378767050995,"Butyrophenone derivatives","ANTIPSYCHOTICS","PSYCHOLEPTICS","",""
"140","DB00672",63,"chlorpropamide",-0.485762361036579,-0.520252825727339,-0.445070669377644,-0.473252233455958,NA,-0.445499860576345,"Sulfonylureas","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","DRUGS USED IN DIABETES","",""
"120","DB00598",64,"labetalol",-0.484956660944513,-0.437747192706212,-0.497010169399085,-0.455037826870802,NA,-0.415170960061974,"Alpha and beta blocking agents and thiazides","BETA BLOCKING AGENTS AND THIAZIDES","BETA BLOCKING AGENTS","",""
"392","DB08954",65,"ifenprodil",-0.484729574503582,-0.455048607079725,-0.502349849656932,-0.457839453104233,-0.42195701123163,-0.416903617786418,"Other peripheral vasodilators","PERIPHERAL VASODILATORS","PERIPHERAL VASODILATORS","",""
"218","DB00945",66,"acetylsalicylic acid",-0.482041387008534,-0.511156855066162,-0.475882832307012,-0.505648312756881,-0.474509293520752,-0.508155015712714,"Beta blocking agents, other combinations","BETA BLOCKING AGENTS, OTHER COMBINATIONS","BETA BLOCKING AGENTS","currently used to treat endometriosis",""
"219","DB00945",66,"acetylsalicylic acid",-0.482041387008534,-0.511156855066162,-0.475882832307012,-0.505648312756881,-0.474509293520752,-0.508155015712714,"Antiinflammatory/antirheumatic agents in combination with corticosteroids","ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS","currently used to treat endometriosis",""
"220","DB00945",66,"acetylsalicylic acid",-0.482041387008534,-0.511156855066162,-0.475882832307012,-0.505648312756881,-0.474509293520752,-0.508155015712714,"Other agents for local oral treatment","STOMATOLOGICAL PREPARATIONS","STOMATOLOGICAL PREPARATIONS","currently used to treat endometriosis",""
"221","DB00945",66,"acetylsalicylic acid",-0.482041387008534,-0.511156855066162,-0.475882832307012,-0.505648312756881,-0.474509293520752,-0.508155015712714,"Platelet aggregation inhibitors excl. heparin","ANTITHROMBOTIC AGENTS","ANTITHROMBOTIC AGENTS","currently used to treat endometriosis",""
