gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism,signature_type
TES,,,-0.0448410771787166,,,-0.0448410771787166,-0.0448410771787166,,human,DOWN
STK38L,,,-0.0447289086878299,,,-0.0447289086878299,-0.0447289086878299,,human,DOWN
CHRND,,-0.0445557422935962,,,,-0.0445557422935962,-0.0445557422935962,,human,DOWN
CALR,,,,-0.0443794913589954,,-0.0443794913589954,-0.0443794913589954,,human,DOWN
FILIP1L,,,-0.0443712100386619,,,-0.0443712100386619,-0.0443712100386619,,human,DOWN
COX5A,-0.0443051606416702,,,,,-0.0443051606416702,-0.0443051606416702,,human,DOWN
EIF1B,,,-0.0441227480769157,,,-0.0441227480769157,-0.0441227480769157,,human,DOWN
TSPYL1,,,-0.0439083352684974,,,-0.0439083352684974,-0.0439083352684974,,human,DOWN
ATP5B,-0.0437049753963947,,,,,-0.0437049753963947,-0.0437049753963947,,human,DOWN
LLPH,-0.0436967238783836,,,,,-0.0436967238783836,-0.0436967238783836,,human,DOWN
SLC19A2,-0.0432585217058658,,,,,-0.0432585217058658,-0.0432585217058658,,human,DOWN
LOC642980,,-0.0432000420987606,,,,-0.0432000420987606,-0.0432000420987606,,human,DOWN
ROCK1,,,-0.0431639477610588,,,-0.0431639477610588,-0.0431639477610588,,human,DOWN
ECI2,-0.0431561730802059,,,,,-0.0431561730802059,-0.0431561730802059,,human,DOWN
XPNPEP2,,-0.0428737811744213,,,,-0.0428737811744213,-0.0428737811744213,,human,DOWN
RPL27A,,,,-0.04281572625041,,-0.04281572625041,-0.04281572625041,,human,DOWN
FAM71E1,,,,,-0.0427499189972877,-0.0427499189972877,-0.0427499189972877,-0.0427499189972877,human,DOWN
ACTR10,,,-0.0426990948617458,,,-0.0426990948617458,-0.0426990948617458,,human,DOWN
ACTN1,,,,-0.0423567071557045,,-0.0423567071557045,-0.0423567071557045,,human,DOWN
RPS2,,,,-0.0422886051237583,,-0.0422886051237583,-0.0422886051237583,,human,DOWN
FLNC,-0.0420627854764461,,,,,-0.0420627854764461,-0.0420627854764461,,human,DOWN
EXO1,,,,,-0.0419528894126415,-0.0419528894126415,-0.0419528894126415,-0.0419528894126415,human,DOWN
CAPZB,,,,-0.04165780544281,,-0.04165780544281,-0.04165780544281,,human,DOWN
