gene_symbol,logfc_dz:326,logfc_dz:117,logfc_dz:950,logfc_dz:951,logfc_dz:949,logfc_dz:948,mean_logfc,median_logfc,common_experiment,organism,signature_type
THAP6,,,,-0.0245011337101459,-0.0312107186764478,,-0.0278559261932969,-0.0278559261932969,,human,DOWN
ZFP37,,,,,,-0.0278240330517292,-0.0278240330517292,-0.0278240330517292,,human,DOWN
MIS18BP1,,,,,-0.0278050433844327,,-0.0278050433844327,-0.0278050433844327,,human,DOWN
C4orf46,-0.0381771996617317,-0.0174257755279541,,,,,-0.0278014875948429,-0.0278014875948429,,human,DOWN
PMS1,,,,,-0.027741240337491,,-0.027741240337491,-0.027741240337491,,human,DOWN
FGL2,,,-0.0250624939799308,-0.0399276204407215,-0.0199206713587045,-0.025996034964919,-0.027726705186069,-0.0255292644724249,-0.0250624939799308,human,DOWN
APOD,-0.0309744421392679,-0.0244638919830322,,,,,-0.02771916706115,-0.02771916706115,,human,DOWN
HOXB2,,,-0.0411354713141918,-0.0142728937789797,,,-0.0277041825465857,-0.0277041825465857,-0.0411354713141918,human,DOWN
MICALCL,,,-0.0276814419776201,,,,-0.0276814419776201,-0.0276814419776201,-0.0276814419776201,human,DOWN
APOBEC3A,,,-0.0346997380256652,,-0.0205815322697162,,-0.0276406351476907,-0.0276406351476907,-0.0346997380256652,human,DOWN
FAT4,,,,-0.0275521874427795,,,-0.0275521874427795,-0.0275521874427795,,human,DOWN
ELF5,,,-0.0275308620184659,,,,-0.0275308620184659,-0.0275308620184659,-0.0275308620184659,human,DOWN
CDK11B,,,-0.0169187169522047,,-0.0380543358623981,,-0.0274865264073014,-0.0274865264073014,-0.0169187169522047,human,DOWN
TAGLN,,-0.0274347551167011,,,,,-0.0274347551167011,-0.0274347551167011,,human,DOWN
BBS10,,,-0.0208429712802171,,-0.0334262512624263,-0.0279555208981037,-0.0274082478135824,-0.0279555208981037,-0.0208429712802171,human,DOWN
CXCL12,,-0.0274043604731559,,,,,-0.0274043604731559,-0.0274043604731559,,human,DOWN
C9orf3,,,-0.0273625198751688,,,,-0.0273625198751688,-0.0273625198751688,-0.0273625198751688,human,DOWN
FAM122C,,,-0.0329853147268295,-0.0214716084301471,,,-0.0272284615784883,-0.0272284615784883,-0.0329853147268295,human,DOWN
S100P,,-0.0271854847669601,,,,,-0.0271854847669601,-0.0271854847669601,,human,DOWN
HESX1,,,,-0.0201578363776206,-0.0153864668682217,-0.0459880977869033,-0.0271774670109152,-0.0201578363776206,,human,DOWN
CERK,,,-0.0270925965160131,,,,-0.0270925965160131,-0.0270925965160131,-0.0270925965160131,human,DOWN
ZNF665,,,-0.027064599096775,,,,-0.027064599096775,-0.027064599096775,-0.027064599096775,human,DOWN
SLC2A5,,,,,,-0.0270440187305212,-0.0270440187305212,-0.0270440187305212,,human,DOWN
FBLN5,,,-0.0270098075270652,,,,-0.0270098075270652,-0.0270098075270652,-0.0270098075270652,human,DOWN
SYT17,,,,,,-0.0270080063492059,-0.0270080063492059,-0.0270080063492059,,human,DOWN
JAM2,,,,,,-0.0269675757735967,-0.0269675757735967,-0.0269675757735967,,human,DOWN
RPL35,-0.037611499428749,-0.0163060706108808,,,,,-0.0269587850198149,-0.0269587850198149,,human,DOWN
ZBED8,,,,,,-0.0269473958760499,-0.0269473958760499,-0.0269473958760499,,human,DOWN
THTPA,,,,,,-0.0269191861152648,-0.0269191861152648,-0.0269191861152648,,human,DOWN
MX1,0.0457492806017398,,,-0.0409405305981636,-0.0671803057193756,-0.0452127903699874,-0.0268960865214467,-0.0430766604840755,,human,DOWN
ZNF623,,,,-0.0168549995869398,-0.0368903614580631,,-0.0268726805225014,-0.0268726805225014,,human,DOWN
