gene_symbol,logfc_dz:774,logfc_dz:775,logfc_dz:776,logfc_dz:777,logfc_dz:808,logfc_dz:778,logfc_dz:613,mean_logfc,median_logfc,common_experiment,organism,signature_type
SNRPG,0.0317693650722503,0.0390039160847663,0.0134760877117514,0.0314421206712722,,0.0187621507793664,,0.0268907280638813,0.0314421206712722,0.0134760877117514,human,UP
ALOX5AP,,,,,0.0252916738390922,,0.0282657854259014,0.0267787296324968,0.0267787296324968,,human,UP
ERRFI1,0.0265657734125852,,,,,,,0.0265657734125852,0.0265657734125852,,human,UP
TFRC,,,,,0.0353742614388465,,0.0173915475606918,0.0263829044997692,0.0263829044997692,,human,UP
CDK2AP1,0.0255239456892013,0.0286503806710243,,0.0183644108474254,0.0320873223245143,0.0293891206383705,0.0237122792750597,0.0262879099075992,0.0270871631801128,,human,UP
NDUFA1,,,,0.0301350429654121,0.031262319535017,,0.0169085282832384,0.0261019635945558,0.0301350429654121,,human,UP
YBX1,0.0278447549790143,0.0251459293067455,,,0.0233960282057523,0.042260643094778,0.0118506401777267,0.0260995991528034,0.0251459293067455,,human,UP
RPL10,0.023128243163228,0.0251578278839588,,0.0207884218543767,0.0407844856381416,0.0244667381048202,0.0221796184778213,0.0260842225203911,0.0237974906340241,,human,UP
H3F3B,0.0306614637374877,,0.0177303552627563,,0.042314063757658,0.0136170899495482,,0.0260807431768625,0.024195909500122,0.0177303552627563,human,UP
TIMMDC1,0.0323118679225444,0.0206469818949699,0.035393588244915,0.0234400518238544,,0.018530786037445,,0.0260646551847457,0.0234400518238544,0.035393588244915,human,UP
SLC38A1,,,,,0.0260623209178447,,,0.0260623209178447,0.0260623209178447,,human,UP
CS,0.036311499774456,0.0360586978495121,0.019282441586256,,0.0141947772353887,0.0365619957447052,0.013405755162239,0.0259691945587595,0.027670569717884,0.019282441586256,human,UP
RPL24,0.0479325167834758,0.0347858592867851,-0.0276631116867065,-0.0147655857726931,0.0877873823046684,0.0379822589457035,0.01488624420017,0.0258493662944861,0.0347858592867851,-0.0276631116867065,human,UP
NACAP1,0.0353982709348201,0.0162697602063417,,,,,,0.0258340155705809,0.0258340155705809,,human,UP
HNRNPA1,0.0354812853038311,0.0356236435472965,0.0120882205665111,,,0.0200790297240018,,0.0258180447854101,0.0277801575139164,0.0120882205665111,human,UP
TXNDC5,,0.0385210253298282,0.0314152054488658,0.0460576601326465,,-0.0128454305231571,,0.0257871150970459,0.034968115389347,0.0314152054488658,human,UP
ZWINT,0.0327621325850486,0.0378743819892406,0.0180860254913568,0.0269964765757322,,0.0257572326809167,0.0128461178392171,0.0257203945269187,0.0263768546283245,0.0180860254913568,human,UP
CNN3,,,,0.0305591411888599,,0.0208381861448287,,0.0256986636668443,0.0256986636668443,,human,UP
IFI44L,0.0216512568295002,0.0723283663392067,0.049381535500288,0.0313053652644157,,0.0192508995532989,-0.0397954806685447,0.0256869904696941,0.0264783110469579,0.049381535500288,human,UP
WBP5,0.0428637228906154,0.0314431451261043,,0.0306753255426883,0.0123924119397997,0.0238702297210693,0.0122483670711517,0.0255822003819048,0.0272727776318788,,human,UP
PPIA,0.0178977511823177,0.0188615899533033,,,0.0377004221081733,0.0209194216877222,0.0319448262453079,0.0254648022353649,0.0209194216877222,,human,UP
C1orf54,,,,0.0252901166677474,,,,0.0252901166677474,0.0252901166677474,,human,UP
PFDN5,,,,,0.0251501500606536,,,0.0251501500606536,0.0251501500606536,,human,UP
ITM2B,,,,0.0262594632804393,0.0250075086951255,0.0159225612878799,0.0333400592207908,0.0251323981210589,0.0256334859877824,,human,UP
NDUFA8,,,,,,0.0251312423497438,,0.0251312423497438,0.0251312423497438,,human,UP
TNFAIP3,0.0438898839056491,0.0249968208372592,0.0147866336628794,0.0180629268288612,0.01561791729182,,0.0329208560287952,0.0250458397592107,0.0215298738330602,0.0147866336628794,human,UP
