gene_symbol,logfc_dz:827,logfc_dz:753,logfc_dz:635,logfc_dz:828,logfc_dz:829,logfc_dz:830,logfc_dz:634,logfc_dz:467,logfc_dz:318,logfc_dz:712,logfc_dz:713,logfc_dz:714,logfc_dz:715,logfc_dz:565,logfc_dz:567,logfc_dz:568,logfc_dz:729,logfc_dz:566,mean_logfc,median_logfc,common_experiment,organism,signature_type
ILDR1,-0.1075149551033973,,-0.0757941231131553,,-0.1004664078354835,0.0112691922113299,-0.1410664469003677,,,,,,,,,,,,-0.0827145481482148,-0.1004664078354835,-0.1075149551033973,human,DOWN
FKBP5,,,,,,,,,,,,,,,,,-0.0821312665939331,,-0.0821312665939331,-0.0821312665939331,,human,DOWN
RSPH1,-0.1207018345594406,,-0.1448835879564285,-0.008116633631289,-0.1206908375024795,-0.0331461727619171,-0.1800842583179474,-0.0079811085015535,-0.0340958461165428,,,,,,,,,,-0.0812125349184498,-0.0773933418095111,-0.1207018345594406,human,DOWN
NUDT4P1,,,,,,,,,,,,,,-0.0788078755140304,,,,,-0.0788078755140304,-0.0788078755140304,,human,DOWN
MNDA,,,,,,,,,,,,,,,,,-0.0777530595660209,,-0.0777530595660209,-0.0777530595660209,,human,DOWN
IGLL5,-0.0887194946408271,,,-0.1525281369686126,,,-0.075766235589981,-0.1240216866135597,,,,,-0.0099483914673328,,,,-0.012605432420969,,-0.077264896283547,-0.0822428651154041,-0.0887194946408271,human,DOWN
NPIPB15,,,,,,,,,-0.0744100213050842,,,,,,,,,,-0.0744100213050842,-0.0744100213050842,,human,DOWN
FOXO3B,,,,,,,,,,,,,,-0.0941932052373886,-0.0212293155491352,-0.1061148643493652,,,-0.0738457950452963,-0.0941932052373886,,human,DOWN
IGHV3-48,,,,,,,,,,,,,,-0.1131257191300392,-0.0170730650424957,-0.1192377284169197,,-0.0357092954218387,-0.0712864520028233,-0.0744175072759389,,human,DOWN
FBXO7,,,,,,,,,,,,,,,,-0.0708260461688041,,,-0.0708260461688041,-0.0708260461688041,,human,DOWN
FTH1P5,,-0.1138032749295234,,,,,,,,-0.0734534263610839,0.0355757363140583,-0.1585692763328552,-0.0748732686042785,,,,-0.0217324942350387,,-0.0678093340247869,-0.0741633474826812,,human,DOWN
ZNF626,,,,,,,,,,,,,,-0.2046720534563064,0.0586476549506187,-0.1437877863645553,,0.0210378691554069,-0.067193578928709,-0.0613749586045742,,human,DOWN
LOC91548,,,,,,,,,-0.0647337660193443,,,,,,,,,,-0.0647337660193443,-0.0647337660193443,,human,DOWN
TRIT1,,,,,,,,,-0.0638517662882804,,,,,,,,,,-0.0638517662882804,-0.0638517662882804,,human,DOWN
GK3P,,,,,,,,,,,,,,-0.0314059033989906,,-0.0374902375042438,,-0.1214275136590004,-0.0634412181874116,-0.0374902375042438,,human,DOWN
KDM7A,,,,-0.055075317621231,,,,-0.0641775950789451,,,,,,,,,,,-0.0596264563500881,-0.0596264563500881,,human,DOWN
HLA-DQA1,,-0.0110933762043714,,,,,,,,,,,,-0.0668020099401474,-0.0789772048592567,-0.0789883360266685,,,-0.058965231757611,-0.072889607399702,,human,DOWN
CYAT1,,-0.0256002023816108,,,,,,,,,-0.0074772052466869,-0.0619997568428516,-0.1664134114980697,,,,-0.0327933020889759,,-0.058856775611639,-0.0327933020889759,,human,DOWN
TCP11L2,,,,,,,,,,,,,,-0.0429624617099761,-0.0510977394878864,-0.0738293901085853,,-0.0674194917082786,-0.0588272707536816,-0.0592586155980825,,human,DOWN
MARCH8,,,,,,,,,,,,,,-0.04332135617733,-0.0682936236262321,-0.0969458818435669,,-0.0239671729505062,-0.0581320086494088,-0.055807489901781,,human,DOWN
RGS18,,,,,,,,,,,,,-0.0182092189788818,,,,-0.0962752997875213,,-0.0572422593832016,-0.0572422593832016,,human,DOWN
FOS,-0.0940192937850952,0.0175632052123546,,-0.0461828522384166,,-0.0090160435065627,-0.0772911310195922,-0.033379890024662,,,,,,-0.0715487748384475,-0.0155403446406126,-0.080927774310112,-0.0596811771392822,-0.1517736166715622,-0.0565270629965446,-0.0596811771392822,-0.0940192937850952,human,DOWN
MTRNR2L2,-0.1191634759306907,,0.1609691381454467,-0.1748219132423401,0.0176643915474414,-0.0186528302729129,-0.0377492159605026,-0.2231060117483139,,,,,,,,,,,-0.0564085596374103,-0.0377492159605026,-0.1191634759306907,human,DOWN
NIPSNAP3A,,,,,,,,,-0.0563755072653293,,,,,,,,,,-0.0563755072653293,-0.0563755072653293,,human,DOWN
WFDC21P,,,,,,,,,-0.0561749041080474,,,,,,,,,,-0.0561749041080474,-0.0561749041080474,,human,DOWN
CYBB,,,,,,,,,,,,,,,,-0.0561512075364589,,,-0.0561512075364589,-0.0561512075364589,,human,DOWN
PIM1,,,,,,,,,,,,,,,-0.0336680635809898,-0.0571804419159889,,-0.0762693434953689,-0.0557059496641159,-0.0571804419159889,,human,DOWN
IGHG1,,,,,,,,,,,,,,-0.0798514038324356,-0.017848715186119,-0.0693140923976898,,,-0.0556714038054148,-0.0693140923976898,,human,DOWN
SLC25A37,,,,,,,,,,,,,,-0.0600350499153137,-0.0168713126331567,-0.072879634797573,,-0.0706079006195068,-0.0550984744913876,-0.0653214752674102,,human,DOWN
CXCL1,-0.1406766921281814,,0.0178633108735084,-0.0762077644467353,,,-0.1270251423120498,-0.054320678114891,0.0500679388642311,,,,,,,,,,-0.055049837877353,-0.0652642212808132,-0.1406766921281814,human,DOWN
