gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
GAPT,,,0.0185780730098485,,,,,,,,,,,,0.0233796816319227,,0.0209788773208856,0.0209788773208856,,human,UP
RORB,0.0209675785154104,,,,,,,,,,,,,,,,0.0209675785154104,0.0209675785154104,0.0209675785154104,human,UP
PDHX,,,,,,,,,,,,,,,,0.020959822461009,0.020959822461009,0.020959822461009,,human,UP
TMED1,,0.0253098346292972,,,,,,,0.0166070908308029,,,,,,,,0.02095846273005,0.02095846273005,,human,UP
TCF4,,,,,,,,0.020945731550455,,,,,,,,,0.020945731550455,0.020945731550455,,human,UP
MVP,,,,,,,,,,,,,,0.0209406036883592,,,0.0209406036883592,0.0209406036883592,,human,UP
CHGB,,,,,,,,,,,,,,,,0.0209348462522029,0.0209348462522029,0.0209348462522029,,human,UP
C20orf24,,,0.020921679213643,,,,,,,,,,,,,,0.020921679213643,0.020921679213643,,human,UP
BSN,,,,,,,,,,,,,0.0209185723215341,,,,0.0209185723215341,0.0209185723215341,,human,UP
GPX1,,,0.0587954148650169,,0.0207435879856348,,,-0.0167965870350599,,,,,,,,,0.0209141386051972,0.0207435879856348,,human,UP
SMAP2,,,,,,,,,,,,,,,0.0209039524197578,,0.0209039524197578,0.0209039524197578,,human,UP
PDIA3,,,,,,0.0225829258561134,0.0192168410867452,,,,,,,,,,0.0208998834714293,0.0208998834714293,,human,UP
SCN9A,,,,,,,,,,,,,,,,0.0208946708589792,0.0208946708589792,0.0208946708589792,,human,UP
KRBOX4,,,,,,,,,0.0226702950894832,0.0172481797635555,0.0227371007204055,,,,,,0.0208851918578147,0.0226702950894832,,human,UP
DMKN,,,,,,,,,,,,,,,,0.0208848062902688,0.0208848062902688,0.0208848062902688,,human,UP
HEG1,,,,,,,0.0208691768348217,,,,,,,,,,0.0208691768348217,0.0208691768348217,,human,UP
LMO1,,,,,,,,,,,,,,,,0.0208619777113199,0.0208619777113199,0.0208619777113199,,human,UP
CPEB1,,,,,,,,,0.0208584889769554,,,,,,,,0.0208584889769554,0.0208584889769554,,human,UP
LOC100506497,0.0208382904529571,,,,,,,,,,,,,,,,0.0208382904529571,0.0208382904529571,0.0208382904529571,human,UP
AZGP1,,,,,,,,,,,,,,,,0.0208306275308132,0.0208306275308132,0.0208306275308132,,human,UP
CAMP,,,0.0165360644459724,,,,,,,,,,,,0.0250998120754957,,0.020817938260734,0.020817938260734,,human,UP
PMS2P9,,0.0249996054917573,,,,,,,0.0209719352424144,0.0164767801761627,,,,,,,0.0208161069701115,0.0209719352424144,,human,UP
MFSD6L,,,,,,,,,,,,,,0.0208154022693634,,,0.0208154022693634,0.0208154022693634,,human,UP
MAGI3,,,,,,,,,,,,,,,,0.0208095144480466,0.0208095144480466,0.0208095144480466,,human,UP
FAHD2CP,,0.0203990992158651,,,,,,,0.0212114974856376,,,,,,,0.0207707341760396,0.0207937769591808,0.0207707341760396,,human,UP
NAA38,,0.0233303569257259,,,,,,,0.018254742026329,,,,,,,,0.0207925494760274,0.0207925494760274,,human,UP
ZNF23,,,,,,,,,,0.0162582322955131,0.0205707009881734,,,,,0.0255158189684152,0.0207815840840339,0.0205707009881734,,human,UP
LPCAT2,,,,,,,,,,,,,,0.0207503624260425,,,0.0207503624260425,0.0207503624260425,,human,UP
SEC63,,,,,,0.0207481402903795,,,,,,,,,,,0.0207481402903795,0.0207481402903795,,human,UP
PEG3-AS1,,,,,,,,,0.0207399986684322,,,,,,,,0.0207399986684322,0.0207399986684322,,human,UP
CMIP,,,,,,0.019813360646367,0.0216626264154911,,,,,,,,,,0.020737993530929,0.020737993530929,,human,UP
FYB,,,0.0207283794879913,,,,,,,,,,,,,,0.0207283794879913,0.0207283794879913,,human,UP
PUF60,,,,,,,,,,,0.0157686676830053,0.0256793834269046,,,,,0.020724025554955,0.020724025554955,,human,UP
