gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
IFI27,,,,,,,,,,,,,,,,-0.0372099466621875,-0.0372099466621875,-0.0372099466621875,,human,DOWN
ZNF32,-0.0370121449232101,,,,,,,,,,,,,,,,-0.0370121449232101,-0.0370121449232101,-0.0370121449232101,human,DOWN
FXYD5,,,-0.0455145463347435,,,,,,,,,,,,-0.0284242071211338,,-0.0369693767279386,-0.0369693767279386,,human,DOWN
ATP1B2,,,,-0.0572539679706096,-0.033253651112318,-0.0591102316975593,-0.0317468643188476,-0.0213674176484346,,,,,,-0.018885750323534,,,-0.0369363138452172,-0.0325002577155828,,human,DOWN
MICAL2,,,,,,,,,,,,-0.0368739143013954,,,,,-0.0368739143013954,-0.0368739143013954,,human,DOWN
NTS,,,,,,,,,,,,,,-0.0367015711963176,,,-0.0367015711963176,-0.0367015711963176,,human,DOWN
PLAC4,,,,,,,,,,,,,,,,-0.0365764945745468,-0.0365764945745468,-0.0365764945745468,,human,DOWN
LZTS1,,,,,,,,,,,,,,-0.0365570560097694,,,-0.0365570560097694,-0.0365570560097694,,human,DOWN
ARL17B,,,,,,,,,,-0.0311626568436622,-0.0418129302561283,,,,,,-0.0364877935498952,-0.0364877935498952,,human,DOWN
PTPRZ1,,,,-0.0522258095443248,,-0.0908262506127357,,-0.021902460604906,,,0.0150539120659232,,-0.0493625849485397,-0.0189547538757324,,,-0.0363696579200526,-0.0356325227767229,,human,DOWN
GLS,,,,,,,,,,,,-0.0361845307052135,,,,,-0.0361845307052135,-0.0361845307052135,,human,DOWN
DEFA6,,,,,,,,,,,,,,-0.0359339639544487,,,-0.0359339639544487,-0.0359339639544487,,human,DOWN
SIK1,,,,,,,,,,,,,,,,-0.0358708873391151,-0.0358708873391151,-0.0358708873391151,,human,DOWN
SCN2A,,-0.0368912667036056,,,,,,,-0.0347145795822143,,,,,,,,-0.03580292314291,-0.03580292314291,,human,DOWN
