gene_symbol,logfc_dz:305,logfc_dz:904,logfc_dz:110,logfc_dz:779,mean_logfc,median_logfc,common_experiment,organism,signature_type
ANGPTL2,,,0.0245192758738994,,0.0245192758738994,0.0245192758738994,,human,UP
CSK,,,0.0245051402598619,,0.0245051402598619,0.0245051402598619,,human,UP
XBP1,,,0.0307192113250494,0.0180851723998785,0.0244021918624639,0.0244021918624639,,human,UP
RPS10,,0.067316822707653,-0.0192183163017034,,0.0240492532029747,0.0240492532029747,,human,UP
COX6A1,,,0.0239699985831975,,0.0239699985831975,0.0239699985831975,,human,UP
SAT1,,0.0239667035639286,,,0.0239667035639286,0.0239667035639286,,human,UP
CHST15,,,,0.0237735658884048,0.0237735658884048,0.0237735658884048,,human,UP
VCAN,,0.0221151933073997,,0.025411207228899,0.0237632002681493,0.0237632002681493,,human,UP
SGK1,,,,0.0236917324364185,0.0236917324364185,0.0236917324364185,,human,UP
NDUFA1,,0.0236623622477054,,,0.0236623622477054,0.0236623622477054,,human,UP
PSME2,,-0.0085958018898963,0.0267076436430215,0.0524282976984977,0.0235133798172076,0.0267076436430215,,human,UP
CORO1A,,,0.0234769452363252,,0.0234769452363252,0.0234769452363252,,human,UP
COL5A2,0.0141410278156399,,0.0325465984642505,,0.0233438131399452,0.0233438131399452,0.0141410278156399,human,UP
IL23A,0.0059408629313111,,0.0399527251720428,,0.0229467940516769,0.0229467940516769,0.0059408629313111,human,UP
CXCL12,,,0.0227825827896595,,0.0227825827896595,0.0227825827896595,,human,UP
EZR,,,0.0116825085133314,0.0337510704994201,0.0227167895063757,0.0227167895063757,,human,UP
TAPBP,,,0.022499231621623,,0.022499231621623,0.022499231621623,,human,UP
C18orf25,0.022464070469141,,,,0.022464070469141,0.022464070469141,0.022464070469141,human,UP
SLC3A2,,,,0.0223432574421167,0.0223432574421167,0.0223432574421167,,human,UP
HERC5,,0.0222809948027133,,,0.0222809948027133,0.0222809948027133,,human,UP
ELANE,,0.0222013927996158,,,0.0222013927996158,0.0222013927996158,,human,UP
MX1,,0.0619729310274124,,-0.0179465282708406,0.0220132013782858,0.0220132013782858,,human,UP
ETHE1,,,0.0219473056495189,,0.0219473056495189,0.0219473056495189,,human,UP
LTA4H,,,0.021933564916253,,0.021933564916253,0.021933564916253,,human,UP
CYCS,,,,0.0218317601829767,0.0218317601829767,0.0218317601829767,,human,UP
MSN,,0.026225546374917,,0.0174332037568092,0.0218293750658631,0.0218293750658631,,human,UP
IGSF6,,0.0217984691262245,,,0.0217984691262245,0.0217984691262245,,human,UP
ATP6V1B2,,,,0.021693754941225,0.021693754941225,0.021693754941225,,human,UP
LRRC15,,,0.0215588342398405,,0.0215588342398405,0.0215588342398405,,human,UP
CUL1,0.0213454775512218,,,,0.0213454775512218,0.0213454775512218,0.0213454775512218,human,UP
RPS27A,,0.0232221577316522,,0.0193128380924463,0.0212674979120492,0.0212674979120492,,human,UP
CD48,,,,0.0211559031158685,0.0211559031158685,0.0211559031158685,,human,UP
PSMB1,,0.0155153051018714,,0.0266771279275417,0.0210962165147066,0.0210962165147066,,human,UP
RAB21,0.0210056342184543,,,,0.0210056342184543,0.0210056342184543,0.0210056342184543,human,UP
TSC22D1,,,,0.0209742113947868,0.0209742113947868,0.0209742113947868,,human,UP
TAGLN2,,-0.0080006243661046,0.0259348582476377,0.0444204434752464,0.0207848924522598,0.0259348582476377,,human,UP
ATP6V1A,,,,0.0207354426383972,0.0207354426383972,0.0207354426383972,,human,UP
LST1,0.0060677914880216,,0.0352192111313343,,0.0206435013096779,0.0206435013096779,0.0060677914880216,human,UP
IL17RA,,0.0206244774162769,,,0.0206244774162769,0.0206244774162769,,human,UP
IFI6,,0.0201776959002017,,,0.0201776959002017,0.0201776959002017,,human,UP
PCOLCE,-0.0096931401640176,,0.0499920472502708,,0.0201494535431265,0.0201494535431265,-0.0096931401640176,human,UP
SERF2,,0.0200591906905174,,,0.0200591906905174,0.0200591906905174,,human,UP
CD74,,-0.0215905494987964,0.0580564849078655,0.0230943635106086,0.0198534329732259,0.0230943635106086,,human,UP
RPS24,,0.0527146309614181,-0.0345944315195083,0.0359810516238212,0.0180337503552436,0.0359810516238212,,human,UP
EMP3,,-0.0218336712568998,0.0233095623552799,0.0347463674843311,0.012074086194237,0.0233095623552799,,human,UP
RPL30,,0.0379176624119281,-0.0264861974865198,0.0209759771823883,0.0108024807025988,0.0209759771823883,,human,UP
RPS25,,0.0243107248097658,-0.0258021689951419,0.0279824528843164,0.00883033623298,0.0243107248097658,,human,UP
RPS20,,0.0301755722612142,-0.0365557633340358,0.0248193759471178,0.0061463949580987,0.0248193759471178,,human,UP
ACTB,0.0220852326601743,-0.0336658544838428,,0.0260545779019594,0.0048246520260969,0.0220852326601743,0.0220852326601743,human,UP
CD14,,0.0275687612593173,0.0627670362591743,-0.0762102156877517,0.0047085272769133,0.0275687612593173,,human,UP
HLA-DPA1,,-0.0763429999351501,0.0484221428632736,0.0336459651589393,0.0019083693623542,0.0336459651589393,,human,UP
TPR,-0.1695744544267654,,,,-0.1695744544267654,-0.1695744544267654,-0.1695744544267654,human,DOWN
APOD,,,-0.1521407514810562,,-0.1521407514810562,-0.1521407514810562,,human,DOWN
