gene_symbol,logfc_dz:494,logfc_dz:1060,logfc_dz:1063,logfc_dz:277,logfc_dz:1061,logfc_dz:310,logfc_dz:1062,mean_logfc,median_logfc,common_experiment,organism,signature_type
CXCL6,,,,,,-0.023871537297964,,-0.023871537297964,-0.023871537297964,,human,DOWN
DPF2,-0.023806907236576,,,,,,,-0.023806907236576,-0.023806907236576,,human,DOWN
TNC,,-0.0237960536032915,,,,,,-0.0237960536032915,-0.0237960536032915,-0.0237960536032915,human,DOWN
HNRNPA2B1,-0.0128921493887901,,,,,,-0.0346712246537208,-0.0237816870212554,-0.0237816870212554,,human,DOWN
RAB7A,,,,,-0.0237359348684549,,,-0.0237359348684549,-0.0237359348684549,,human,DOWN
CLDN6,,,,,,-0.0236674137413501,,-0.0236674137413501,-0.0236674137413501,,human,DOWN
PGRMC2,,-0.0236577149480581,,,,,,-0.0236577149480581,-0.0236577149480581,-0.0236577149480581,human,DOWN
VASP,,,,,,-0.0236380398273468,,-0.0236380398273468,-0.0236380398273468,,human,DOWN
CYP1B1,,-0.0235708076506853,,,,,,-0.0235708076506853,-0.0235708076506853,-0.0235708076506853,human,DOWN
NDUFB8,-0.023546814918518,,,,,,,-0.023546814918518,-0.023546814918518,,human,DOWN
TOP2A,,,,,-0.0269245468080043,,-0.0201642122119665,-0.0235443795099854,-0.0235443795099854,,human,DOWN
TMEM87A,,,,,-0.0235277749598026,,,-0.0235277749598026,-0.0235277749598026,,human,DOWN
KRT33A,,,,,,-0.0234478525817394,,-0.0234478525817394,-0.0234478525817394,,human,DOWN
LAMP5,,,-0.0234009865671396,,,,,-0.0234009865671396,-0.0234009865671396,,human,DOWN
BST2,,,,,-0.023399343714118,,,-0.023399343714118,-0.023399343714118,,human,DOWN
M6PR,,,,,,,-0.0233792681246995,-0.0233792681246995,-0.0233792681246995,,human,DOWN
MAGED1,-0.0153274005278944,,-0.0295137111097574,-0.0251452140510082,,,,-0.0233287752295533,-0.0251452140510082,,human,DOWN
GPRC5A,,,,,,-0.0232552718371152,,-0.0232552718371152,-0.0232552718371152,,human,DOWN
F2RL2,,,,,,-0.0128396386280655,-0.0336214937269687,-0.0232305661775171,-0.0232305661775171,,human,DOWN
UQCRH,-0.0310970973223447,,-0.0148076089099049,-0.0615118891000747,0.0145203629508614,,,-0.0232240580953657,-0.0229523531161248,,human,DOWN
SMC3,,,,,,,-0.0232181455940008,-0.0232181455940008,-0.0232181455940008,,human,DOWN
PTPN11,,,,,,,-0.0232027005404233,-0.0232027005404233,-0.0232027005404233,,human,DOWN
RSL1D1,,,,,,,-0.0230582412332296,-0.0230582412332296,-0.0230582412332296,,human,DOWN
DCBLD2,,,,,,-0.0229612719267606,,-0.0229612719267606,-0.0229612719267606,,human,DOWN
COX6A1,-0.0459982678294181,,,-0.047439519315958,0.024569496512413,,,-0.0229560968776543,-0.0459982678294181,,human,DOWN
TPR,,,,,,,-0.022941879928112,-0.022941879928112,-0.022941879928112,,human,DOWN
VAT1L,,,-0.0227053519338369,,-0.023170918226242,,,-0.0229381350800395,-0.0229381350800395,,human,DOWN
DNTTIP2,,,,,,,-0.0229135770350694,-0.0229135770350694,-0.0229135770350694,,human,DOWN
CDCA8,-0.0228918809443712,,,,,,,-0.0228918809443712,-0.0228918809443712,,human,DOWN
ATRX,,,,,,,-0.0228806547820568,-0.0228806547820568,-0.0228806547820568,,human,DOWN
NUP62,-0.0228675045073032,,,,,,,-0.0228675045073032,-0.0228675045073032,,human,DOWN
CABP1,,,,-0.0228359755128622,,,,-0.0228359755128622,-0.0228359755128622,,human,DOWN
APRT,-0.0227723475545644,,,,,,,-0.0227723475545644,-0.0227723475545644,,human,DOWN
MYB,-0.0647612586617469,,,,,,0.019218435510993,-0.0227714115753769,-0.0227714115753769,,human,DOWN
POLR2G,-0.026961300522089,,-0.0185589417815208,,,,,-0.0227601211518049,-0.0227601211518049,,human,DOWN
COX7C,-0.0292594879865646,-0.0153521010652184,,-0.0236581172794103,,,,-0.0227565687770644,-0.0236581172794103,-0.0153521010652184,human,DOWN
REPIN1,-0.0227322019636631,,,,,,,-0.0227322019636631,-0.0227322019636631,,human,DOWN
TFAP2B,,,,,,-0.0227027609944343,,-0.0227027609944343,-0.0227027609944343,,human,DOWN
SEC31B,-0.0129651669412851,,-0.0271142348647117,-0.0280059166252613,,,,-0.0226951061437527,-0.0271142348647117,,human,DOWN
CUTA,-0.0196996293962001,,-0.0201414190232753,-0.0282135810703039,,,,-0.0226848764965931,-0.0201414190232753,,human,DOWN
ZNF711,,,,,,,-0.022631062194705,-0.022631062194705,-0.022631062194705,,human,DOWN
RPL15,,,-0.0161737632006406,,-0.0250390190631151,,-0.0266717988997697,-0.0226281937211751,-0.0250390190631151,,human,DOWN
PSMB7,-0.0226217359304428,,,,,,,-0.0226217359304428,-0.0226217359304428,,human,DOWN
EIF1,,,-0.0225288327783346,,,,,-0.0225288327783346,-0.0225288327783346,,human,DOWN
GAA,-0.0224659331142902,,,,,,,-0.0224659331142902,-0.0224659331142902,,human,DOWN
GTF3A,-0.0224510580301284,,,,,,,-0.0224510580301284,-0.0224510580301284,,human,DOWN
SRSF5,,,,,-0.0224217250943183,,,-0.0224217250943183,-0.0224217250943183,,human,DOWN
PCBP1,-0.0285895578563213,,-0.016239745542407,,,,,-0.0224146516993641,-0.0224146516993641,,human,DOWN
TNIK,,,,,,,-0.0223200414329767,-0.0223200414329767,-0.0223200414329767,,human,DOWN
HEG1,,-0.0223050396889448,,,,,,-0.0223050396889448,-0.0223050396889448,-0.0223050396889448,human,DOWN
ATP6V0B,,,,-0.0223014540970325,,,,-0.0223014540970325,-0.0223014540970325,,human,DOWN
PNN,-0.0198979992419481,,,,-0.0246777553111314,,,-0.0222878772765398,-0.0222878772765398,,human,DOWN
YWHAQ,-0.0281855911016464,-0.0128065310418605,-0.0257635843008756,,,,,-0.0222519021481275,-0.0257635843008756,-0.0128065310418605,human,DOWN
COX6A2,,,,,,-0.0222037695348262,,-0.0222037695348262,-0.0222037695348262,,human,DOWN
NUP50,-0.0221384949982166,,,,,,,-0.0221384949982166,-0.0221384949982166,,human,DOWN
CENPF,,,,,,,-0.0221382919698953,-0.0221382919698953,-0.0221382919698953,,human,DOWN
ENY2,-0.0134826498106122,,,,,,-0.030691709369421,-0.0220871795900166,-0.0220871795900166,,human,DOWN
PRMT1,,,,,-0.0220788400620222,,,-0.0220788400620222,-0.0220788400620222,,human,DOWN
NEXN,,,,,,-0.0220787916332483,,-0.0220787916332483,-0.0220787916332483,,human,DOWN
SKIL,,,,,,,-0.0220621898770332,-0.0220621898770332,-0.0220621898770332,,human,DOWN
UQCR10,,,,-0.022043377161026,,,,-0.022043377161026,-0.022043377161026,,human,DOWN
PTBP2,,,,,-0.0220149029046297,,,-0.0220149029046297,-0.0220149029046297,,human,DOWN
SAT1,-0.0116583351045846,,-0.0322332605719566,,,,,-0.0219457978382706,-0.0219457978382706,,human,DOWN
CHPT1,,,,,,,-0.021938506513834,-0.021938506513834,-0.021938506513834,,human,DOWN
STK38L,,,,,,-0.0219209045171737,,-0.0219209045171737,-0.0219209045171737,,human,DOWN
