gene_symbol,logfc_dz:135,logfc_dz:485,logfc_dz:835,logfc_dz:834,logfc_dz:639,logfc_dz:638,logfc_dz:990,logfc_dz:866,logfc_dz:603,logfc_dz:991,mean_logfc,median_logfc,common_experiment,organism,signature_type
LGMN,,,,,,,0.0249140672385692,,,,0.0249140672385692,0.0249140672385692,,human,UP
IFNGR2,,,,,,,0.0246354695409536,,,,0.0246354695409536,0.0246354695409536,,human,UP
SEC61G,0.0149771841242909,,0.0276872403919696,0.0357533879578113,,0.0296366810798645,0.021230824291706,,,0.0165865756571292,0.0243119822504619,0.0244590323418378,0.0296366810798645,human,UP
CD52,,,,,,,,0.0242488533258438,,,0.0242488533258438,0.0242488533258438,,human,UP
ZNF217,,,,,,,0.0241708289831876,,,,0.0241708289831876,0.0241708289831876,,human,UP
S100A13,,,,,,0.024163506925106,,,,,0.024163506925106,0.024163506925106,0.024163506925106,human,UP
BZW2,,,0.0234064161777496,0.0248254183679819,,,,,,,0.0241159172728657,0.0241159172728657,,human,UP
WDR43,,,,0.0240845531225204,,,,,,,0.0240845531225204,0.0240845531225204,,human,UP
ZMPSTE24,,,,,,,0.0240236893296241,,,,0.0240236893296241,0.0240236893296241,,human,UP
SLC4A1,,,,,,,,0.0240183621644973,,,0.0240183621644973,0.0240183621644973,,human,UP
EMC7,0.0256937351077795,,,,0.0205249208956956,0.0253624022006988,,,,,0.0238603527347246,0.0253624022006988,0.0253624022006988,human,UP
ERG,,,,0.0238270554691553,,,,,,,0.0238270554691553,0.0238270554691553,,human,UP
MMP7,,,,,,,0.0237885434180498,,,,0.0237885434180498,0.0237885434180498,,human,UP
RPL14,,,0.0172120202332735,0.0302347429096698,,,,,,,0.0237233815714716,0.0237233815714716,,human,UP
PDIA4,,,0.0256258454173803,0.0265222806483507,,,,,,0.0185120943933725,0.0235534068197011,0.0256258454173803,,human,UP
HSD17B12,0.0249423701316118,,,,0.0197189897298812,0.0258946772664785,,,,,0.0235186790426572,0.0249423701316118,0.0258946772664785,human,UP
ZNF528,,,0.0258275046944618,0.0210852585732936,,,,,,,0.0234563816338777,0.0234563816338777,,human,UP
ITGB2,,,,,,,,0.0234077516943216,,,0.0234077516943216,0.0234077516943216,,human,UP
LPCAT1,,,,,,,,,,0.0233639851212501,0.0233639851212501,0.0233639851212501,,human,UP
RAMP1,,0.0301344003528356,,,0.0162977203726768,,,,,,0.0232160603627562,0.0232160603627562,,human,UP
CCND3,0.0271249338984489,,,,0.0278349742293357,0.014084487222135,,,,,0.0230147984499732,0.0271249338984489,0.014084487222135,human,UP
MLEC,,0.034985926002264,,,,0.01321582775563,,,,0.0208319202065467,0.0230112246548136,0.0208319202065467,0.01321582775563,human,UP
