gene_symbol,logfc_dz,mean_logfc,median_logfc,p_val,p_val_adj,pct.1,pct.2,signature_type
ANKHD1,0.0903761511592623,0.0903761511592623,0.0903761511592623,2.66618757156957e-21,7.72874453246586e-17,0.18,0.134,UP
TBC1D23,0.0898863592475839,0.0898863592475839,0.0898863592475839,2.41435356829675e-08,0.0006998728123778,0.148,0.098,UP
C12orf75,0.0898286852357074,0.0898286852357074,0.0898286852357074,2.67691273975041e-10,7.75983464998849e-06,0.116,0.077,UP
RASA2,0.0897515250730055,0.0897515250730055,0.0897515250730055,5.8154092391402897e-11,1.68577083024199e-06,0.119,0.082,UP
P4HA2,0.0895717722546939,0.0895717722546939,0.0895717722546939,3.6933834622947e-36,1.07063799804999e-31,0.342,0.279,UP
TXLNG,0.0894694949094337,0.0894694949094337,0.0894694949094337,8.10655478205821e-08,0.002349928100223,0.104,0.071,UP
BCL7B,0.0894577818108895,0.0894577818108895,0.0894577818108895,2.59967685224772e-08,0.0007535943259295,0.114,0.069,UP
KANSL1,0.0894269150586474,0.0894269150586474,0.0894269150586474,1.9372624111248999e-13,5.6157362773688405e-09,0.231,0.196,UP
SPATS2,0.0894109700488775,0.0894109700488775,0.0894109700488775,1.71490745976478e-07,0.0049711737443661,0.228,0.162,UP
OTULIN,0.089152841742821,0.089152841742821,0.089152841742821,1.67625456653979e-13,4.85912673748555e-09,0.126,0.094,UP
STX12,0.0888590207262199,0.0888590207262199,0.0888590207262199,3.1852270932788703e-14,9.23333629799679e-10,0.196,0.134,UP
PDZD8,0.0888421561955728,0.0888421561955728,0.0888421561955728,2.0095857729816e-14,5.82538723871906e-10,0.16,0.123,UP
SERPING1,0.0885495499110502,0.0885495499110502,0.0885495499110502,6.454530988678609e-272,1.87103944299816e-267,0.529,0.508,UP
RNF145,0.0883836813649128,0.0883836813649128,0.0883836813649128,3.1238011269391e-28,9.05527470677108e-24,0.185,0.136,UP
ANKRD12,0.0881016780468414,0.0881016780468414,0.0881016780468414,1.17654793332095e-21,3.4105771491107704e-17,0.244,0.211,UP
DDHD1,0.0879825720852487,0.0879825720852487,0.0879825720852487,3.1810147065407502e-15,9.221125431320339e-11,0.159,0.123,UP
SEC24D,0.0879435099549895,0.0879435099549895,0.0879435099549895,9.83855947051955e-21,2.85200161931421e-16,0.215,0.16,UP
NOLC1,0.087888369408688,0.087888369408688,0.087888369408688,5.70933001447221e-15,1.6550205845952e-10,0.218,0.174,UP
MACF1,0.0878510071547547,0.0878510071547547,0.0878510071547547,8.52391160143797e-43,2.47091149502484e-38,0.352,0.311,UP
LPIN2,0.087452620131913,0.087452620131913,0.087452620131913,1.2058928913443e-13,3.4956423134288505e-09,0.153,0.097,UP
FSTL1,0.0873557013729724,0.0873557013729724,0.0873557013729724,6.57976581823347e-37,1.90734251538952e-32,0.508,0.464,UP
EIF3L,0.0868960579557991,0.0868960579557991,0.0868960579557991,1.11449030620449e-15,3.23068449962557e-11,0.375,0.301,UP
MSH6,0.0867175232801638,0.0867175232801638,0.0867175232801638,1.2712993551393502e-31,3.68524257067796e-27,0.119,0.088,UP
ZNF217,0.0864781519500871,0.0864781519500871,0.0864781519500871,7.83763041656768e-32,2.27197230515464e-27,0.157,0.108,UP
PACSIN2,0.0864559928381137,0.0864559928381137,0.0864559928381137,6.65092581223344e-07,0.0192797037445023,0.103,0.067,UP
ITGB8,0.0859284199997665,0.0859284199997665,0.0859284199997665,5.5938624654313794e-11,1.62154885147925e-06,0.32,0.279,UP
YAF2,0.085688054851822,0.085688054851822,0.085688054851822,7.87331433895695e-20,2.28231636057684e-15,0.163,0.116,UP
PSD3,0.0851778747985984,0.0851778747985984,0.0851778747985984,4.03482353492828e-33,1.16961464630501e-28,0.251,0.196,UP
EIF2A,0.0846775796924932,0.0846775796924932,0.0846775796924932,1.30981837785324e-09,3.79690151372098e-05,0.315,0.246,UP
BCLAF1,0.0839976926474568,0.0839976926474568,0.0839976926474568,3.3045961334492e-35,9.579363271642531e-31,0.438,0.4,UP
HSPB2,0.0823264675620412,0.0823264675620412,0.0823264675620412,3.8747173602267204e-60,1.12320306838252e-55,0.147,0.101,UP
GPATCH2L,0.0821902258467841,0.0821902258467841,0.0821902258467841,5.17550713098117e-16,1.50027600712882e-11,0.184,0.139,UP
CSNK2A2,0.0813450530837531,0.0813450530837531,0.0813450530837531,5.5928282439152903e-14,1.6212490513461602e-09,0.152,0.1,UP
ZNF83,0.081257173287217,0.081257173287217,0.081257173287217,9.746301681953899e-27,2.8252579315648e-22,0.145,0.096,UP
RERE,0.0811731469173372,0.0811731469173372,0.0811731469173372,8.15649363124497e-36,2.36440437382529e-31,0.229,0.193,UP
UBR4,0.0809804183792631,0.0809804183792631,0.0809804183792631,1.61141714683671e-07,0.0046711760252502,0.106,0.066,UP
SIN3A,0.080977217077919,0.080977217077919,0.080977217077919,1.80063673777173e-17,5.2196857754527e-13,0.116,0.09,UP
