gene_symbol,logfc_dz:393,logfc_dz:149,logfc_dz:945,logfc_dz:947,logfc_dz:946,logfc_dz:883,mean_logfc,median_logfc,common_experiment,organism,signature_type
SET,0.0284874495118856,,0.0380980372428894,0.037563644349575,0.0174971669912338,,0.0304115745238959,0.0330255469307303,,human,UP
SOD1,,0.0511125288903713,,,0.0195528026670217,0.0203349143266677,0.0303334152946869,0.0203349143266677,0.0203349143266677,human,UP
TMA7,0.0240503679960966,0.0448494888842105,0.0122852455824613,0.0401279777288436,,,0.030328270047903,0.0320891728624701,,human,UP
PGAM1,0.0172040052711963,0.0583088286221027,0.037074577063322,0.0132770463824272,0.0256433337926864,,0.0303015582263469,0.0256433337926864,,human,UP
RPL19,,0.028030751273036,,0.0246541015803813,,0.0380010157823562,0.0302286228785912,0.028030751273036,0.0380010157823562,human,UP
HLA-DRB4,0.0268041994422674,,0.0666850730776786,0.0145370159298181,0.0125831020995974,,0.0301523476373404,0.0206706076860427,,human,UP
SUMO2,,,,,0.0301437005400657,,0.0301437005400657,0.0301437005400657,,human,UP
NME1,0.0315119810402393,,,0.0286367200314998,,,0.0300743505358696,0.0300743505358696,,human,UP
RPS25,0.0379321239888668,0.0405283272266387,0.0522124618291854,0.0361605919897556,0.034405093640089,-0.021102761849761,0.0300226394707957,0.0370463579893112,-0.021102761849761,human,UP
GJA1,0.0873989313840866,-0.0705237984657287,0.0554670467972755,0.0347403809428215,0.0420095399022102,,0.029818420112133,0.0420095399022102,,human,UP
MX1,,0.0159449633210897,,,,0.0436174012720584,0.0297811822965741,0.0297811822965741,0.0436174012720584,human,UP
SRGN,,,,,,0.0297730509191751,0.0297730509191751,0.0297730509191751,0.0297730509191751,human,UP
CD99,,0.0246094912290573,,,0.0348629467189312,,0.0297362189739942,0.0297362189739942,,human,UP
ELK1,,,,,,0.0297061055898666,0.0297061055898666,0.0297061055898666,0.0297061055898666,human,UP
SMOC2,,,,,,0.0296851061284542,0.0296851061284542,0.0296851061284542,0.0296851061284542,human,UP
RPL4,0.0244822353124618,0.023142747581005,0.0213677044957876,0.043677695095539,0.0355469472706317,,0.029643465951085,0.0244822353124618,,human,UP
IFITM2,0.0604240261018276,,-0.0146309388801455,0.0310448817908763,0.0876730754971504,-0.0165458116680383,0.0295930465683341,0.0310448817908763,-0.0165458116680383,human,UP
H2AFZ,0.0322885923087596,,0.0304667819291353,,0.0788643881678581,-0.0235682688653469,0.0295128733851015,0.0313776871189475,-0.0235682688653469,human,UP
COMP,,,,,,0.0294717643409967,0.0294717643409967,0.0294717643409967,0.0294717643409967,human,UP
CYAT1,,0.0293858684599399,,,,,0.0293858684599399,0.0293858684599399,,human,UP
COL5A2,0.0186800844967365,,0.0216429885476827,0.0152985351160168,0.0488832145929336,0.0424098074436187,0.0293829260393977,0.0216429885476827,0.0424098074436187,human,UP
