disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
Alzheimer's disease,MONDO_0004975,synonym,0.05,213,3,0,1595,37,13,5,0,0,5,0.0,1.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
nicotine dependence,EFO_0003768,name,0.05,2,38,0,785,27,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asthma,MONDO_0004979,name,0.05,308,0,0,1993,38,13,13,0,0,13,0.0,8.0,12.0,14.0,13.0,1.0,23.0,0.0,0.0,4.0,1.0,6.0,4.0,6.0,2.0
rheumatoid arthritis,EFO_0000685,name,0.05,0,0,0,2397,45,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancreatic ductal adenocarcinoma,MONDO_0005184,name,0.05,0,0,0,592,8,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parkinson's disease,MONDO_0005180,synonym,0.05,0,0,0,1445,42,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast cancer,MONDO_0007254,name,0.05,328,12,0,4617,83,78,65,1,0,66,14.0,113.0,169.0,95.0,34.0,53.0,106.0,4.0,32.0,61.0,8.0,67.0,11.0,48.0,35.0
hypertension,EFO_0000537,name,0.05,271,79,3,2820,67,27,19,6,0,25,2.0,6.0,8.0,13.0,16.0,0.0,23.0,0.0,0.0,3.0,0.0,4.0,9.0,1.0,5.0
atherosclerosis,EFO_0003914,name,0.05,10,0,0,745,23,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psoriasis,EFO_0000676,name,0.05,295,14,1,1473,24,15,11,0,0,11,1.0,8.0,12.0,7.0,19.0,1.0,24.0,0.0,3.0,3.0,0.0,2.0,6.0,5.0,3.0
myelodysplastic syndrome,EFO_0000198,name,0.05,0,36,0,1767,30,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
