disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
nicotine dependence,EFO_0003768,name,0.1,25,932,3,785,27,9,0,20,0,20,4.0,8.0,14.0,5.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0
hypertension,EFO_0000537,name,0.1,209,137,5,2820,67,27,15,12,1,26,1.0,8.0,9.0,11.0,20.0,0.0,26.0,0.0,0.0,3.0,0.0,4.0,11.0,2.0,3.0
atopic dermatitis,EFO_0000274,synonym,0.1,355,1,0,1175,24,10,9,0,0,9,1.0,5.0,2.0,3.0,2.0,0.0,6.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0
amyotrophic lateral sclerosis,MONDO_0004976,name,0.1,341,5,0,925,25,12,9,1,0,10,1.0,4.0,5.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
endometrial cancer,MONDO_0011962,name,0.1,212,215,6,1032,20,26,17,6,0,23,3.0,14.0,27.0,12.0,0.0,6.0,16.0,0.0,5.0,17.0,0.0,8.0,0.0,4.0,0.0
adrenoleukodystrophy,MONDO_0018544,name,0.1,174,86,3,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
invasive ductal carcinoma,EFO_0000186,synonym,0.1,255,187,7,106,4,4,3,2,0,5,0.0,3.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute T cell leukemia,EFO_0000209,synonym,0.1,205,2,0,576,12,9,6,0,0,6,0.0,6.0,9.0,2.0,0.0,3.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
large cell neuroendocrine carcinoma,EFO_0000563,name,0.1,269,0,0,31,0,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chronic myeloid leukemia,EFO_0000339,synonym,0.1,325,74,4,794,16,23,20,3,0,23,0.0,20.0,24.0,9.0,1.0,7.0,18.0,0.0,3.0,6.0,0.0,12.0,1.0,5.0,2.0
chronic lymphocytic leukemia,EFO_0000095,name,0.1,84,110,2,1621,28,25,5,6,0,11,1.0,3.0,11.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
