drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_tahoe
CHEMBL163,RITONAVIR,Enzyme,A-84538|ABBOTT-84538|ABT-538|Empetus|NSC-693184|Norvir|Ritomune|Ritonavir|Ritonavir related compounds mixture|Ritonavirum|Ritovir|Viekirax|Viriton,Small molecule,Cytochrome P450 3A inhibitor,drug_common_name,ritonavir
CHEMBL1771,CLOPIDOGREL,Membrane receptor,Clopidogrel|Clopidogrel 1a-pharma|Clopidogrel acino|Clopidogrel apotex|Clopidogrel benzenesulfonate|Clopidogrel besilate|Clopidogrel besylate|Clopidogrel hexal|Clopidogrel sandoz|Clopidogrel-ratiopharm|NSC-758613|R 130964|R-130964|SR 25990|SR-25990|Zyllt,Small molecule,Purinergic receptor P2Y12 antagonist,drug_common_name,clopidogrel
CHEMBL25,ASPIRIN,Enzyme,"Acetyl salicylate|Acetylsalicylic Acid|Acetylsalicylic acid|Acetylsalicylic acid (who-ip)|Acetylsalicylicum acidum|Acidum acetylsalicylicum|Acidum acetylsalicylicum (who-ip)|Aspirin|BAY1019036|Benzoic acid, 2-(acetyloxy)-|NSC-27223|NSC-406186",Small molecule,Cyclooxygenase inhibitor,drug_common_name,aspirin
CHEMBL717,MEDROXYPROGESTERONE ACETATE,Transcription factor,Amen|Depot-medroxyprogesterone acetate|Farlutal inyectable|G03AC06|Medroxiprogesterona|Medroxiprogesterone acetate|Medroxyprogesterone|Medroxyprogesterone 17-acetate|Medroxyprogesterone Acetate|Medroxyprogesterone acetate|Medroxyprogesteroni acetas|NSC-21171|NSC-26386|NSC-27408|Prempro|Provera|TV-46046,Small molecule,Progesterone receptor agonist,drug_common_name,medroxyprogesterone acetate
CHEMBL1173655,AFATINIB,Enzyme,Afatinib|BIBW-2992|BIBW2992|Bibw 2992|NSC-750691|Tomtovok|Tovok,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,drug_common_name,afatinib
CHEMBL1201179,LAPATINIB DITOSYLATE,Enzyme,GW-572016F|GW572016F|Lapatinib|Lapatinib ditoluenesulfonate monohydrate|Lapatinib ditosylate|Lapatinib ditosylate anhydrous|Lapatinib ditosylate monohydrate|Lapatinib tosilate|Lapatinib tosilate hydrate|Tycerb,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,drug_common_name,lapatinib ditosylate
CHEMBL1201182,TEMSIROLIMUS,Enzyme|Ion channel,CCI-779|Temsirolimus,Small molecule,FK506-binding protein 1A inhibitor,drug_common_name,temsirolimus
CHEMBL1358,FULVESTRANT,Transcription factor,"Faslodex|Fulvestrant|ICI 182,780|ICI-182780|NSC-759879|ZD-9238|ZD9238",Small molecule,Estrogen receptor antagonist,drug_common_name,fulvestrant
CHEMBL1852688,INFIGRATINIB,Enzyme|Unclassified protein,BGJ-398|BGJ398|Bgj-398|Infigratinib|MVP-BGJ398|NVP-BGJ398,Small molecule,Fibroblast growth factor receptor inhibitor,drug_common_name,infigratinib
CHEMBL2396661,ALPELISIB,Enzyme,Alpelisib|BYL-719|BYL719|Byl-719|NVP-BYL719|Vijoice,Small molecule,PI3-kinase p110-alpha subunit inhibitor,drug_common_name,alpelisib
CHEMBL24828,VANDETANIB,Enzyme,GNF-PF-2188|NSC-744325|NSC-760766|Vandetanib|ZD-64|ZD-6474|ZD6474,Small molecule,Vascular endothelial growth factor receptor inhibitor,drug_common_name,vandetanib
