drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL1201505,"FIBRINOLYSIN, HUMAN",Secreted protein,"Fibrinolisina (humana)|Fibrinolysin|Fibrinolysin (human)|Fibrinolysin human|Fibrinolysin, human|Fibrinolysine (humaine)|Plasmin|Plasmin (bos taurus)|Plasmin (bovine)|Plasmin (human)|Plasmin bovine|Thrombolysin.",Unknown,Fibrinogen inhibitor
CHEMBL2108893,ALFIMEPRASE,Secreted protein,Alfimeprasa|Alfimeprase,Enzyme,Fibrinogen hydrolytic enzyme
CHEMBL4298086,POZELIMAB,Secreted protein,Pozelimab|Pozelimab-bbfg|REGN-3918|REGN3918|Regn3918,Antibody,Complement C5 inhibitor
CHEMBL1200601,NARATRIPTAN HYDROCHLORIDE,Membrane receptor,GR 85548A|GR-85548A|Naratriptan hcl|Naratriptan hydrochloride,Small molecule,Serotonin 1b (5-HT1b) receptor agonist
CHEMBL1278,NARATRIPTAN,Membrane receptor,Amerge|Naratriptan,Small molecule,Serotonin 1b (5-HT1b) receptor agonist
CHEMBL2448612,ERGOTAMINE TARTRATE,Membrane receptor,Ergotamine bitartrate|Ergotamine d-tartrate|Ergotamine tartrate|Ergotamini tartras|Gotamine tartrate|NSC-41869,Small molecule,Adrenergic receptor alpha agonist
CHEMBL43064,CINNARIZINE,Ion channel|Auxiliary transport protein,516 MD|516-MD|Aplactan|Aplexal|Artate|Carecin|Cerebolan|Cerepar|Cinaperazine|Cinarizina|Cinarizine|Cinazyn|Cinnacet|Cinnageron|Cinnarizine|Cinnipirine|Corathiem|Denapol|Dimitron|Eglen|Folcodal|Giganten|Glanil|Hilactan|Ixertol|Katoseran|Labyrin|Midronal|Mitronal|NSC-758400|Olamin|Processine|R 1575|R 516|R-1575|R-516|Sedatromin|Sepan|Siptazin|Spaderizine|Stugeron|Stunarone|Stutgeron|Stutgin,Small molecule,Voltage-gated L-type calcium channel blocker
CHEMBL4297616,OLINCIGUAT,Enzyme,IW-1701|IW1701|Iw-1701|Olinciguat,Small molecule,Soluble guanylate cyclase positive allosteric modulator
CHEMBL1020,TOLMETIN,Enzyme,MCN-2559|Tolectin|Tolmetin|Tolmetina|Tolmetine,Small molecule,Cyclooxygenase inhibitor
CHEMBL1089221,BENDAZAC,Enzyme,AF 1934 [LYSINE]|Bendazac|Bendazaco|Bindazac|Iwazac,Small molecule,Xanthine dehydrogenase inhibitor
CHEMBL509,MECLOFENAMIC ACID,Enzyme,Acide meclofenamique|Acido meclofenamico|CI-583|CL-583|INF 4668|INF-4668|Meclodium|Meclofenamate|Meclofenamic acid|Meclomen|NSC-95309,Small molecule,Arachidonate 5-lipoxygenase inhibitor
CHEMBL4297399,LY-2608204,Enzyme,Globalagliatin|LY2608204|Ly-2608204|Ly2608204|Sy-004,Small molecule,Hexokinase type IV activator
