"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"209",2244,-0.381103313049203,0,0,"MSE_endo","cmap","aminohippuric acid",2.06e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","895","Aminohippuric acid [61-78-9]","MMS_753","61-78-9","DB00345",1
"210",4387,-0.380154152279738,0,0,"MSE_endo","cmap","testosterone",1.16e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","401","Testosterone propionate [57-85-2]","C0076195","57-85-2","DB00624",1
"211",2004,-0.37996899359791,0,0,"MSE_endo","cmap","betahistine",1.72e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","543","Betahistine mesylate [54856-23-4]","C0005301","54856-23-4","DB06698",1
"212",1454,-0.378463134007558,0,0,"MSE_endo","cmap","terfenadine",8.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","138","Terfenadine [50679-08-8]","C0085173","50679-08-8","DB00342",1
"213",3452,-0.37835787574299,0,0,"MSE_endo","cmap","clozapine",1e-05,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","C-6305","clozapine","C0009079","NULL","DB00363",1
"214",919,-0.377702581615221,0,0,"MSE_endo","cmap","moxisylyte",1.26e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","42","Moxisylyte hydrochoride [964-52-3]","C0040108","964-52-3","DB09205",1
"215",2,-0.376532310453115,0,0,"MSE_endo","cmap","metformin",1e-05,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598","NULL","DB00331",1
"216",2364,-0.37608882795054,0,0,"MSE_endo","cmap","colchicine",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","363","Colchicine [64-86-8]","C0009262","64-86-8","DB01394",1
"217",6002,-0.376071233447517,0,0,"MSE_endo","cmap","acetazolamide",1.8e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","3","Acetazolamide [59-66-5]","C0000981","59-66-5","DB00819",1
"218",5764,-0.375073862059704,0,0,"MSE_endo","cmap","neomycin",4.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","158","Neomycin sulfate [1405-10-3]","C0770899","1405-10-3","DB00994",1
"219",676,-0.374314676527768,0,0,"MSE_endo","cmap","pargyline",2.04e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","183","Pargyline hydrochloride [306-07-0]","C0282289","306-07-0","DB01626",1
"220",3115,-0.374270408497808,0,0,"MSE_endo","cmap","amiloride",1.32e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","7","Amiloride hydrochloride dihydrate [17440-83-4]","C0002502","17440-83-4","DB00594",1
"221",4452,-0.372472564271759,0,0,"MSE_endo","cmap","trioxysalen",1.76e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","709","Trioxsalen [3902-71-4]","NULL","3902-71-4","DB04571",1
"222",1922,-0.372445213712218,0,0,"MSE_endo","cmap","pyridoxine",1.94e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","623","Pyridoxine hydrochloride [58-56-0]","C0772119","58-56-0","DB00165",1
"223",3644,-0.372066916042308,0,0,"MSE_endo","cmap","guanfacine",1.42e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","339","Guanfacine hydrochloride [29110-48-3]","C0700472","29110-48-3","DB01018",1
"224",3347,-0.371296382843105,0,0,"MSE_endo","cmap","nialamide",1.34e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1099","Nialamide [51-12-7]","C0027999","51-12-7","DB04820",1
"225",3091,-0.368798609849232,0,0,"MSE_endo","cmap","thioridazine",9.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","78","Thioridazine hydrochloride [130-61-0]","C0039943","130-61-0","DB00679",1
"226",60,-0.367516860846126,0,0,"MSE_endo","cmap","staurosporine",1e-06,6,"MCF7","HG-U133A","DMSO","Calbiochem","569397","staurosporine","EXPT02970","NULL","DB02010",1
"227",1940,-0.366643365285033,0,0,"MSE_endo","cmap","acepromazine",9e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","576","Acetopromazine maleate salt [3598-37-6]","C0000959","3598-37-6","DB01614",1
