"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
44795,-0.348635848559583,1e-05,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Ribociclib",5,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
44988,-0.306021480538056,0.00029,0.00679020601565719,"file16e96ce45d3e_logFC_0","TAHOE","Riluzole hydrochloride",0.0500000007450581,24,"ACH-000138","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
45262,-0.29159177922156,0.00076,0.0150797905027933,"file16e96ce45d3e_logFC_0","TAHOE","Rimonabant",5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
45320,-0.296741466761315,0.00057,0.0119702106430155,"file16e96ce45d3e_logFC_0","TAHOE","Rimonabant (Hydrochloride)",0.0500000007450581,24,"ACH-000932","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
46541,-0.344938420637335,2e-05,0.00100312444836717,"file16e96ce45d3e_logFC_0","TAHOE","SBI-0640756",0.5,24,"ACH-000389","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
47468,-0.302457446323191,0.00034,0.00764287183544304,"file16e96ce45d3e_logFC_0","TAHOE","Sildenafil",0.5,24,"ACH-000932","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
47836,-0.314043612053382,0.00021,0.00568540733682706,"file16e96ce45d3e_logFC_0","TAHOE","Sinomenine",0.0500000007450581,24,"ACH-000138","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
48898,-0.242436379931869,0.01124,0.167033336820084,"file16e96ce45d3e_logFC_0","TAHOE","TAK-733",0.0500000007450581,24,"ACH-000793","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
49530,-0.274268838861914,0.00209,0.0359686341611145,"file16e96ce45d3e_logFC_0","TAHOE","Tazarotene",0.5,24,"ACH-000681","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
49804,-0.23178098516424,0.01872,0.273189892141757,"file16e96ce45d3e_logFC_0","TAHOE","Temuterkib",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
50189,-0.367606117754105,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Tetracycline (hydrochloride)",5,24,"ACH-000389","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
50604,-0.248701162403979,0.00812,0.122787450771687,"file16e96ce45d3e_logFC_0","TAHOE","Tirabrutinib",0.5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
50803,-0.27838424371959,0.00157,0.0278720368634802,"file16e96ce45d3e_logFC_0","TAHOE","Tirabrutinib (hydrochloride)",5,24,"ACH-000916","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
51110,-0.312172672940284,0.00025,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Tofacitinib (citrate)",5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
51370,-0.291775461258208,0.00076,0.0150797905027933,"file16e96ce45d3e_logFC_0","TAHOE","Tolmetin",0.5,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
51589,-0.356765753517244,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Topotecan (hydrochloride)",0.0500000007450581,24,"ACH-000389","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
51899,-0.299578511690273,0.00051,0.0111169044879171,"file16e96ce45d3e_logFC_0","TAHOE","Trametinib",0.0500000007450581,24,"ACH-000750","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
52476,-0.281192127052321,0.00136,0.024660089342693,"file16e96ce45d3e_logFC_0","TAHOE","Triamcinolone",5,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
52630,-0.269150352839266,0.00286,0.0476055125951963,"file16e96ce45d3e_logFC_0","TAHOE","Trifluridine",0.0500000007450581,24,"ACH-000681","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
53544,-0.274647878985845,0.00204,0.0351507216494845,"file16e96ce45d3e_logFC_0","TAHOE","Uridine",0.0500000007450581,24,"ACH-000552","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
54000,-0.265489543636604,0.00362,0.0586413169897377,"file16e96ce45d3e_logFC_0","TAHOE","Vemurafenib",0.0500000007450581,24,"ACH-000957","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
54454,-0.286465454481961,0.001,0.0189423333333333,"file16e96ce45d3e_logFC_0","TAHOE","Vilanterol",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
54620,-0.287859947249072,0.00094,0.0181198710990502,"file16e96ce45d3e_logFC_0","TAHOE","Vinblastine (sulfate)",0.0500000007450581,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
54760,-0.257497672136441,0.00533,0.0830284841008772,"file16e96ce45d3e_logFC_0","TAHOE","Vismodegib",0.0500000007450581,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
55060,-0.270145680878372,0.00275,0.0460578396699086,"file16e96ce45d3e_logFC_0","TAHOE","Volasertib",0.0500000007450581,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
55420,-0.316033932899841,0.00019,0.00533718734552645,"file16e96ce45d3e_logFC_0","TAHOE","Vortioxetine",0.5,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
55520,-0.322325052462343,0.00011,0.00345548369264787,"file16e96ce45d3e_logFC_0","TAHOE","XRK3F2",0.0500000007450581,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
56226,-0.31544950983269,2e-04,0.00550116166505324,"file16e96ce45d3e_logFC_0","TAHOE","olaparib",5,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
56284,-0.267958293689207,0.00311,0.0512861201392919,"file16e96ce45d3e_logFC_0","TAHOE","palbociclib",0.5,24,"ACH-001333","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
