gene_symbol,logfc_dz:839,logfc_dz:838,logfc_dz:848,logfc_dz:842,logfc_dz:843,logfc_dz:840,logfc_dz:841,logfc_dz:846,logfc_dz:847,logfc_dz:845,logfc_dz:844,logfc_dz:849,mean_logfc,median_logfc,common_experiment,organism,signature_type
HLA-DRB1,0.0184418335556983,0.081752598285675,,0.0307479798793792,0.0516655258834362,0.0928938239812851,0.0426752232015132,,,0.0292433910071849,,,0.0496314822563103,0.0426752232015132,0.0184418335556983,human,UP
HLA-DRB4,,0.1027252823114395,,0.024003654718399,0.0732844024896621,0.0726280361413955,0.0337636843323707,,-0.0099208746105432,0.0479239486157894,,,0.0492011619997876,0.0479239486157894,,human,UP
PPIB,0.0603747181594371,0.0560684576630592,,0.0720385238528251,0.0551647506654262,0.0460775941610336,0.0805414319038391,0.0254297070205211,-0.0092558171600103,0.075092576444149,0.0605158060789108,0.0186713282018899,0.0491562797264619,0.0560684576630592,0.0603747181594371,human,UP
DSP,0.0447087436914444,0.0524888671934604,0.0780948549509048,0.0417468547821044,0.0709747821092605,0.0480846986174583,0.0641531497240066,0.0340986214578151,-0.0091788824647665,0.06711246073246,0.0544417165219783,0.0256433859467506,0.0476974377719064,0.0502867829054594,0.0447087436914444,human,UP
UBE2E2,,,0.0476896688342094,,,,,,,,,,0.0476896688342094,0.0476896688342094,,human,UP
PRDX1,0.0528342202305793,0.0391998849809169,0.0276797842234373,0.0502424612641334,0.0570917725563049,0.0591877661645412,0.0440643690526485,0.0327379554510116,0.0139917507767677,0.074554793536663,0.0641818940639495,0.0405222401022911,0.0463574077002704,0.047153415158391,0.0528342202305793,human,UP
OVGP1,,0.0425789766013622,,0.0162964481860399,,,0.0801598578691482,,,,,,0.0463450942188501,0.0425789766013622,,human,UP
RNF183,0.0418040826916694,0.076770007610321,,0.0476306229829788,0.0376880094408988,,0.051327671855688,0.0307020619511604,0.0151076512411236,0.0651246458292007,0.0805714800953865,0.0158331990242004,0.0462559432722628,0.0447173528373241,0.0418040826916694,human,UP
PGAM1,0.0440553836524486,0.0281306430697441,0.0749223306775093,0.0498996935784816,0.078992486000061,0.0480640903115272,0.0187658630311489,0.0206362605094909,,0.0471006967127323,0.0582497790455818,0.0348888933658599,0.0457914654504169,0.0471006967127323,0.0440553836524486,human,UP
NDUFS6,0.034186877310276,0.0252574104815721,0.0642704591155052,0.0381609611213207,0.0469729229807853,0.134367287158966,0.04156956076622,0.0351769588887691,-0.009177204221487,0.0545900277793407,0.0379881896078586,,0.0457603137262842,0.0381609611213207,0.034186877310276,human,UP
GLDC,,,,,,,,,0.0785461291670799,,,0.0129305459558963,0.0457383375614881,0.0457383375614881,,human,UP
MRPL3,0.0180225744843482,,0.0947610884904861,,0.0886817425489425,0.0490086823701858,,0.0202489625662565,0.040743388235569,0.0234784614294767,0.0147470282390713,0.0606155507266521,0.0455897198989987,0.040743388235569,0.0180225744843482,human,UP
FOXQ1,,,0.0598188787698745,0.0138728423044085,,0.0596230216324329,0.0308824852108955,,0.0879648551344871,,0.0209704339504241,,0.0455220861670871,0.0452527534216642,,human,UP
FCGBP,,,,,,,,,,,0.0445648357272148,,0.0445648357272148,0.0445648357272148,,human,UP
FTH1,0.0333017893135547,0.0404175743460655,,0.0405609086155891,0.0504229366779327,0.0907019302248954,0.0236042793840169,0.0145588144659996,,0.0571409575641155,0.0497559010982513,,0.0444961212989356,0.0405609086155891,0.0333017893135547,human,UP
ADM,0.0411363579332828,0.0261599868535995,0.0272173192352056,0.0526910908520221,,0.036616813391447,0.0291579011827707,0.0232664458453655,,0.0574205741286277,0.1214944794774055,0.0276689436286687,0.0442829912528395,0.0328873572871089,0.0411363579332828,human,UP
IRF2BPL,0.0316874347627162,0.0210672710090875,0.1154895424842834,0.025434136390686,0.0661495104432106,0.0256374292075634,0.022390266880393,,0.0729225948452949,0.019347870722413,0.0293776001781225,0.0510818772017955,0.0436895940114151,0.0293776001781225,0.0316874347627162,human,UP
DHRS2,,,,,,0.0435225404798984,,,,,,,0.0435225404798984,0.0435225404798984,,human,UP
UBP1,,,0.0435225255787372,,,,,,,,,,0.0435225255787372,0.0435225255787372,,human,UP
IGHA2,,0.0746408253908157,0.0516234375536441,0.0542353317141532,0.0331091172993183,0.04053970053792,0.0406223088502883,,0.009202423505485,0.0712882354855537,0.0372421406209468,0.0194163788110017,0.0431919899769127,0.0405810046941041,,human,UP
TMEM178A,,,,0.0430200211703777,,,,,,,,,0.0430200211703777,0.0430200211703777,,human,UP
TFF3,0.0191938411444425,0.0580964386463165,,0.0258276984095573,,0.0230594985187053,0.0510752126574516,,,0.0485537014901638,0.0734326764941215,,0.0427484381943941,0.0485537014901638,0.0191938411444425,human,UP
HOXC6,0.0467766672372818,,,,,0.0458498746156692,,,,0.0619783848524093,0.0390400998294353,0.0193601287901401,0.0426010310649871,0.0458498746156692,0.0467766672372818,human,UP
SERPINA3,0.0418933890759944,0.0807563140988349,,0.0289109908044338,0.0291893761605024,,0.0472742281854152,,,0.0338108651340007,0.0353971533477306,,0.0424617595438446,0.0353971533477306,0.0418933890759944,human,UP
H19,,,,,,,,,,,,0.0418376326560974,0.0418376326560974,0.0418376326560974,,human,UP
YBX1,0.0700269266963005,0.0311373546719551,,0.0284181330353021,0.0743113532662391,0.043519128113985,0.0418618917465209,0.0248294211924076,0.0090934326872229,0.04724046215415,0.0430842489004135,0.0455788597464561,0.0417364738373593,0.0430842489004135,0.0700269266963005,human,UP
USMG5,0.0619281530380249,0.0164897236973047,0.050625167787075,0.0659428313374519,0.0276143457740545,0.0376964770257473,0.0337487421929836,0.033649992197752,,0.0316936783492565,0.0547095313668251,0.0442422442138195,0.041667353361845,0.0376964770257473,0.0619281530380249,human,UP
MELK,0.0435009896755218,0.0161359459161758,0.0550086162984371,0.0240081530064344,0.0620375908911228,0.0404335558414459,,0.0335452519357204,0.0130544994026422,0.0388127863407135,0.0507435090839862,0.0750276818871498,0.0411189618435773,0.0404335558414459,0.0435009896755218,human,UP
ZNF423,,,,,0.055097572505474,0.0270090959966182,,,,,,,0.0410533342510461,0.0410533342510461,,human,UP
NDRG1,0.0278353411704301,,0.0542447492480278,0.0276063755154609,,0.0442633889615535,,0.0137552302330732,,0.0590284876525402,0.0452565141022205,0.055524818599224,0.0409393631853163,0.044759951531887,0.0278353411704301,human,UP
ODC1,0.0302916187793016,0.0143578872084617,0.1098672375082969,,0.0862169712781906,0.0408576019108295,,0.0154400672763586,0.0157755948603153,0.0282568335533142,0.0248054545372724,0.0411488972604274,0.0407018164172768,0.0292742261663079,0.0302916187793016,human,UP
LYPD1,,,0.040542859584093,,,,,,,,,,0.040542859584093,0.040542859584093,,human,UP
CDK2AP1,0.0466043017804622,0.0446992479264736,0.03781658411026,0.0348672717809677,0.0369555838406086,0.0521812252700328,0.0560198277235031,0.014156274497509,0.0559540204703807,0.0296458210796117,0.0497561134397983,0.0277867838740348,0.0405369213161369,0.0412579160183668,0.0466043017804622,human,UP
HLA-DRB5,0.0146513869985938,0.071475088596344,,0.0254907421767711,0.0370207130908966,0.0702893733978271,0.0362560674548149,,,0.0278305280953645,,,0.0404305571158017,0.0362560674548149,0.0146513869985938,human,UP
RBBP7,0.0418626628816127,0.0443744324147701,0.0292456857860088,0.0449925847351551,0.0199361927807331,0.0216309446841478,0.0428506731986999,0.0385753661394119,,0.0512516498565673,0.0555243901908397,,0.0390244582667946,0.0423566680401563,0.0418626628816127,human,UP
