gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism,signature_type
FGR,,-0.0312847197055816,,-0.0222310293465852,-0.0184711012989282,-0.0239956167836984,-0.0222310293465852,,human,DOWN
OLFM4,,,,,-0.0239425022155046,-0.0239425022155046,-0.0239425022155046,,human,DOWN
TAGLN2,,-0.0312172081321477,,-0.0165993254631757,,-0.0239082667976617,-0.0239082667976617,,human,DOWN
PTGDS,,-0.0239069685339927,,,,-0.0239069685339927,-0.0239069685339927,,human,DOWN
FRAT2,,-0.0249910894781351,,-0.0227963980287313,,-0.0238937437534332,-0.0238937437534332,,human,DOWN
ABCC2,,,,,-0.0238389633595943,-0.0238389633595943,-0.0238389633595943,,human,DOWN
KDM5D,,-0.0206555314362049,,-0.0150235798209905,-0.0357849895954132,-0.0238213669508695,-0.0206555314362049,,human,DOWN
LSM1,,,-0.0237154867500066,,,-0.0237154867500066,-0.0237154867500066,,human,DOWN
GIMAP2,,,-0.0236641783267259,,,-0.0236641783267259,-0.0236641783267259,,human,DOWN
NLRP10,,,,,-0.0236221048980951,-0.0236221048980951,-0.0236221048980951,,human,DOWN
IPCEF1,,,-0.0235352646559476,,,-0.0235352646559476,-0.0235352646559476,,human,DOWN
TBC1D3H,,,,-0.0155542651191353,-0.0313368439674377,-0.0234455545432865,-0.0234455545432865,,human,DOWN
C1orf87,,,-0.0234353765845298,,,-0.0234353765845298,-0.0234353765845298,,human,DOWN
DEDD2,,-0.0232926942408084,,,,-0.0232926942408084,-0.0232926942408084,,human,DOWN
MIRLET7D,,,,,-0.0232323892414569,-0.0232323892414569,-0.0232323892414569,,human,DOWN
TSTD2,,,,,-0.0231471117585897,-0.0231471117585897,-0.0231471117585897,,human,DOWN
RPS21,,,-0.0231417212635278,,,-0.0231417212635278,-0.0231417212635278,,human,DOWN
GIMAP7,,,-0.0231130328029394,,,-0.0231130328029394,-0.0231130328029394,,human,DOWN
LOC100510519,,,-0.0262113474309444,,-0.0199760720133781,-0.0230937097221612,-0.0230937097221612,,human,DOWN
GLYR1,,,-0.0230675674974918,,,-0.0230675674974918,-0.0230675674974918,,human,DOWN
ZNF542P,,,-0.022902887314558,,,-0.022902887314558,-0.022902887314558,,human,DOWN
TMBIM4,,,-0.0228263549506664,,,-0.0228263549506664,-0.0228263549506664,,human,DOWN
P2RY13,,-0.0237120687961578,,-0.0219283960759639,,-0.0228202324360609,-0.0228202324360609,,human,DOWN
XPO6,,-0.0230395141988992,,-0.022559629753232,,-0.0227995719760656,-0.0227995719760656,,human,DOWN
PGM1,,,-0.0226764660328626,,,-0.0226764660328626,-0.0226764660328626,,human,DOWN
