"","pathway","unstratified","InII","IIInIV","PE","ESE","MSE","adipiodone","bepridil","cloperastine","cycloserine","fenoprofen","flumetasone","flunisolide","iopanoic acid","irinotecan","levonorgestrel","medrysone","metolazone","primaquine","procyclidine","promazine","scopolamine","sertaconazole","sulfamethoxazole","trifluoperazine","zuclopenthixol"
"31","INFLAMMATORY_RESPONSE",-0.601407454072752,-1.30790098438216,-0.79368489411261,0.747052875932065,0.59844205915763,-1.21070716381911,0.917555579656058,0.998653151185713,1.01676990461187,-0.880622047820987,-1.08944789152592,-1.18626253667348,-0.893128262495385,1.18220436753763,1.34010957511648,1.21818211346418,1.2420409830022,1.02115058090837,1.25550832136911,-1.17030230374263,0.921629963834332,-1.08724280645186,-0.884682674979197,0.895905107462266,1.23618180655348,0.877745931018861
"32","XENOBIOTIC_METABOLISM",-0.553043645199746,-0.695269451518304,0.688570793816713,0.508809055648066,-0.7007362863082,0.782857025326025,-0.929985002214461,0.87983766458264,1.19480024404617,-0.927254851151373,-0.88159092939939,-0.939192992371569,-0.869969572973202,0.894589666896077,1.3119247160713,1.20942351875179,1.27562142394362,0.889966631615387,0.927386347751649,0.830184138536536,0.96152899709748,1.16861278574106,-1.11632759927498,-1.41174276761555,1.15410733407779,-1.05190251345026
"33","FATTY_ACID_METABOLISM",0.803455364009805,1.51000531241752,0.875264605449902,1.18985414043875,0.585828512546875,1.55948199382504,-0.761145442708536,0.735266742309236,0.916737641591728,-1.07904345030402,0.811349786164677,-0.741325152376928,-0.939894802841367,-0.824581167169506,0.875270543776761,0.738588158093417,0.839102518773815,0.672176182524728,0.666723974995345,0.722615217363952,-0.670677783828392,0.757371887938666,-0.638926941983429,-1.17013793887975,0.775500926616694,-0.949082264119661
"34","OXIDATIVE_PHOSPHORYLATION",0.97234531355858,1.58554068953302,1.4188823539166,1.55723849736756,-0.965689102529442,1.62913521180739,0.504040583617181,-0.821651911995984,-0.626003763630891,0.841827024463067,-0.590303680573186,-0.370104116102327,-0.572666537112195,-1.14953309128945,1.12190467981164,NA,NA,-0.654449269576317,0.579290833668505,-0.559499749492622,-0.474888782205066,-0.90166648591643,0.674937345662689,0.692143427916552,-1.33051786720289,-0.700702765595526
"35","GLYCOLYSIS",1.66531458890603,1.43606732886775,1.61764691045011,1.60102072000472,0.976375796307632,1.46781786274299,-0.8422207688188,0.791401068868178,-0.835276467183793,0.885272286061027,-0.924663864464894,0.838117597363755,1.22630724581424,0.828732868176003,-0.730793900731257,0.7533703501906,1.1023526964146,0.958690120017962,0.836079490242487,-0.866869938975617,0.843441412825153,-0.87716034688277,-0.537292058341658,0.76742476584996,0.636704241542183,0.89674847952066
"36","REACTIVE_OXYGEN_SPECIES_PATHWAY",-1.57761912276087,-1.71300955744961,-1.72339752777688,-1.78997119128614,-1.26668279504859,-1.96205978864175,0.423819610805048,-0.531550312513378,0.876185498908151,0.563951576632579,-0.568174508505115,0.471481064503063,-0.756002953625656,0.568244468415266,-0.762588550780607,0.57951341127095,-0.827459202713084,-0.446617764807759,0.420352094813274,-0.971441518571253,-0.843764727579498,0.591726972361559,0.513224151273515,-0.640289176613827,-0.995923453689616,-0.742121852931971
"37","P53_PATHWAY",-1.661671492215,-1.34207286029363,-1.62914159822975,-1.68445101752086,-1.37120319042351,-1.85400312474055,-0.827410510468782,-1.22645299702463,0.849817982178231,-0.869494605949261,-0.68327059025953,0.928802758440365,-0.722738480675104,0.742720191512896,2.57056529335017,1.03759881190596,0.894915882829885,0.735926266891657,1.52902130097184,-0.920977760741586,-1.32013551539188,1.13492827502518,0.752118252938971,0.714229240798555,1.12928137201251,-1.0405346947747
"38","UV_RESPONSE_UP",-2.49889102048835,-2.62684841596048,-2.70639119905594,-2.60017881065502,-2.10949283899073,-2.61645493356218,1.02257336880996,0.835080089985213,-0.804419873014906,-1.01893050115265,-0.853637546618607,-0.684362005085428,0.79795696285539,1.09203053735676,1.74408091310322,0.510325548893347,0.619527306755326,0.727320092167209,1.4163086863093,-0.997351885640344,0.828459783106647,0.68762161906593,-0.997949931953639,0.908656195480284,1.03519580116991,0.987459306402668
"39","UV_RESPONSE_DN",0.910609644358178,1.48172629261211,-0.884992854650456,1.5111262551071,0.789931475088041,0.802401094840327,-0.992019751648357,1.01123390643998,-1.15926805486923,-1.30209299431015,-1.10698264922691,-0.725830108172216,1.18056931318905,1.16455056275147,-2.16643392613363,0.818241180982484,0.835940950494689,-0.796132139430833,0.749784563374396,-0.77278260458087,-0.733962911718041,0.93474271365528,-0.808130624074118,0.767140088481523,1.10497934843001,-0.682061121936841
"40","ANGIOGENESIS",1.26702596766291,0.781135902985502,1.18883117255485,1.32631878242985,NA,0.707842873547097,-0.784526025365643,0.978813474409282,-0.960746767002808,-0.887021268111003,-0.866454361129816,-0.654164451846943,1.26567123031455,-0.562495450641743,1.06061249877994,0.811398993638718,1.00325441304561,1.08194494081806,0.855178818400007,-0.88466826768589,-0.657890239306962,1.25643808857606,-1.0503800931041,0.974467878319617,1.48109376500052,1.06963222268048
