"","p","q","analysis_id","name","duration","DrugBank.ID","valid","unstratified_reversal","InII_reversal","IIInIV_reversal","PE_reversal","ESE_reversal","MSE_reversal"
"256",0,0,"cmap","sirolimus",6,"DB00877",1,-0.469040388882023,-0.474966601915031,-0.550852964303787,-0.467923989233941,-0.499672161407972,-0.498787337807118
"257",0,0,"cmap","sotalol",6,"DB00489",1,-0.474369392894648,-0.492868343500369,-0.491281145431001,-0.525581818032501,NA,-0.459298337472395
"258",0,0,"cmap","staurosporine",6,"DB02010",1,-0.327300008937016,-0.310921791835037,-0.294268660334217,-0.287381562755693,-0.4561997449921,-0.367516860846126
"259",0,0,"cmap","sulconazole",6,"DB06820",1,-0.456495890272598,-0.407406667860243,-0.495430700532475,-0.411259431864303,-0.580729571485966,-0.490975428533016
"260",0,0,"cmap","sulfadiazine",6,"DB00359",1,-0.568918681909138,-0.560105870578864,-0.581766440865823,-0.570194638841235,-0.575973974151563,-0.532911893944237
"261",0,0,"cmap","sulfadimidine",6,"DB01582",1,-0.414401875459596,-0.39860021918996,-0.441176775131881,-0.399667699271299,-0.398511420452564,-0.435501147116313
"262",0,0,"cmap","sulfafurazole",6,"DB00263",1,-0.331751854362489,-0.39846053628598,-0.370311816921366,-0.376041627495551,-0.432154025862216,-0.397409889216204
"263",0,0,"cmap","sulfamerazine",6,"DB01581",1,-0.493534759724959,-0.441259873649306,-0.513040461599177,-0.462697103649905,-0.449559793438721,-0.463847098128831
"264",0,0,"cmap","sulfamethoxazole",6,"DB01015",1,-0.586009288885841,-0.557089387018181,-0.62763640454884,-0.545874400871036,-0.638159493475022,-0.567661733362061
"265",0,0,"cmap","sulfaphenazole",6,"DB06729",1,-0.344502927386125,NA,NA,-0.368657358961292,NA,-0.403981829686588
"266",0,0,"cmap","terbutaline",6,"DB00871",1,-0.443618990763121,-0.41619408530501,-0.444251677766468,-0.404826400099932,-0.377304182109458,-0.450421762996218
"267",0,0,"cmap","terconazole",6,"DB00251",1,-0.432305915168964,-0.412859733093339,-0.445387085706759,-0.349699511619936,-0.479890532914263,-0.466046851606406
"268",0,0,"cmap","terfenadine",6,"DB00342",1,-0.504557724435788,-0.424544144883613,-0.45903475391724,-0.425637770594065,-0.524830902605384,-0.378463134007558
"269",0,0,"cmap","testosterone",6,"DB00624",1,-0.40878353040618,-0.337037062901329,-0.405960876696191,-0.316301516230133,-0.429132965964641,-0.380154152279738
"270",0,0,"cmap","tetryzoline",6,"DB06764",1,-0.45229792180836,-0.391141525878708,-0.429897932365656,-0.392790223926949,-0.41478227656343,-0.401328409289109
"271",0,0,"cmap","thalidomide",6,"DB01041",1,-0.473961085520405,-0.450826257313499,-0.502457685945489,-0.470840157211786,-0.466244000331284,-0.502103998703542
