"SYMBOL","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
CHCHD5,0.050704029931033,-0.227202855575559,0.255,0.279,1
ALDH16A1,0.0507855297379146,-0.118993427081616,0.091,0.119,1
ECH1,0.0508940900405646,-0.165590300083063,0.313,0.34,1
DPYSL2,0.0509438711812324,-0.118283516524332,0.415,0.454,1
CALHM2,0.050984854485644,-0.117698022246591,0.068,0.114,1
RAB18,0.0510174218847198,0.0309959088731796,0.3,0.264,1
PPP3CA,0.0510533279630001,0.0767450949894397,0.345,0.317,1
LRIG3,0.0510546778991032,0.110864305289921,0.121,0.074,1
ATF1,0.0510788406509449,-0.0129309899055386,0.11,0.117,1
SESN3,0.0511040989688907,0.138016095346061,0.294,0.249,1
B2M,0.0511453384863113,-0.00591078764708097,0.977,0.98,1
EIF2AK2,0.0512045654532748,-0.0609636668472163,0.244,0.27,1
