gene_symbol,logfc_dz:693,logfc_dz:1075,logfc_dz:1074,logfc_dz:1073,logfc_dz:1079,logfc_dz:692,logfc_dz:691,logfc_dz:450,logfc_dz:512,logfc_dz:816,mean_logfc,median_logfc,common_experiment,organism
EMR2,,,,,,,-0.015890782698988914,,,,-0.015890782698988914,-0.015890782698988914,,human
KLF4,,,,,,,-0.015804626047611237,,,,-0.015804626047611237,-0.015804626047611237,,human
PCMTD2,,,,,,,-0.01565171778202057,,,,-0.01565171778202057,-0.01565171778202057,,human
GAA,,,,,,,-0.015558733604848385,,,,-0.015558733604848385,-0.015558733604848385,,human
CSGALNACT2,,,,,,,-0.015162449330091476,,,,-0.015162449330091476,-0.015162449330091476,,human
ZNF106,,,,,,,-0.014745247550308704,,,,-0.014745247550308704,-0.014745247550308704,,human
RPL27A,,,,,,,-0.014685887843370438,,,,-0.014685887843370438,-0.014685887843370438,,human
CD9,,,,,,,-0.013627804815769196,,,,-0.013627804815769196,-0.013627804815769196,,human
USP32P2,,,,,,,-0.01321208756417036,,,,-0.01321208756417036,-0.01321208756417036,,human
LBR,,,,,,,-0.012670298106968403,0.03219403699040413,,,0.009761869441717863,0.009761869441717863,,human
NACC2,,,,,,,-0.01264783926308155,,,,-0.01264783926308155,-0.01264783926308155,,human
LPGAT1,,,,,,,-0.012638676911592484,,,,-0.012638676911592484,-0.012638676911592484,,human
TSPYL1,,,,,,,-0.012471968308091164,,,,-0.012471968308091164,-0.012471968308091164,,human
C14orf159,,,,,,,-0.012456218712031841,,,,-0.012456218712031841,-0.012456218712031841,,human
SCRN1,,,,,,,-0.012413980439305305,,,,-0.012413980439305305,-0.012413980439305305,,human
DDX47,,,,,,,-0.012285319156944752,,,,-0.012285319156944752,-0.012285319156944752,,human
HAL,,,,,,,-0.011956043541431427,,,,-0.011956043541431427,-0.011956043541431427,,human
NDUFS2,,,,,,,-0.01185356080532074,,,,-0.01185356080532074,-0.01185356080532074,,human
IGJ,,,,,,,,0.01180322840809822,0.0638609528541565,0.026014618575572968,0.033892933279275894,0.026014618575572968,,human
CTSH,,,,,,,,0.010415798984467983,0.0414440892636776,,0.02592994412407279,0.02592994412407279,,human
ND2,,,,,,,,0.08285394310951233,0.03820140287280083,0.023223992437124252,0.048093112806479134,0.03820140287280083,,human
CMPK2,,,,,,,,0.06210390850901604,0.03749024122953415,0.06738671660423279,0.05566028878092766,0.06210390850901604,,human
MFSD1,,,,,,,,0.02301407791674137,0.03597412630915642,0.017857499420642853,0.025615234548846882,0.02301407791674137,,human
TNFSF13B,,,,,,,,-0.023423975333571434,0.034659065306186676,0.029233021661639214,0.013489370544751486,0.029233021661639214,,human
COX1,,,,,,,,0.13195499777793884,0.03357293829321861,0.08065910637378693,0.08206234748164813,0.08065910637378693,,human
SH3KBP1,,,,,,,,0.020832886919379234,0.03069269098341465,0.015252375043928623,0.0222593176489075,0.020832886919379234,,human
COX2,,,,,,,,0.018699392676353455,0.025420047342777252,0.05124494805932045,0.03178812935948372,0.025420047342777252,,human
MORF4L1,,,,,,,,0.010620097629725933,0.022585682570934296,,0.016602890100330114,0.016602890100330114,,human
LOC100507328,,,,,,,,0.02461700327694416,0.021291086450219154,-0.02384532243013382,0.007354255765676498,0.021291086450219154,,human
CREG1,,,,,,,,0.025359509512782097,0.02035314217209816,0.02473551779985428,0.02348272316157818,0.02473551779985428,,human
LHFPL2,,,,,,,,0.010853904299438,0.01636962778866291,,0.013611766044050455,0.013611766044050455,,human
IQGAP1,,,,,,,,0.01042918860912323,0.015211151912808418,,0.012820170260965824,0.012820170260965824,,human
DTX3L,,,,,,,,-0.01168408989906311,0.014941761270165443,0.030586332082748413,0.011281334484616915,0.014941761270165443,,human
ARL6IP1,,,,,,,,0.010774062015116215,0.013949627988040447,,0.012361845001578331,0.012361845001578331,,human
ADD3,,,,,,,,0.023168690502643585,0.013723325915634632,,0.01844600820913911,0.01844600820913911,,human
BNIP3L,,,,,,,,0.010229825042188168,0.012304023839533329,-0.015817228704690933,0.002238873392343521,0.010229825042188168,,human
SOD2,,,,,,,,0.0312756672501564,0.011703632771968842,,0.021489650011062622,0.021489650011062622,,human
C15orf48,,,,,,,,0.034920595586299896,0.011461377143859863,,0.02319098636507988,0.02319098636507988,,human
TNFSF10,,,,,,,,-0.010202250443398952,0.01043202355504036,0.050103865563869476,0.016777879558503628,0.01043202355504036,,human
BLOC1S2,,,,,,,,0.012058060616254807,0.010089843533933163,0.01785108633339405,0.013332996827860674,0.012058060616254807,,human
IRF2BPL,,,,,,,,0.05027497932314873,0.009499219246208668,,0.029887099284678698,0.029887099284678698,,human
SH3BGRL,,,,,,,,0.018616169691085815,0.009145911782979965,0.022272558882832527,0.016678213452299435,0.018616169691085815,,human
CSF2RB,,,,,,,,-0.05694453418254852,0.008870549499988556,0.021754996851086617,-0.00877299594382445,0.008870549499988556,,human
SPPL2A,,,,,,,,0.017652010545134544,0.008787276223301888,0.015056533738970757,0.013831940169135729,0.015056533738970757,,human
HCK,,,,,,,,0.013559505343437195,0.008636333048343658,0.02144728973507881,0.014547709375619888,0.013559505343437195,,human
DCAF6,,,,,,,,-0.05442162975668907,-0.05080756917595863,,-0.05261459946632385,-0.05261459946632385,,human
NBPF8,,,,,,,,0.04440942406654358,-0.02578633278608322,,0.009311545640230179,0.009311545640230179,,human
RPL17,,,,,,,,0.014614341780543327,-0.02204580046236515,,-0.0037157293409109116,-0.0037157293409109116,,human
ANXA2P2,,,,,,,,0.012282457202672958,-0.019371680915355682,,-0.003544611856341362,-0.003544611856341362,,human
NGFRAP1,,,,,,,,0.012163885869085789,-0.015626968815922737,,-0.0017315414734184742,-0.0017315414734184742,,human
ITGAV,,,,,,,,0.013205178081989288,-0.015567881055176258,,-0.0011813514865934849,-0.0011813514865934849,,human
SNHG6,,,,,,,,0.010838122107088566,-0.01216185837984085,,-0.0006618681363761425,-0.0006618681363761425,,human
JUNB,,,,,,,,-0.02677207812666893,,0.06386566907167435,0.01854679547250271,0.01854679547250271,,human
MIR4435-1HG,,,,,,,,0.012513475492596626,,0.050771694630384445,0.031642585061490536,0.031642585061490536,,human
ARRDC3,,,,,,,,0.018455665558576584,,0.03336498141288757,0.02591032348573208,0.02591032348573208,,human
SHISA5,,,,,,,,0.011266169138252735,,0.03225197270512581,0.021759070921689272,0.021759070921689272,,human
BIRC2,,,,,,,,0.0532248318195343,,0.030512556433677673,0.04186869412660599,0.04186869412660599,,human
