gene_symbol,logfc_dz:596,logfc_dz:917,logfc_dz:453,logfc_dz:643,mean_logfc,median_logfc,common_experiment,organism
RPLP1,,-0.05196031555533409,,-0.04413176327943802,-0.048046039417386055,-0.048046039417386055,-0.05196031555533409,human
SLURP1,,-0.04886634275317192,-0.009813620708882809,-0.0682155042886734,-0.04229848925024271,-0.04886634275317192,-0.04886634275317192,human
TUBB6,,-0.046462852507829666,,-0.04340384528040886,-0.04493334889411926,-0.04493334889411926,-0.046462852507829666,human
SPRR2C,,-0.04387783259153366,,,-0.04387783259153366,-0.04387783259153366,-0.04387783259153366,human
PGAM1,,-0.041292455047369,,-0.049414653331041336,-0.04535355418920517,-0.04535355418920517,-0.041292455047369,human
RPS18,,-0.03874828293919563,,-0.05505531281232834,-0.046901797875761986,-0.046901797875761986,-0.03874828293919563,human
ACTG1,,-0.029653411358594894,,,-0.029653411358594894,-0.029653411358594894,-0.029653411358594894,human
ALDOA,,-0.029539436101913452,,-0.06155611202120781,-0.04554777406156063,-0.04554777406156063,-0.029539436101913452,human
C20orf24,,-0.027926981449127197,,-0.03344178944826126,-0.03068438544869423,-0.03068438544869423,-0.027926981449127197,human
GLUL,,-0.027649298310279846,-0.01538375299423933,-0.016416819766163826,-0.01981662369022767,-0.016416819766163826,-0.027649298310279846,human
PABPC3,,-0.02671787515282631,,0.01574728824198246,-0.005485293455421925,-0.005485293455421925,-0.02671787515282631,human
MIF,,-0.025372765958309174,,-0.07302456349134445,-0.04919866472482681,-0.04919866472482681,-0.025372765958309174,human
RPS8,,-0.025353742763400078,,-0.06364388763904572,-0.0444988152012229,-0.0444988152012229,-0.025353742763400078,human
VDAC2,,-0.02352326735854149,,-0.039550717920064926,-0.03153699263930321,-0.03153699263930321,-0.02352326735854149,human
PLIN3,,-0.023464195430278778,,,-0.023464195430278778,-0.023464195430278778,-0.023464195430278778,human
SERPINB4,,-0.02142217382788658,-0.0152845848351717,0.029212690889835358,-0.002498022591074308,-0.0152845848351717,-0.02142217382788658,human
RNF11,,-0.0203106589615345,,,-0.0203106589615345,-0.0203106589615345,-0.0203106589615345,human
RPL32,,-0.02002807892858982,,-0.04911958426237106,-0.03457383159548044,-0.03457383159548044,-0.02002807892858982,human
RPL7A,,-0.019060024991631508,,-0.06700094789266586,-0.043030486442148685,-0.043030486442148685,-0.019060024991631508,human
TUBB4B,,-0.018655121326446533,,-0.013171319849789143,-0.015913220588117838,-0.015913220588117838,-0.018655121326446533,human
RPL8,,-0.01806708797812462,,-0.05315259471535683,-0.03560984134674072,-0.03560984134674072,-0.01806708797812462,human
EEF1G,,-0.01790553331375122,,-0.04604460299015045,-0.031975068151950836,-0.031975068151950836,-0.01790553331375122,human
UBE2E1,,-0.01771148107945919,,-0.014300589449703693,-0.016006035264581442,-0.016006035264581442,-0.01771148107945919,human
GJA1,,-0.017608346417546272,,,-0.017608346417546272,-0.017608346417546272,-0.017608346417546272,human
RPLP0P6,,-0.017271816730499268,,-0.06412487477064133,-0.0406983457505703,-0.0406983457505703,-0.017271816730499268,human
DYNLT3,,-0.017139650881290436,-0.011011055670678616,,-0.014075353275984526,-0.014075353275984526,-0.017139650881290436,human
ZFP36,,-0.016056682914495468,,,-0.016056682914495468,-0.016056682914495468,-0.016056682914495468,human
EEF1B2,,-0.015135126188397408,,-0.05005823075771332,-0.03259667847305536,-0.03259667847305536,-0.015135126188397408,human
SAT1,,-0.01490757241845131,,,-0.01490757241845131,-0.01490757241845131,-0.01490757241845131,human
YWHAQ,,-0.01483829040080309,,,-0.01483829040080309,-0.01483829040080309,-0.01483829040080309,human
SERPINB5,,-0.014834185130894184,,0.044860951602458954,0.015013383235782385,0.015013383235782385,-0.014834185130894184,human
IER5,,-0.01453571766614914,,-0.015295655466616154,-0.014915686566382647,-0.014915686566382647,-0.01453571766614914,human
RPL4,,-0.014449914917349815,,-0.048139993101358414,-0.031294954009354115,-0.031294954009354115,-0.014449914917349815,human
ATP6V1F,,-0.01426255889236927,,-0.027938663959503174,-0.021100611425936222,-0.021100611425936222,-0.01426255889236927,human
PSMC6,,-0.014031381346285343,,,-0.014031381346285343,-0.014031381346285343,-0.014031381346285343,human
RPS15,,-0.013630394823849201,,-0.06239955127239227,-0.03801497304812074,-0.03801497304812074,-0.013630394823849201,human
TSPAN6,,-0.01353057473897934,-0.01080296654254198,-0.012338790111243725,-0.012224110464255014,-0.012338790111243725,-0.01353057473897934,human
SGK1,,-0.013516735285520554,,0.02150128223001957,0.003992273472249508,0.003992273472249508,-0.013516735285520554,human
RPS5,,-0.013306112959980965,,-0.06182713434100151,-0.03756662365049124,-0.03756662365049124,-0.013306112959980965,human
LRP10,,-0.013249130919575691,,-0.03917699679732323,-0.02621306385844946,-0.02621306385844946,-0.013249130919575691,human
CDA,,-0.013106905855238438,,,-0.013106905855238438,-0.013106905855238438,-0.013106905855238438,human
RPL36A,,-0.01303846389055252,,-0.06536311656236649,-0.0392007902264595,-0.0392007902264595,-0.01303846389055252,human
SUMO2,,-0.012840865179896355,,-0.0180693157017231,-0.015455090440809727,-0.015455090440809727,-0.012840865179896355,human
SOWAHC,,-0.012797854840755463,,,-0.012797854840755463,-0.012797854840755463,-0.012797854840755463,human
RPL10A,,-0.012582366354763508,,-0.08615458756685257,-0.04936847696080804,-0.04936847696080804,-0.012582366354763508,human
RPS16,,-0.01248355396091938,,-0.02333463355898857,-0.017909093759953976,-0.017909093759953976,-0.01248355396091938,human
KLK7,,-0.012177038006484509,,0.013390948064625263,0.0006069550290703773,0.0006069550290703773,-0.012177038006484509,human
ATP1B3,,-0.012096148915588856,,,-0.012096148915588856,-0.012096148915588856,-0.012096148915588856,human
NCK2,,-0.011809689924120903,,,-0.011809689924120903,-0.011809689924120903,-0.011809689924120903,human
NFKBIA,,-0.011511541903018951,-0.016896909102797508,0.03406312316656113,0.0018848907202482224,-0.011511541903018951,-0.011511541903018951,human
PDZK1IP1,,-0.011507847346365452,,0.02417033538222313,0.006331244017928839,0.006331244017928839,-0.011507847346365452,human
TUBA4A,,-0.011391757987439632,,,-0.011391757987439632,-0.011391757987439632,-0.011391757987439632,human
ADIRF,,-0.01129900198429823,,-0.023475512862205505,-0.017387257423251867,-0.017387257423251867,-0.01129900198429823,human
TP53I3,,-0.011232434771955013,,-0.013334947638213634,-0.012283691205084324,-0.012283691205084324,-0.011232434771955013,human
