gene_symbol,logfc_dz:392,logfc_dz:978,logfc_dz:148,logfc_dz:602,logfc_dz:24,logfc_dz:52,logfc_dz:39,logfc_dz:478,logfc_dz:448,logfc_dz:504,logfc_dz:11,mean_logfc,median_logfc,common_experiment,organism
RPN2,,0.026577049866318703,,,0.02073126658797264,,,,,,,0.023654158227145672,0.023654158227145672,,human
IGHV3-23,,0.025983814150094986,,,0.01905510202050209,,,,,,,0.022519458085298538,0.022519458085298538,,human
PKM,,0.025761228054761887,-0.009604205377399921,,0.011403478682041168,,,0.019385669380426407,,0.21707278490066528,,0.052803791128098965,0.019385669380426407,,human
IGLL5,,0.025748610496520996,,,0.013874934054911137,,,,,,,0.019811772275716066,0.019811772275716066,,human
EEF1A2,,0.02561355195939541,,,,,,,,0.03424319252371788,,0.029928372241556644,0.029928372241556644,,human
COMMD3,,0.02558247372508049,,,0.016829004511237144,,,,,,,0.021205739118158817,0.021205739118158817,,human
MED24,,0.0255137849599123,,,,,,,,,,0.0255137849599123,0.0255137849599123,,human
BMI1,,0.02528361603617668,,,0.016318725422024727,,,,,,,0.020801170729100704,0.020801170729100704,,human
ZWINT,,0.02480774186551571,,,0.018136559054255486,,,,,,,0.021472150459885597,0.021472150459885597,,human
MED1,,0.024629615247249603,,,,,,,,,,0.024629615247249603,0.024629615247249603,,human
LOC728026,,0.02462087944149971,0.027172353118658066,,0.03258349373936653,,,,,0.013328353874385357,,0.024426270043477416,0.025896616280078888,,human
TMA7,,0.02456788904964924,-0.026958206668496132,0.033740028738975525,0.022977128624916077,,,,0.05401398614048958,0.030646787956357002,,0.02316460230698188,0.02760733850300312,,human
HSPA1A,,0.024132782593369484,-0.056492868810892105,0.013015130534768105,0.018200114369392395,,,,-0.026568250730633736,,0.11507284641265869,0.014559959061443806,0.01560762245208025,,human
COX7A2,,0.024050939828157425,,0.040483761578798294,0.034385185688734055,,,,0.025874139741063118,0.019827689975500107,,0.0289243433624506,0.025874139741063118,,human
TXNDC5,,0.02387930266559124,0.028534047305583954,0.019138915464282036,0.02067996934056282,,-0.017641576007008553,,,0.019503500312566757,,0.01568235984692971,0.02009173482656479,,human
IFI30,,0.023643221706151962,0.024554936215281487,0.06295543164014816,0.01643577218055725,,,,,,,0.031897340435534716,0.024099078960716724,,human
CXCR4,,0.023572400212287903,0.013895053416490555,0.012202122248709202,0.02983115240931511,,,,-0.010430990718305111,,,0.01381394751369953,0.013895053416490555,,human
IFI27,,0.02316710166633129,,,0.01096965279430151,0.043812744319438934,,,,,,0.02598316626002391,0.02316710166633129,,human
PCSK1,,0.023166077211499214,,,0.01771184243261814,0.012449306435883045,,,,,,0.0177757420266668,0.01771184243261814,,human
PSME2,,0.022926347330212593,,0.033024780452251434,0.01922723464667797,,,,,0.021755056455731392,,0.024233354721218348,0.022340701892971992,,human
NFKBIZ,,0.02287192828953266,,-0.019209809601306915,,,,,,,,0.001831059344112873,0.001831059344112873,,human
S100A16,,0.022793317213654518,,,0.01895936205983162,,,,,,,0.02087633963674307,0.02087633963674307,,human
TMSB4XP8,,0.022618284448981285,,-0.024521777406334877,0.04202096536755562,,,,,0.07616738975048065,,0.02907121554017067,0.03231962490826845,,human
GRB7,,0.022327816113829613,,,,,,,,,,0.022327816113829613,0.022327816113829613,,human
CKS2,,0.022166796028614044,,,0.022639326751232147,,,0.038184456527233124,,,,0.027663526435693104,0.022639326751232147,,human
PSMA6,,0.02210078574717045,,,0.016371889039874077,,,,,-0.026906708255410194,,0.0038553221772114434,0.016371889039874077,,human
FN1,,0.022093908861279488,0.029075128957629204,0.04320133477449417,0.011869823560118675,,0.019618025049567223,0.022983629256486893,,,-0.04547596722841263,0.014766554747309004,0.022093908861279488,,human
JTB,,0.022049373015761375,,0.026134395971894264,0.03359246626496315,,,,,-0.036706265062093735,,0.011267492547631264,0.02409188449382782,,human
ERH,,0.02189222350716591,-0.017301160842180252,0.014625092968344688,,,-0.011849069967865944,,,,,0.0018417714163661003,0.0013880115002393723,,human
SLC25A5,,0.021421514451503754,0.05707617476582527,,0.021483473479747772,,,,-0.053253740072250366,-0.02674197219312191,,0.003997090086340904,0.021421514451503754,,human
SSR4,,0.02141069620847702,,0.04937513545155525,0.014590880833566189,,,,,-0.024510616436600685,,0.015216524014249444,0.018000788521021605,,human
KPNA2,,0.021089544519782066,,,0.02093796245753765,,,,,0.03321993350982666,,0.025082480162382126,0.021089544519782066,,human
COX8A,,0.021088775247335434,-0.009773711673915386,0.03646461293101311,0.019396092742681503,,,,,0.03816203773021698,,0.02106756139546633,0.021088775247335434,,human
CAPN8,,0.02091805823147297,,,,,,,,,,0.02091805823147297,0.02091805823147297,,human
TMEM258,,0.020806055516004562,,0.053824566304683685,0.01559245865792036,,,,,0.024752039462327957,,0.02874377998523414,0.02277904748916626,,human
MMP9,,0.02025020308792591,0.018559981137514114,0.01958414353430271,0.021719058975577354,0.010105817578732967,,,,,,0.018043840862810613,0.01958414353430271,,human
COL6A3,,0.020075134932994843,0.11470421403646469,0.012990415096282959,,,,,,,,0.04925658802191416,0.020075134932994843,,human
IGKV4-1,,0.02001854032278061,,0.034543491899967194,,,,,,,,0.0272810161113739,0.0272810161113739,,human
ERBB2,,0.019917385652661324,,,,,,,,,,0.019917385652661324,0.019917385652661324,,human
ARPC3,,0.01978554204106331,,0.012864057905972004,0.02046268805861473,,,,,,,0.017704096001883347,0.01978554204106331,,human
LSM1,,0.019721876829862595,,,0.012489855289459229,,,,,,,0.01610586605966091,0.01610586605966091,,human
CCT2,,0.019547641277313232,,,0.017168667167425156,,,,,-0.056079745292663574,0.027844808995723724,0.0021203430369496346,0.018358154222369194,,human
NDUFAB1,,0.019457930698990822,,,0.019371813163161278,,,,,,,0.01941487193107605,0.01941487193107605,,human
SCG5,,0.019388150423765182,,,0.01470861490815878,,,,,,,0.01704838266596198,0.01704838266596198,,human
MAGED1,,0.019246459007263184,0.011157103814184666,0.044499944895505905,0.01547995861619711,,,,,,,0.022595866583287716,0.017363208811730146,,human
CYP4Z1,,0.01904241368174553,,,,,,,,,,0.01904241368174553,0.01904241368174553,,human
RAB31,,0.018860381096601486,,0.0639379620552063,0.015247692354023457,,,,,,,0.03268201183527708,0.018860381096601486,,human
YWHAB,,0.01877347007393837,,,0.018404178321361542,,,,,0.019284330308437347,,0.01882065956791242,0.01877347007393837,,human
NPM1,,0.018659839406609535,0.03228138014674187,,0.013722402974963188,,,,-0.025205781683325768,0.06797504425048828,,0.02148657701909542,0.018659839406609535,,human
FTL,,0.018246060237288475,0.0593978650867939,0.08625686168670654,,,,-0.04198198765516281,-0.013207361102104187,-0.21042433381080627,,-0.016952149259547394,0.002519349567592144,,human
GZMK,,0.018212364986538887,,,0.018182802945375443,,,,,,,0.018197583965957165,0.018197583965957165,,human
YWHAQ,,0.01818590611219406,-0.010341508314013481,,0.022703947499394417,,,,,,,0.010182781765858332,0.01818590611219406,,human
HIGD2A,,0.018103202804923058,,,0.012766158208251,,,-0.05964956060051918,,,,-0.009593399862448374,0.012766158208251,,human
LAPTM4B,,0.018063226714730263,,,,,,,-0.019295359030365944,,,-0.0006160661578178406,-0.0006160661578178406,,human
PSMD14,,0.01790795847773552,,0.01889454759657383,0.02041500248014927,,,,,,,0.019072502851486206,0.01889454759657383,,human
NQO1,,0.017888827249407768,-0.01125452108681202,,,,-0.011465179733932018,0.0377076119184494,,-0.08012296259403229,,-0.009449244849383831,-0.01125452108681202,,human
CCL19,,0.017842203378677368,0.010180020704865456,,0.019504914060235023,,,,,,,0.01584237938125928,0.017842203378677368,,human
POLB,,0.017777398228645325,,,0.01444589626044035,,,,,,,0.016111647244542837,0.016111647244542837,,human
RARRES3,,0.017722228541970253,-0.023335734382271767,,,,,,,,,-0.002806752920150757,-0.002806752920150757,,human
PPIF,,0.017592202872037888,,,,,-0.00965593196451664,-0.040494099259376526,,-0.019638797268271446,,-0.013049156405031681,-0.014647364616394043,,human
DEGS1,,0.01748002879321575,,,,,,,,,,0.01748002879321575,0.01748002879321575,,human
LAPTM5,,0.017403097823262215,0.018701300024986267,0.044493719935417175,0.01793643645942211,,,0.059274669736623764,,,,0.031561844795942304,0.018701300024986267,,human
SLC35B1,,0.017336653545498848,,,0.012734525837004185,,,-0.021441053599119186,,,,0.0028767085944612822,0.012734525837004185,,human
IGHV1-69,,0.017290232703089714,,,0.013495148159563541,,,,,,,0.015392690431326628,0.015392690431326628,,human
LOC100290036,,0.01703888550400734,,,0.01113545149564743,,,,,,,0.014087168499827385,0.014087168499827385,,human
STARD3,,0.017006875947117805,,,,,,,,,,0.017006875947117805,0.017006875947117805,,human
DYNLL1,,0.016878308728337288,,,0.027440739795565605,,,,,-0.02414596639573574,,0.0067243607093890505,0.016878308728337288,,human
TUBB4B,,0.016577737405896187,,,0.010466783307492733,,,0.05291077867150307,,0.07770335674285889,,0.03941466403193772,0.03474425803869963,,human
COL10A1,,0.016541626304388046,,0.0510869063436985,,,,,,,,0.033814266324043274,0.033814266324043274,,human
TUFT1,,0.01641962118446827,,,0.010983781889081001,,,,,,,0.013701701536774635,0.013701701536774635,,human
KRT18,,0.016252033412456512,-0.049079809337854385,0.030617425218224525,,,,,,,0.08118907362222672,0.019744680728763342,0.02343472931534052,,human
CAP1,,0.016131937503814697,,0.046567488461732864,,,,-0.022983739152550697,0.011465994641184807,,,0.012795420363545418,0.013798966072499752,,human
HIST1H1C,,0.01612754911184311,,,,,,,,-0.017847474664449692,,-0.0008599627763032913,-0.0008599627763032913,,human
PSMB4,,0.01604221574962139,,,0.025825131684541702,,,,-0.009926104918122292,-0.027125798165798187,0.018595583736896515,0.004682205617427826,0.01604221574962139,,human
GPRC5A,,0.01604139246046543,,,,,,,,,,0.01604139246046543,0.01604139246046543,,human
PRDX4,,0.015941046178340912,0.019045935943722725,0.029775293543934822,0.027542347088456154,,,,,0.013418089598417282,,0.02114454247057438,0.019045935943722725,,human
TRBC1,,0.015883827582001686,,0.018313303589820862,0.0153747433796525,,,,,,,0.016523958183825016,0.015883827582001686,,human
FTH1,,0.01587965153157711,0.023073142394423485,0.0616123266518116,,,0.015797799453139305,,-0.046832818537950516,,,0.013906020298600196,0.01587965153157711,,human
