gene_symbol,logfc_dz:397,logfc_dz:306,logfc_dz:652,logfc_dz:653,mean_logfc,median_logfc,common_experiment,organism
OR2M7,,,-0.0264710895717144,-0.026561958715319633,-0.026516524143517017,-0.026516524143517017,,human
SNORD46,,,-0.02563372440636158,-0.01929118111729622,-0.0224624527618289,-0.0224624527618289,,human
GAGE8,,,-0.024267524480819702,-0.027897730469703674,-0.026082627475261688,-0.026082627475261688,,human
RBMY2EP,,,-0.023808829486370087,,-0.023808829486370087,-0.023808829486370087,,human
HIST1H3I,,,-0.023456625640392303,,-0.023456625640392303,-0.023456625640392303,,human
RPS27,,,-0.023382483050227165,,-0.023382483050227165,-0.023382483050227165,,human
KRTAP4-2,,,-0.023117195814847946,-0.02129216678440571,-0.022204681299626827,-0.022204681299626827,,human
SNORD41,,,-0.02202487736940384,-0.05849558115005493,-0.040260229259729385,-0.040260229259729385,,human
ERVH-4,,,-0.02165191061794758,-0.02210199274122715,-0.021876951679587364,-0.021876951679587364,,human
OR7E125P,,,-0.021513961255550385,-0.02487270161509514,-0.02319333143532276,-0.02319333143532276,,human
DUX3,,,-0.02150053158402443,-0.021170085296034813,-0.02133530844002962,-0.02133530844002962,,human
CD74,,,-0.020483441650867462,-0.01859028823673725,-0.019536864943802357,-0.019536864943802357,,human
NBPF19,,,-0.020445073023438454,-0.0258727315813303,-0.023158902302384377,-0.023158902302384377,,human
PRR20E,,,-0.019597172737121582,-0.018593572080135345,-0.019095372408628464,-0.019095372408628464,,human
OR11H12,,,-0.01956312358379364,-0.018648361787199974,-0.019105742685496807,-0.019105742685496807,,human
NBPF20,,,-0.01831616647541523,-0.030039727687835693,-0.02417794708162546,-0.02417794708162546,,human
LINC01001,,,-0.01831490732729435,-0.019870340824127197,-0.019092624075710773,-0.019092624075710773,,human
SNORA71C,,,-0.018261659890413284,,-0.018261659890413284,-0.018261659890413284,,human
CCL19,,,-0.01820911467075348,,-0.01820911467075348,-0.01820911467075348,,human
LYZ,,,-0.01801985129714012,,-0.01801985129714012,-0.01801985129714012,,human
MPLKIP,,,-0.01799415983259678,-0.023128923028707504,-0.02056154143065214,-0.02056154143065214,,human
RPL41P5,,,-0.017938068136572838,-0.017932526767253876,-0.017935297451913357,-0.017935297451913357,,human
RPL18A,,,-0.017846668139100075,,-0.017846668139100075,-0.017846668139100075,,human
HIST1H2BH,,,-0.017624294385313988,,-0.017624294385313988,-0.017624294385313988,,human
MIR326,,,-0.01757810078561306,-0.018483782187104225,-0.018030941486358643,-0.018030941486358643,,human
MXRA8,,,,0.06846991181373596,0.06846991181373596,0.06846991181373596,,human
UPK3BL,,,,0.06120368093252182,0.06120368093252182,0.06120368093252182,,human
TACSTD2,,,,0.04806923121213913,0.04806923121213913,0.04806923121213913,,human
KRT19,,,,0.047097861766815186,0.047097861766815186,0.047097861766815186,,human
CCND1,,,,0.045235566794872284,0.045235566794872284,0.045235566794872284,,human
RPLP2,,,,0.04155483469367027,0.04155483469367027,0.04155483469367027,,human
PERP,,,,0.04101429507136345,0.04101429507136345,0.04101429507136345,,human
ACTG1,,,,0.03839600458741188,0.03839600458741188,0.03839600458741188,,human
TM4SF1,,,,0.03811865299940109,0.03811865299940109,0.03811865299940109,,human
