gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
CLTA,0.1190426425963067,0.1190426425963067,0.1190426425963067,human,UP
HDAC4-AS1,0.1183392240440789,0.1183392240440789,0.1183392240440789,human,UP
SPINT1-AS1,0.1178027777850514,0.1178027777850514,0.1178027777850514,human,UP
LMAN1,0.1170861075452612,0.1170861075452612,0.1170861075452612,human,UP
TLE5,0.1158801101450702,0.1158801101450702,0.1158801101450702,human,UP
DIAPH2,0.1153392467625886,0.1153392467625886,0.1153392467625886,human,UP
NTAN1,0.1149334244974184,0.1149334244974184,0.1149334244974184,human,UP
CERKL,0.1135795978780622,0.1135795978780622,0.1135795978780622,human,UP
NBN,0.111818518981042,0.111818518981042,0.111818518981042,human,UP
GNPAT,0.1110687356002456,0.1110687356002456,0.1110687356002456,human,UP
ALAS1,0.1094570842500027,0.1094570842500027,0.1094570842500027,human,UP
ASXL2,0.1094204208578118,0.1094204208578118,0.1094204208578118,human,UP
TXN2,0.1089782730803169,0.1089782730803169,0.1089782730803169,human,UP
YPEL3,0.1077456844914946,0.1077456844914946,0.1077456844914946,human,UP
COLCA1,0.1077083326158279,0.1077083326158279,0.1077083326158279,human,UP
SMOC1,0.10749744026733,0.10749744026733,0.10749744026733,human,UP
CLK3,0.1071796410912973,0.1071796410912973,0.1071796410912973,human,UP
BNIP1,0.1062896762332893,0.1062896762332893,0.1062896762332893,human,UP
GMFB,0.1059191468717404,0.1059191468717404,0.1059191468717404,human,UP
HNRNPUL2,0.105841604965165,0.105841604965165,0.105841604965165,human,UP
DICER1-AS1,0.1052878387980991,0.1052878387980991,0.1052878387980991,human,UP
SF3A3,0.105126934188731,0.105126934188731,0.105126934188731,human,UP
ZNF33A,0.1050035936619333,0.1050035936619333,0.1050035936619333,human,UP
PRSS12,0.104861996582313,0.104861996582313,0.104861996582313,human,UP
TARBP1,0.1045530276813987,0.1045530276813987,0.1045530276813987,human,UP
SCO2,0.1042788736073573,0.1042788736073573,0.1042788736073573,human,UP
RTP4,0.1040535611655332,0.1040535611655332,0.1040535611655332,human,UP
AQP3,0.1038166608080102,0.1038166608080102,0.1038166608080102,human,UP
PCGF5,0.103174276212071,0.103174276212071,0.103174276212071,human,UP
ERLIN1,0.1028862072368936,0.1028862072368936,0.1028862072368936,human,UP
CTSS,0.1025343651881672,0.1025343651881672,0.1025343651881672,human,UP
C10orf95,0.1013399901107844,0.1013399901107844,0.1013399901107844,human,UP
IFT46,0.1013258400292645,0.1013258400292645,0.1013258400292645,human,UP
CASC3,0.1010432577782966,0.1010432577782966,0.1010432577782966,human,UP
CADM1,0.1007396929067934,0.1007396929067934,0.1007396929067934,human,UP
SMARCA5,0.1005896355462561,0.1005896355462561,0.1005896355462561,human,UP
GMDS-DT,0.1005564363947253,0.1005564363947253,0.1005564363947253,human,UP
FGFR2,0.1003568845232341,0.1003568845232341,0.1003568845232341,human,UP
SRSF5,0.0998730023381115,0.0998730023381115,0.0998730023381115,human,UP
TIAL1,0.0997708865883267,0.0997708865883267,0.0997708865883267,human,UP
HDHD3,0.0987163378319283,0.0987163378319283,0.0987163378319283,human,UP
HSPB1,0.0983447651870976,0.0983447651870976,0.0983447651870976,human,UP
HMGN1,0.0981527466256273,0.0981527466256273,0.0981527466256273,human,UP
ANKRD45,0.0976269357093204,0.0976269357093204,0.0976269357093204,human,UP
CDHR3,0.0974559753511494,0.0974559753511494,0.0974559753511494,human,UP
RRAS,0.0971780622148915,0.0971780622148915,0.0971780622148915,human,UP
MTR,0.096954016450628,0.096954016450628,0.096954016450628,human,UP
NMT1,0.096757065199808,0.096757065199808,0.096757065199808,human,UP
ABI2,0.0965998596643928,0.0965998596643928,0.0965998596643928,human,UP
