creeds_disease,disease_id,disease_name,disease_synonyms,disease_ontology,match_type,therapeutic_areas
intracranial_aneurysm,EFO_0003870,brain aneurysm,"Anterior Cerebral Artery Aneurysm|Aneurysm, Basilar Artery|Aneurysm, Brain|Aneurysms, Giant Intracranial|Intracranial Aneurysm|Intracranial Aneurysm, Giant|Intracranial Mycotic Aneurysms|Aneurysm, Giant Intracranial|Aneurysms, Intracranial|Aneurysms, Basilar Artery|Aneurysm, Intracranial|Artery Aneurysms, Basilar|Berry Aneurysms|Mycotic Aneurysm, Intracranial|Aneurysm, Cerebral|brain aneurysm|Aneurysm, Intracranial Mycotic|Aneurysm, Anterior Cerebral Artery|Basilar Artery Aneurysm|Aneurysms, Intracranial Mycotic|Aneurysms, Cerebral|Anterior Communicating Artery Aneurysm|Middle Cerebral Artery Aneurysm|Aneurysm, Middle Cerebral Artery|Cerebral Aneurysm|Aneurysms, Brain|Mycotic Aneurysms, Intracranial|Posterior Communicating Artery Aneurysm|Basilar Artery Aneurysms|Intracranial Aneurysms|Aneurysm, Anterior Communicating Artery|Intracranial Aneurysms, Giant|Posterior Cerebral Artery Aneurysm|Cerebral Aneurysms|Artery Aneurysm, Basilar|Giant Intracranial Aneurysm|Giant Intracranial Aneurysms|Intracranial Mycotic Aneurysm|Berry Aneurysm|Aneurysm, Berry|Aneurysm, Posterior Communicating Artery|Aneurysms, Berry|Aneurysm, Posterior Cerebral Artery|Brain Aneurysms|intracranial aneurysm","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003870', 'name': 'EFO_0003870'}}",synonym_match,Nervous System|Cardiovascular
invasive_ductal_carcinoma,EFO_0000186,invasive breast ductal carcinoma,"invasive ductal carcinoma|infiltrating ductal breast carcinoma|invasive ductal breast carcinoma|invasive ductal adenocarcinoma|invasive ductal carcinoma, No specific type|infiltrating ductal carcinoma of the breast|ductal adenocarcinoma|invasive ductal carcinoma of the breast|infiltrating ductal carcinoma|invasive ductal carcinoma of breast|infiltrating ductal adenocarcinoma|infiltrating ductal carcinoma of breast|invasive ductal carcinoma, NST|breast invasive ductal carcinoma","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000186', 'name': 'EFO_0000186'}}",synonym_match,Cancer/Tumor|Reproductive/Breast|Skin/Integumentary
juvenile_rheumatoid_arthritis,EFO_0002609,juvenile idiopathic arthritis,"Arthritis, Juvenile Rheumatoid|juvenile rheumatoid arthritis|rheumatoid arthritis, systemic juvenile, susceptibility to|arthritis, juvenile rheumatoid|juvenile idiopathic arthritis|chronic childhood arthritis|Arthritis (juvenile idiopathic)|Juvenile Rheumatoid Arthritis|Juvenile chronic arthritis (disorder)|Juvenile rheumatoid arthritis (disorder)|JIA|Juvenile rheumatoid arthritis NOS (disorder)|Juvenile seropositive polyarthritis|juvenile arthritis|breast myoepithelial carcinoma|Juvenile idiopathic arthritis|Juvenile rheumatoid a.|Juvenile idiopathic arthritis (disorder)|Juvenile rheumatoid arthritis, NOS|juvenile chronic polyarthritis|juvenile chronic arthritis|rheumatoid arthritis, systemic juvenile|monarticular juvenile rheumatoid arthritis|acute juvenile rheumatoid arthritis|pauciarticular juvenile arthritis|systemic juvenile rheumatoid arthritis|pauciarticular onset juvenile chronic arthritis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0002609', 'name': 'EFO_0002609'}}",synonym_match,Immune System|Musculoskeletal
large_cell_neuroendocrine_carcinoma,EFO_0000563,large cell neuroendocrine carcinoma,large cell neuroendocrine carcinoma|large cell NEC|large-cell neuroendocrine carcinoma|LCNEC,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000563', 'name': 'EFO_0000563'}}",name_match,Endocrine System|Cancer/Tumor
leukemia,EFO_0000565,leukemia,"leukemia, malignant|leukemia|leukemias, general|leukaemia (disease)|leukemia, disease|leukemias|blood (leukemia)|leukemia (disease)|leukaemia NOS","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000565', 'name': 'EFO_0000565'}}",name_match,Cancer/Tumor|Hematologic
liver_cirrhosis,EFO_0001422,cirrhosis of liver,"CL - Cirrhosis of liver|Liver Cirrhoses|Hepatic Cirrhoses|Cirrhosis of liver (disorder)|cirrhosis of liver|Cirrhosis of liver without mention of alcohol|Cirrhosis, Liver|Cirrhosis of liver NOS (disorder)|Cirrhosis, Hepatic|Fibrosis, Liver|Liver Fibrosis|Cirrhosis of liver NOS|Cirrhoses, Liver|liver cirrhosis|Cirrhosis of liver, NOS|Cirrhoses, Hepatic|Hepatic cirrhosis|Hepatic cirrhosis, NOS|Liver Fibroses|Fibroses, Liver|cirrhosis|liver cirrhosis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0001422', 'name': 'EFO_0001422'}}",synonym_match,Cancer/Tumor|Endocrine System|Gastrointestinal
lung_adenocarcinoma,EFO_0000571,lung adenocarcinoma,LUAD|bronchogenic lung adenocarcinoma|lung adenocarcinoma|adenocarcinoma of the lung|non-small cell lung adenocarcinoma|adenocarcinoma of lung|nonsmall cell adenocarcinoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000571', 'name': 'EFO_0000571'}}",name_match,Cancer/Tumor|Respiratory
lung_large_cell_carcinoma,EFO_0003050,large cell lung carcinoma,large cell lung carcinoma|large cell carcinoma of lung|lung large cell carcinoma|large cell lung cancer|large cell carcinoma of the lung|anaplastic lung carcinoma|large cell undifferentiated lung carcinoma|LCLC,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003050', 'name': 'EFO_0003050'}}",synonym_match,Cancer/Tumor|Respiratory
lung_small_cell_carcinoma,EFO_0000702,small cell lung carcinoma,"lung small cell carcinoma|small cell neuroendocrine carcinoma of lung|oat cell carcinoma of the lung|small cell carcinoma of the lung|lung small cell neuroendocrine carcinoma|small-cell cancer of lung|small cell neuroendocrine carcinoma of the lung|small cell carcinoma of lung|lung oat cell carcinoma|oat cell lung carcinoma|small cell lung carcinoma|Small cell lung cancer|oat cell carcinoma of lung|small cell cancer of the lung, somatic|small cell lung cancer|SCLC1|small cell cancer of the lung|poorly differentiated endocrine neoplasm|oat cell carcinoma (morphologic abnormality)|oat cell carcinoma|SCLC","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000702', 'name': 'EFO_0000702'}}",synonym_match,Genetic/Congenital|Endocrine System|Respiratory|Cancer/Tumor
lung_squamous_cell_carcinoma,EFO_0000708,squamous cell lung carcinoma,lung squamous cell carcinoma|squamous cell carcinoma of the lung|squamous cell lung cancer|epidermoid cell lung carcinoma|squamous cell carcinoma of lung|epidermoid cell carcinoma of lung|epidermoid cell carcinoma of the lung|squamous cell lung carcinoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000708', 'name': 'EFO_0000708'}}",synonym_match,Cancer/Tumor|Respiratory
lupus_erythematosus,MONDO_0004670,lupus erythematosus,lupus|lupus erythematosus,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0004670', 'name': 'MONDO_0004670'}}",name_match,Musculoskeletal|Immune System
macular_degeneration,EFO_0009606,macular degeneration,macula lutea retinal degeneration|macular degeneration of retina|retinal degeneration of macula lutea|macular degeneration|macula retinal degeneration,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0009606', 'name': 'EFO_0009606'}}",name_match,Nervous System|Visual System
malignant_pleural_mesothelioma,EFO_0000770,malignant pleural mesothelioma,malignant mesothelioma of the pleura|malignant pleural mesothelioma|pleura mesothelioma|pleural malignant mesothelioma|malignant mesothelioma of pleura|MPM|pleural diffuse malignant mesothelioma|pleura mesothelioma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000770', 'name': 'EFO_0000770'}}",name_match,Gastrointestinal|Respiratory|Cancer/Tumor
melanoma,EFO_0000756,melanoma,"Naevocarcinoma|melanoma|malignant melanoma|melanoma (disease)|melanoma, malignant","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000756', 'name': 'EFO_0000756'}}",name_match,Cancer/Tumor
melanoma_in_situ,,,,,no_match,
mental_depression,MONDO_0002050,depressive disorder,"mental depression|depression|melancholias|melancholia|syndrome, depressive|syndromes, depressive","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0002050', 'name': 'MONDO_0002050'}}",synonym_match,Nervous System|Psychiatric
monoclonal_gammopathy_of_uncertain_significance,EFO_0000203,monoclonal gammopathy,MGUS - Monoclonal gammopathy of uncertain significance|Monoclonal gammopathy of uncertain significance|Monoclonal gammopathy of uncertain significance (disorder)|Monoclonal gammopathy of undetermined significance (morphologic abnormality)|Monoclonal gammopathy of undetermined significance|Paraproteinaemia|Monoclonal Gammopathy of Unknown Significance|Paraproteinemia|Benign Monoclonal Gammopathy|MGUS|Monoclonal Gammopathy Of Undetermined Significance (MGUS)|monoclonal gammopathy,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000203', 'name': 'EFO_0000203'}}",synonym_match,Hematologic
morbid_obesity,EFO_0001074,morbid obesity,"Severe obesity|Obesities, Morbid|Morbid Obesities|Morbid obesity (disorder)|severe obesity|morbid obesity|Obesity, Morbid","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0001074', 'name': 'EFO_0001074'}}",name_match,Metabolic
multiple_myeloma,EFO_0001378,multiple myeloma,"myelomatosis|multiple myeloma|myeloma, plasma cell, malignant|plasma cell myeloid neoplasm|multiple myeloma, susceptibility to, Somatic mutation|multiple myeloma, resistance to, Somatic mutation|Multiple Myeloma|Kahler disease|Kahler's disease|multiple myeloma/plasma cell myeloma|medullary plasmacytoma|myeloid neoplasm of plasma cell|myeloma|myeloma, multiple|plasma cell myeloma|Al amyloidosis|amyloidosis, systemic|myeloma - multiple|myeloma, multiple","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0001378', 'name': 'EFO_0001378'}}",name_match,Immune System|Hematologic|Genetic/Congenital|Cancer/Tumor
multiple_sclerosis,MONDO_0005301,multiple sclerosis,insular sclerosis|generalized multiple sclerosis|generalised multiple sclerosis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005301', 'name': 'MONDO_0005301'}}",name_match,Nervous System|Immune System
muscular_dystrophy,MONDO_0020121,muscular dystrophy,,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0020121', 'name': 'MONDO_0020121'}}",name_match,Nervous System|Genetic/Congenital|Musculoskeletal
myelodysplastic_syndrome,EFO_0000198,myelodysplastic syndrome,"dysmyelopoietic syndrome|myelodysplastic syndrome/neoplasm|Myelodysplastic Syndromes|MDS|oligoblastic leukaemia|preleukemia|myelodysplastic syndrome, somatic|smouldering leukaemia|myelodysplastic syndromes|oligoblastic leukemia|MDS, unclassifiable|hematopoeitic - myelodysplastic syndrome (MDS)|MDS-U|smoldering leukemia|myelodysplastic syndrome|myelodysplastic syndrome, unclassifiable|myelodysplasia|myelodysplastic neoplasm|myelodysplastic syndrome, susceptibility to","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000198', 'name': 'EFO_0000198'}}",name_match,Hematologic|Cancer/Tumor|Genetic/Congenital
myocardial_infarction,EFO_0000612,myocardial infarction,"Myocardial infarction NOS|MI, myocardial infarction|heart attack|Myocardial Infarct|Infarction of heart|myocardial infarction, (MI)|Myocardial Infarctions|Myocardial infarction (disorder)|Heart attack, NOS|Infarction of heart, NOS|Infarcts, Myocardial|myocardial infarction (disease)|MI, MYOCARDIAL INFARCTION|Myocardial Infarcts|INFARCTION (MI), MYOCARDIAL|Infarction, Myocardial|MI|Infarct, Myocardial|Cardiac infarction|Infarctions, Myocardial|Attack - heart|infarction (MI), myocardial|myocardial infarction|MYOCARDIAL INFARCTION, (MI)|myocardial infarct|Cardiac infarction, NOS|Myocardial infarction, NOS|MI - Myocardial infarction","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000612', 'name': 'EFO_0000612'}}",name_match,Cardiovascular
myotonic_dystrophy_type_1,MONDO_0008056,myotonic dystrophy type 1,MD1|Steinert syndrome|DMPK myotonic dystrophy|myotonic dystrophy caused by mutation in DMPK|Steinert disease|DM1|myotonic dystrophy of Steinert|myotonic dystrophy type 1|Steinert myotonic dystrophy syndrome|Myotonic Dystrophy|dystrophia myotonica|dystrophia myotonica 1|dystrophia myotonica type 1|Steinert's disease|Steinert myotonic dystrophy|myotonic dystrophy 1,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0008056', 'name': 'MONDO_0008056'}}",name_match,Cardiovascular|Genetic/Congenital|Musculoskeletal|Nervous System
nasopharynx_carcinoma,MONDO_0015459,nasopharyngeal carcinoma,NPC|carcinoma of nasopharynx|nasopharyngeal carcinoma|carcinoma of the nasopharynx|squamous cell carcinoma of the nasopharynx|nasopharynx carcinoma|nasopharyngeal throat cancer|malignant neoplasm of anterior wall of nasopharynx|malignant neoplasm of posterior wall of nasopharynx|malignant neoplasm of roof of nasopharynx|malignant neoplasm of nasopharyngeal wall|malignant tumour of anterior wall of nasopharynx|malignant neoplasm of nasopharynx|malignant nasopharyngeal tumour|malignant neoplasm of nasopharynx (disorder) [ambiguous]|cancer of nasopharynx|malignant tumor of anterior wall of nasopharynx|malignant tumour of posterior wall of nasopharynx|malignant neoplasm of lateral wall of nasopharynx|nasopharyngeal cancer|primary malignant neoplasm of anterior wall of nasopharynx|cancer of the nasopharynx|malignant neoplasm of superior wall of nasopharynx|malignant tumor of lateral wall of nasopharynx|malignant nasopharyngeal tumor|malignant neoplasm of other specified sites of nasopharynx|malignant tumour of lateral wall of nasopharynx|malignant tumor of posterior wall of nasopharynx,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0015459', 'name': 'MONDO_0015459'}}",synonym_match,Cancer/Tumor|Gastrointestinal|Infectious Disease|Respiratory
nephroblastoma,Orphanet_654,Nephroblastoma,Wilms tumor (nephroblastoma)|Wilms tumor|Wilms' tumor,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.orpha.net/ORDO/Orphanet_654', 'name': 'Orphanet_654'}}",name_match,Urinary System|Genetic/Congenital|Cancer/Tumor
nephrosclerosis,EFO_1000041,nephrosclerosis,"renal sclerosis|Renal sclerosis, unspecified|nephrosclerosis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1000041', 'name': 'EFO_1000041'}}",name_match,Cardiovascular|Urinary System
nicotine_dependence,EFO_0003768,nicotine dependence,"Use Disorder, Nicotine|Dependence, Nicotine|Nicotine Use Disorders|Tobacco Smoking|Dependence, Tobacco|Tobacco Smokings|Nicotine Addiction|Nicotine Use Disorder|TOBACCO USE DIS|Disorder, Nicotine Use|Tobacco-Use Disorder|Tobacco Dependences|smoking|Smokings, Tobacco|Tobacco Dependence|Tobacco Use Disorder|Tobacco Use Disorders|Smoking, Cigarette|Disorder, Tobacco-Use|Disorder, Tobacco Use|nicotine addiction|Smoking, Tobacco|nicotine dependence|NICOTINE USE DIS|Cigarette Smoking|tobacco use disorder","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003768', 'name': 'EFO_0003768'}}",name_match,Psychiatric|Nervous System
nonspecific_interstitial_pneumonia,,,,,no_match,
obesity,EFO_0001073,obesity,"Adiposity|Obesity, unspecified|Obesity NOS|Overweight and obesity|Adiposis|obesity|obesity disease|Obesity (disorder)|Obesity [Ambiguous]|Obese|Obese (finding)|obesity disorder","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0001073', 'name': 'EFO_0001073'}}",name_match,Metabolic
oligodendroglioma,EFO_0000632,oligodendroglioma,WHO grade II oligodendroglial neoplasm|WHO grade II oligodendroglial tumor|well differentiated oligodendroglial tumour|oligodendroglioma|well differentiated oligodendroglial tumor|well differentiated oligodendroglioma|WHO grade II oligodendroglial tumour|oligodendroglial tumor|oligodendroglial tumour|oligodendroglial neoplasm,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000632', 'name': 'EFO_0000632'}}",name_match,Cancer/Tumor|Nervous System
osteoarthritis,MONDO_0005178,osteoarthritis,hypertrophic arthritis|degenerative arthritis|osteoarthrosis|degenerative joint disease|osteoarthrosis and allied disorder,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005178', 'name': 'MONDO_0005178'}}",name_match,Musculoskeletal
osteoporosis,EFO_0003882,osteoporosis,"Bone Losses, Age-Related|Osteoporoses|Bone Loss, Age-Related|OSTEOPOROSIS AGE RELAT|Age-Related Bone Loss|Age-Related Bone Losses|Bone Loss, Age Related|Post-Traumatic Osteoporosis|Senile Osteoporosis|Osteoporosis, Post Traumatic|bone mineral density variation QTL, osteoporosis|osteoporosis, postmenopausal, susceptibility|Post-Traumatic Osteoporoses|Age-Related Osteoporoses|AGE RELAT OSTEOPOROSIS|Age-Related Osteoporosis|osteoporosis|Age Related Osteoporosis|Osteoporosis, Post-Traumatic|BONE LOSS AGE RELAT|Osteoporosis, Age-Related|Osteoporoses, Age-Related|osteoporosis, susceptibility to|Osteoporoses, Senile|osteoporosis, postmenopausal|Osteoporosis, Senile|Osteoporosis, Age Related|Senile Osteoporoses|fracture, hip, susceptibility to|osteoporosis, involutional","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003882', 'name': 'EFO_0003882'}}",name_match,Musculoskeletal|Genetic/Congenital
ovarian_cancer,MONDO_0008170,ovarian cancer,"cancer of the ovary|malignant ovary neoplasm|ovarian cancer, somatic|malignant neoplasm of the ovary|malignant ovarian tumor|malignant ovarian neoplasm|malignant neoplasm of ovary|malignant tumor of the ovary|malignant tumor of ovary|malignant ovarian tumour|malignant tumour of ovary|ovary cancer|malignant tumour of the ovary|cancer of ovary|ovarian malignant tumor|ovarian cancer|ovarian malignant tumour|primary ovarian cancer|ovarian cancer, epithelial|ovarian neoplasm|ovary neoplasm|tumor of the ovary|tumour of the ovary","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0008170', 'name': 'MONDO_0008170'}}",name_match,Cancer/Tumor|Endocrine System|Reproductive/Breast
ovarian_serous_carcinoma,EFO_1001516,ovarian serous carcinoma,,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1001516', 'name': 'EFO_1001516'}}",name_match,Endocrine System|Cancer/Tumor|Reproductive/Breast
pancreatic_cancer,EFO_1000359,Malignant Pancreatic Neoplasm,malignant neoplasm of the pancreas|Ca tail of pancreas|malignant neoplasm of head of pancreas|malignant pancreas neoplasm|malignant pancreatic neoplasm|pancreas cancer|cancer of pancreas|malignant neoplasm of pancreas|pancreatic cancer|Ca head of pancreas|malignant neoplasm of tail of pancreas|Ca body of pancreas|malignant neoplasm of body of pancreas|pancreatic tumour|pancreas neoplasm,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1000359', 'name': 'EFO_1000359'}}",synonym_match,Endocrine System|Gastrointestinal|Cancer/Tumor|Pancreas
pancreatic_ductal_adenocarcinoma,MONDO_0005184,pancreatic ductal adenocarcinoma,ductal adenocarcinoma of pancreas|malignant neoplasm of duct of Wirsung|pancreatic ductal carcinoma|pancreas tubular adenocarcinoma|pancreas ductal adenocarcinoma|pancreatic duct cancer|pancreatic ductal adenocarcinoma|pancreatic tubular adenocarcinoma|ductal adenocarcinoma of the pancreas|pancreatic duct adenocarcinoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005184', 'name': 'MONDO_0005184'}}",name_match,Pancreas|Cancer/Tumor|Endocrine System|Gastrointestinal
pancreatic_intraductal_papillary-mucinous_adenoma,,,,,no_match,
pancreatic_invasive_intraductal_papillary-mucinous_carcinoma,,,,,no_match,
pancreatic_non-invasive_intraductal_papillary-mucinous_carcinoma,,,,,no_match,
papillary_thyroid_carcinoma,EFO_0000641,papillary thyroid carcinoma,papillary thyroid cancer|papillary carcinoma of thyroid|papillary thyroid gland carcinoma|papillary carcinoma of the thyroid gland|thyroid gland papillary carcinoma|papillary cancer of the thyroid|papillary carcinoma of thyroid gland|papillary thyroid carcinoma|thyroid papillary carcinoma|PTC|papillary cancer of the thyroid gland|papillary carcinoma of the thyroid|papillary cancer of thyroid gland|thyroid gland papillary cancer|papillary cancer of thyroid,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000641', 'name': 'EFO_0000641'}}",name_match,Endocrine System|Cancer/Tumor
parasitic_protozoa_infectious_disease,MONDO_0002428,protozoa infectious disease,protozoal infection|parasitic protozoa infectious disease|Mastigophora infectious disease|sarcomastigophora infectious disease,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0002428', 'name': 'MONDO_0002428'}}",synonym_match,Infectious Disease
peripartum_cardiomyopathy,EFO_0002628,peripartum cardiomyopathy,Postpartum cardiomyopathy (disorder)|postpartum cardiomyopathy|Postpartum cardiomyopathy|antepartum peripartum cardiomyopathy|peripartum cardiomyopathy|Puerperal cardiomyopathy|postpartum peripartum cardiomyopathy|Meadows' syndrome,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0002628', 'name': 'EFO_0002628'}}",name_match,Cardiovascular|Musculoskeletal|Pregnancy/Perinatal
polycystic_ovary_syndrome,EFO_0000660,polycystic ovary syndrome,"Cystic disease of ovaries|PCOS - Polycystic ovarian syndrome|Ovarian Syndrome, Polycystic|Syndrome, Polycystic Ovary|Syndrome, Stein-Leventhal|Multicystic ovaries|Ovary Syndrome, Polycystic|polycystic ovary syndrome|Polycystic ovaries|Polycystic ovarian syndrome|Stein-Leventhal Syndrome|Sclerocystic Ovarian Degeneration|Polycystic ovaries (disorder)|Sclerocystic Ovaries|Stein-Leventhal synd.|Sclerocystic Ovary|polycystic ovarian disease|PCO - Polycystic ovaries|PCOS|Ovaries, Sclerocystic|polycystic ovaries|PCOD - Polycystic ovarian disease|Ovarian Syndromes, Polycystic|Stein-Leventhal syndrome|polycystic ovary|Ovary, Sclerocystic|multicystic ovaries|Sclerocystic Ovary Syndrome|Stein Leventhal Syndrome|Polycystic ovarian disease|Ovarian Degeneration, Sclerocystic|PCO1|hyperandrogenemia|PCOS1|polycystic ovary syndrome 1","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000660', 'name': 'EFO_0000660'}}",name_match,Endocrine System|Genetic/Congenital|Reproductive/Breast
post-traumatic_stress_disorder,EFO_0001358,post-traumatic stress disorder,"Posttraumatic stress disorder|post-traumatic stress disorder|POSTTRAUMATIC STRESS DIS|PTSD - Post-traumatic stress disorder|STRESS DIS POST TRAUMATIC|Neuroses, Posttraumatic|Delayed Onset Post-Traumatic Stress Disorder|Stress Disorders, Posttraumatic|Chronic Post-Traumatic Stress Disorder|disorder, post-traumatic stress|Stress Disorders, Post Traumatic|PTSD|DELAYED ONSET POST TRAUMATIC STRESS DIS|Stress Disorder, Post-Traumatic|Post Traumatic Stress Disorders|Acute Post Traumatic Stress Disorder|Neuroses, Post Traumatic|Stress Disorder, Post Traumatic|traumatic neurosis|Acute Post-Traumatic Stress Disorder|Post-Traumatic Stress Disorders|Stress Disorder, Posttraumatic|ACUTE POST TRAUMATIC STRESS DIS|Delayed Onset Post Traumatic Stress Disorder|Posttraumatic Neuroses|Stress Disorders, Post-Traumatic|POSTTRAUMATIC STRESS DISORDERS|Neuroses, Post-Traumatic|post-traumatic stress disease|CHRONIC POST TRAUMATIC STRESS DIS|Post-Traumatic Neurosis|Post-traumatic stress syndrome|Posttraumatic stress disorder (disorder)|Chronic Post Traumatic Stress Disorder|POST TRAUMATIC STRESS DIS|Posttraumatic stress disorder, NOS|Post-Traumatic Neuroses|STRESS DIS POSTTRAUMATIC|combat neurosis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0001358', 'name': 'EFO_0001358'}}",name_match,Nervous System|Psychiatric
pre-eclampsia,EFO_0000668,preeclampsia,"pregnancy associated hypertension|Toxemias, EPH|Toxemias, Pregnancy|hypertension of pregnancy NOS|Toxaemia of pregnancy|PET - Pre-eclamptic toxaemia|gestational hypertension|Pre-Eclampsia|pre-eclamptic toxemia|EPH Gestosis|EPH Toxemia|Pre-eclampsia NOS|Pre-eclampsia NOS (disorder)|Gestosis, EPH|Toxemia of pregnancy, NOS|PREGN TOXEMIAS|Gestosis, Hypertension-Edema-Proteinuria|Gestational hypertension|Pre-eclampsia (disorder)|EPH - Oedema, proteinuria and hypertension of pregnancy|Edema Proteinuria Hypertension Gestosis|PE - Pre-eclampsia|preeclampsia/eclampsia|pregnancy toxaemia|Pregnancy associated hypertension|EPH Complex|Edema-Proteinuria-Hypertension Gestosis|Hypertension Edema Proteinuria Gestosis|Toxemia NOS (disorder)|Hypertension-Edema-Proteinuria Gestosis|hypertension of preg.|Gestosis, Proteinuria-Edema-Hypertension|Toxemia|EPH Toxemias|hypertension induced by pregnancy|Toxemia, EPH|Pre-eclamptic toxaemia|Toxaemia NOS|PET - Pre-eclamptic toxemia|Toxemia NOS|Pre-eclamptic NOS|pregnancy toxemia|Toxemia of pregnancy (disorder)|Proteinuric hypertension of pregnancy|pre-eclampsia|Toxemia, Pregnancy|pre-eclamptic toxaemia|PREECLAMPSIA/ECLAMPSIA|Toxemia of Pregnancy|Pre-eclamptic toxemia|Pre-eclampsia, unspecified|Gestational hypertension (disorder)|Proteinuria Edema Hypertension Gestosis|Proteinuria-Edema-Hypertension Gestosis|Pregnancy-induced hypertension (disorder)|proteinuric hypertension of pregnancy|EPH - Edema, proteinuria and hypertension of pregnancy|Gestosis, Edema-Proteinuria-Hypertension|Pre Eclampsia|Pregnancy Toxemias|Pregnancy Toxemia|Toxaemia of pregnancy, NOS|hypertension of pregnancy NOS (disorder)|preeclampsia|toxemia of pregnancy|toxaemia of pregnancy","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000668', 'name': 'EFO_0000668'}}",synonym_match,Pregnancy/Perinatal|Cardiovascular|Genetic/Congenital
precursor_B_lymphoblastic_lymphoma_leukemia,,,,,no_match,
