disease_id,drug_disease_label
EFO_0009562,polyneuropathy
EFO_0009573,high-risk pregnancy
EFO_0009579,postpartum hemorrhage
EFO_0009582,sprain
EFO_0009602,prostate disease
EFO_0009606,macular degeneration
EFO_0009607,pituitary gland disease
EFO_0009608,stomach disease
EFO_0009609,myocarditis
EFO_0009610,cervical spondylosis
EFO_0009615,ankle fracture
EFO_0009619,neuroma
EFO_0009620,rib fracture
EFO_0009625,facial pain
EFO_0009637,pleural effusion
EFO_0009658,adverse effect
EFO_0009659,aneurysm
EFO_0009660,anus disease
EFO_0009661,bronchitis
EFO_0009662,common wart
EFO_0009663,disease of genitourinary system
EFO_0009676,musculoskeletal system disease
EFO_0009680,pleural empyema
EFO_0009686,respiratory failure
EFO_0009687,somatoform disorder
EFO_0009688,stomatitis
EFO_0009690,urinary system disease
EFO_0009692,voice disorders
EFO_0009708,metastasis
EFO_0009709,metastatic neoplasm
EFO_0009727,shortness of breath
EFO_0009730,polyarticular juvenile idiopathic arthritis
EFO_0009733,psoriasis-related juvenile idiopathic arthritis
EFO_0009760,non-proliferative diabetic retinopathy
EFO_0009780,HER2 negative breast carcinoma
EFO_0009783,carotid atherosclerosis
EFO_0009784,central serous retinopathy
EFO_0009816,perineal laceration during delivery
EFO_0009833,kidney injury
EFO_0009836,bronchoconstriction
EFO_0009840,tachypnea
EFO_0009842,respiratory depression
EFO_0009846,muscle cramp
EFO_0009847,dizziness
EFO_0009851,muscle atrophy
EFO_0009854,treatment resistant depression
EFO_0009855,frontal fibrosing alopecia
EFO_0009856,lichen planopilaris
EFO_0009867,dysphoria
EFO_0009868,sedation
EFO_0009869,xerostomia
EFO_0009870,bone metastasis
EFO_0009878,drug interaction
EFO_0009907,Desmoid-type fibromatosis
EFO_0009909,stage 5 chronic kidney disease
EFO_0009954,post-operative delirium
EFO_0009959,diverticular disease
EFO_0009963,bipolar I disorder
EFO_0009964,bipolar II disorder
EFO_0010072,toothache
EFO_0010134,kidney transplant
EFO_0010269,amenorrhea
EFO_0010282,gastrointestinal disease
EFO_0010445,cocaine use disorder
EFO_0010580,blastic plasmacytoid dendritic cell neoplasm
EFO_0010581,organophosphate poisoning
EFO_0010582,Morton Neuroma
EFO_0010638,atopic asthma
EFO_0010642,Neurodevelopmental disorder
EFO_0010680,hematoma
EFO_0010702,opioid use disorder
EFO_0010726,total joint arthroplasty
EFO_0010822,stenosing tenosynovitis
EFO_0010832,primary central chondrosarcoma
EFO_0010977,macrovascular complications of diabetes
EFO_0011023,concussion
EFO_0011048,dermatological toxicity
EFO_0011057,neurotoxicity
EFO_0011061,toxicity
EFO_0020003,drug toxicity
EFO_0020094,Lambert-Eaton myasthenic syndrome
EFO_0020911,overdose
EFO_0020916,performance enhancing product use
EFO_0020925,angina unstable
EFO_0021505,"diffuse hemispheric glioma, H3 G34-mutant"
EFO_0022597,aging
EFO_0600064,serum lipopolysaccharide activity
EFO_0700100,vascular anomaly
EFO_0700108,non-infectious posterior uveitis
EFO_0801084,cancer pain
EFO_0803321,premature ejaculation
EFO_1000013,Prinzmetal's angina
EFO_1000024,chronic rhinosinusitis
EFO_1000025,cystitis
EFO_1000026,diffuse intrinsic pontine glioma
EFO_1000028,ependymoma
EFO_1000036,lactic acidosis
EFO_1000039,meningeal tuberculosis
EFO_1000042,ovarian clear cell adenocarcinoma
EFO_1000043,ovarian serous cystadenocarcinoma
EFO_1000044,pancreatic adenocarcinoma
EFO_1000045,pancreatic neuroendocrine tumor
EFO_1000049,pulmonary tuberculosis
EFO_1000051,reproductive system neoplasm
EFO_1000052,sex cord-stromal tumor
EFO_1000059,cervical artery dissection
EFO_1000068,Acute Leukemia
EFO_1000069,Adamantinomatous Craniopharyngioma
EFO_1000081,Anal Squamous Cell Carcinoma
EFO_1000088,Appendix Adenocarcinoma
EFO_1000096,Atrophy
EFO_1000097,Atypical Carcinoid Tumor
EFO_1000100,Atypical Lobular Breast Hyperplasia
EFO_1000102,B-Cell Prolymphocytic Leukemia
EFO_1000123,Bile Duct Adenoma
EFO_1000124,Biphasic Mesothelioma
EFO_1000125,Bladder Adenocarcinoma
EFO_1000130,Bladder Squamous Cell Carcinoma
EFO_1000131,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive"
EFO_1000140,Borderline Ovarian Surface Epithelial-Stromal Tumor
EFO_1000142,Brain Stem Glioma
EFO_1000157,Central Nervous System Lymphoma
EFO_1000158,Central Nervous System Neoplasm
EFO_1000162,Cervical Adenosquamous Carcinoma
EFO_1000166,Cervical Intraepithelial Neoplasia Grade 2/3
EFO_1000172,cervical squamous cell carcinoma
EFO_1000179,Chronic Neutrophilic Leukemia
EFO_1000209,Craniopharyngioma
EFO_1000218,Digestive System Carcinoma
EFO_1000231,Endometrial Clear Cell Adenocarcinoma
EFO_1000233,Endometrial Endometrioid Adenocarcinoma
EFO_1000234,Endometrial Hyperplasia without Atypia
EFO_1000235,Endometrial Intraepithelial Neoplasia
EFO_1000236,Endometrial Mucinous Adenocarcinoma
EFO_1000237,Endometrial Polyp
EFO_1000238,Endometrial Serous Adenocarcinoma
EFO_1000242,Endometrial Undifferentiated Carcinoma
EFO_1000249,Extramammary Paget Disease
EFO_1000251,Fallopian Tube Carcinoma
EFO_1000252,Fallopian Tube Carcinosarcoma
EFO_1000253,Fallopian Tube Serous Adenocarcinoma
EFO_1000256,Fibrolamellar Carcinoma
EFO_1000261,Follicular Variant Thyroid Gland Papillary Carcinoma
EFO_1000286,Granulocytic Sarcoma
EFO_1000292,Hepatoblastoma
EFO_1000294,HER2 Positive Breast Carcinoma
EFO_1000307,Invasive Breast Carcinoma
EFO_1000309,Juvenile Myelomonocytic Leukemia
EFO_1000312,Kidney Angiomyolipoma
EFO_1000314,Kidney Medullary Carcinoma
EFO_1000318,Langerhans Cell Histiocytosis
EFO_1000336,Lung Sarcomatoid Carcinoma
EFO_1000344,Major Salivary Gland Carcinoma
EFO_1000350,Malignant Bone Neoplasm
EFO_1000355,Malignant Mesothelioma
EFO_1000357,Malignant Ovarian Brenner Tumor
EFO_1000358,Malignant Ovarian Mixed Epithelial Tumor
EFO_1000359,Malignant Pancreatic Neoplasm
EFO_1000362,Malignant Pleural Neoplasm
EFO_1000384,Mixed Tumor of the Salivary Gland
EFO_1000388,Myelodysplastic/Myeloproliferative Neoplasm
EFO_1000391,Nasal Cavity Polyp
EFO_1000397,Non-Cutaneous Melanoma
EFO_1000403,Ocular Melanoma
EFO_1000407,Olfactory Neuroblastoma
EFO_1000412,Ovarian Carcinosarcoma
EFO_1000419,Ovarian Germ Cell Tumor
EFO_1000431,Ovarian Small Cell Carcinoma
EFO_1000435,Ovarian Transitional Cell Carcinoma
EFO_1000437,Ovarian Yolk Sac Tumor
EFO_1000438,Palmar Fibromatosis
EFO_1000439,Pancreatic Acinar Cell Carcinoma
EFO_1000440,Pancreatic Gastrinoma
EFO_1000441,Pancreatic Glucagonoma
EFO_1000453,Paraganglioma
EFO_1000456,Parathyroid Gland Carcinoma
EFO_1000464,PEComa
EFO_1000465,Penile Carcinoma
EFO_1000466,Penile Fibromatosis
EFO_1000475,Pineoblastoma
EFO_1000478,Pituitary Gland Adenoma
EFO_1000483,Pleural Biphasic Mesothelioma
EFO_1000484,Pleural Epithelioid Mesothelioma
EFO_1000485,Pleural Mesothelioma
EFO_1000489,Poorly Differentiated Thyroid Gland Carcinoma
EFO_1000491,Primary Effusion Lymphoma
EFO_1000494,Primary Peritoneal Serous Adenocarcinoma
EFO_1000499,Prostate Small Cell Carcinoma
EFO_1000508,Renal Cell Carcinoma Associated with Xp11.2 Translocations/TFE3 Gene Fusions
EFO_1000527,Sinonasal Undifferentiated Carcinoma
EFO_1000532,small intestinal adenocarcinoma
EFO_1000546,Spindle Cell Melanoma
EFO_1000550,Splenic Marginal Zone Lymphoma
EFO_1000560,T-Cell Prolymphocytic Leukemia
EFO_1000564,Testicular Choriocarcinoma
EFO_1000565,Testicular Embryonal Carcinoma
EFO_1000574,Testicular Yolk Sac Tumor
EFO_1000575,Therapy-Related Myeloid Neoplasm
EFO_1000576,Thymic Carcinoma
EFO_1000581,Thymoma
EFO_1000592,Thyroid Gland Oncocytic Follicular Carcinoma
EFO_1000595,Thyroid Gland Undifferentiated (Anaplastic) Carcinoma
EFO_1000600,Tracheal Squamous Cell Carcinoma
EFO_1000601,Transitional Cell Carcinoma
EFO_1000603,Unclassified Renal Cell Carcinoma
EFO_1000606,Undifferentiated Pancreatic Carcinoma
EFO_1000613,Uterine Carcinosarcoma
EFO_1000616,Uveal Melanoma
EFO_1000623,Vulvar Lichen Sclerosus
EFO_1000624,Vulvar Squamous Cell Carcinoma
EFO_1000630,marginal zone B-cell lymphoma
EFO_1000632,cerebral palsy
EFO_1000633,adenomatous colon polyp
EFO_1000634,hamartoma
EFO_1000635,hemangioma
EFO_1000636,inflammatory skin disease
EFO_1000637,acute respiratory distress syndrome
EFO_1000642,hemochromatosis
EFO_1000644,newborn respiratory distress syndrome
EFO_1000645,orthostatic intolerance
EFO_1000649,estrogen-receptor positive breast cancer
EFO_1000652,acute pancreatitis
EFO_1000653,sarcopenia
EFO_1000654,childhood cancer
EFO_1000657,rectum cancer
EFO_1000662,acneiform dermatitis
EFO_1000668,allergic contact dermatitis
EFO_1000680,mucous membrane pemphigoid
EFO_1000685,dermatographia
EFO_1000690,epidermolysis bullosa
EFO_1000694,erythema multiforme
EFO_1000702,folliculitis
EFO_1000704,granuloma annulare
EFO_1000706,hand dermatosis
EFO_1000710,hidradenitis suppurativa
EFO_1000720,keratosis
EFO_1000724,lichen disease
EFO_1000726,lichen planus
EFO_1000727,lipodystrophy
EFO_1000729,loiasis
EFO_1000738,necrobiosis lipoidica
EFO_1000747,parapsoriasis
EFO_1000749,pemphigus
EFO_1000760,rosacea
EFO_1000764,seborrheic dermatitis
EFO_1000766,skin atrophy
EFO_1000781,overactive bladder
EFO_1000782,altitude sickness
EFO_1000783,diabetic neuropathy
EFO_1000784,microscopic polyangiitis
EFO_1000785,Sezary's disease
EFO_1000786,"osteoarthritis, hip"
EFO_1000789,"osteoarthritis, hand"
EFO_1000796,adrenal cortex carcinoma
EFO_1000797,adrenal gland hyperfunction
EFO_1000809,anterior ischemic optic neuropathy
EFO_1000811,anterior uveitis
EFO_1000823,aseptic meningitis
EFO_1000824,asphyxia neonatorum
EFO_1000829,bacterial conjunctivitis
EFO_1000831,bacterial meningitis
EFO_1000842,Borrelia infectious disease
EFO_1000843,brachial plexus neuritis
EFO_1000844,brachial plexus neuropathy
EFO_1000845,brain edema
EFO_1000849,bronchial neoplasm
EFO_1000850,burning mouth syndrome
EFO_1000852,carcinoid syndrome
EFO_1000854,causalgia
EFO_1000859,cerebral arterial disease
EFO_1000860,cerebral atherosclerosis
EFO_1000868,chronic inflammatory demyelinating polyradiculoneuropathy
EFO_1000869,chronic interstitial cystitis
EFO_1000877,complex partial epilepsy
EFO_1000879,corneal edema
EFO_1000880,corneal neovascularization
EFO_1000889,"cystic, mucinous, and serous neoplasm"
EFO_1000895,desmoplastic small round cell tumor
EFO_1000896,diabetic angiopathy
EFO_1000899,diastolic heart failure
EFO_1000904,drug-Induced dyskinesia
EFO_1000905,drug-induced hepatitis
EFO_1000906,dry eye syndrome
EFO_1000910,dysplasia of cervix
EFO_1000911,dystocia
EFO_1000924,epilepsia partialis continua
EFO_1000926,Erdheim-Chester disease
EFO_1000931,euthyroid sick syndrome
EFO_1000937,fetal erythroblastosis
EFO_1000941,frozen shoulder
EFO_1000948,gastroparesis
EFO_1000949,gastroschisis
EFO_1000954,habitual abortion
EFO_1000956,hairy cell leukemia
EFO_1000961,Helicobacter pylori infectious disease
EFO_1000965,Henoch-Schoenlein purpura
EFO_1000971,hyperemesis gravidarum
EFO_1000982,inappropriate ADH syndrome
EFO_1000984,inflammatory breast carcinoma
EFO_1000985,intermediate coronary syndrome
EFO_1000986,intermediate uveitis
EFO_1000988,intestinal pseudo-obstruction
EFO_1000994,intracranial vasospasm
EFO_1000997,iritis
EFO_1000999,joint disease
EFO_1001006,Klinefelter's syndrome
EFO_1001010,Landau-Kleffner syndrome
EFO_1001012,leptomeningeal metastasis
EFO_1001013,lethal midline granuloma
EFO_1001017,limited scleroderma
EFO_1001022,low tension glaucoma
EFO_1001028,macular holes
EFO_1001031,malignant hypertension
EFO_1001034,mastitis
EFO_1001050,multiple system atrophy
EFO_1001051,mycosis fungoides
EFO_1001052,myeloid sarcoma
EFO_1001054,myofascial pain syndrome
EFO_1001055,myxedema
EFO_1001060,neovascular glaucoma
EFO_1001062,nodular goiter
EFO_1001065,normal pressure hydrocephalus
EFO_1001069,ocular hypertension
EFO_1001077,orbital plasma cell granuloma
EFO_1001078,orchitis
EFO_1001082,panuveitis
EFO_1001087,parathyroid adenoma
EFO_1001092,patellofemoral pain syndrome
EFO_1001094,penile neoplasm
EFO_1001095,peptic esophagitis
EFO_1001097,periarthritis
EFO_1001100,peritoneal neoplasm
EFO_1001103,persistent fetal circulation syndrome
EFO_1001109,pituitary dwarfism
EFO_1001110,pituitary-dependent Cushing's disease
EFO_1001111,placental site trophoblastic tumor
EFO_1001115,POEMS syndrome
EFO_1001119,posterior uveitis
EFO_1001121,prediabetes syndrome
EFO_1001129,proliferative vitreoretinopathy
EFO_1001132,pseudotumor cerebri
EFO_1001134,pulmonary edema
EFO_1001139,pulpitis
EFO_1001141,pyelonephritis
EFO_1001145,Raynaud disease
EFO_1001146,reflex epilepsy
EFO_1001147,reflex sympathetic dystrophy
EFO_1001148,relapsing polychondritis
EFO_1001150,renal artery obstruction
EFO_1001152,renal osteodystrophy
EFO_1001153,renovascular hypertension
EFO_1001154,retinal artery occlusion
EFO_1001156,retinal vasculitis
EFO_1001157,retinal vein occlusion
EFO_1001158,retinopathy of prematurity
EFO_1001161,rheumatic heart disease
EFO_1001164,SAPHO syndrome
EFO_1001165,Schnitzler syndrome
EFO_1001173,secondary hyperparathyroidism
EFO_1001175,secondary Parkinson disease
EFO_1001176,sensorineural hearing loss
EFO_1001178,shoulder impingement syndrome
EFO_1001187,somatostatinoma
EFO_1001194,subacute thyroiditis
EFO_1001205,sympathetic ophthalmia
EFO_1001207,systolic heart failure
EFO_1001209,temporal arteritis
EFO_1001210,tethered spinal cord syndrome
EFO_1001214,tonsil cancer
EFO_1001216,tooth disease
EFO_1001219,trigeminal neuralgia
EFO_1001222,type III hypersensitivity reaction disease
EFO_1001226,uremia
EFO_1001228,ureterolithiasis
EFO_1001231,uveitis
EFO_1001235,Vibrio infectious disease
EFO_1001248,non-alcoholic fatty liver
EFO_1001249,non-alcoholic steatohepatitis
EFO_1001250,rotator cuff tear
EFO_1001254,noise-induced hearing loss
EFO_1001255,spontaneous abortion
EFO_1001256,"ACTH Syndrome, Ectopic"
EFO_1001257,acute erythroblastic leukemia
EFO_1001264,"Anemia, Hemolytic, Autoimmune"
EFO_1001267,Aortic Coarctation
EFO_1001271,Atrophic Vaginitis
EFO_1001272,bacterial pneumonia
EFO_1001282,Candidemia
EFO_1001293,collagenous colitis
EFO_1001294,lymphocytic colitis
EFO_1001295,microscopic colitis
EFO_1001302,Cytomegalovirus Retinitis
EFO_1001305,"Dermatitis, Perioral"
EFO_1001307,dumping syndrome
EFO_1001328,fluoride poisoning
EFO_1001330,Foster-Kennedy syndrome
EFO_1001331,"Genital neoplasm, female"
EFO_1001332,Giant Lymph Node Hyperplasia
EFO_1001340,Heat Stroke
EFO_1001343,"Hemangioma, Cavernous, Central Nervous System"
EFO_1001345,"Hepatitis, Alcoholic"
EFO_1001346,Hepatopulmonary Syndrome
EFO_1001347,Herpes Labialis
EFO_1001348,HIV-Associated Lipodystrophy Syndrome
EFO_1001355,Laryngopharyngeal Reflux
EFO_1001361,localised scleroderma
EFO_1001365,"Lymphoma, AIDS-Related"
EFO_1001366,mastodynia
EFO_1001373,Multiple Organ Failure
EFO_1001375,Myocardial Ischemia
EFO_1001378,neurogenic arthropathy
EFO_1001380,Niemann-Pick disease
EFO_1001383,Opsoclonus-Myoclonus Syndrome
EFO_1001388,Pelvic Inflammatory Disease
EFO_1001395,Phlebitis
EFO_1001399,"Pneumonia, Aspiration"
EFO_1001402,postencephalitic Parkinson disease
EFO_1001404,Postpericardiotomy Syndrome
EFO_1001412,renal colic
EFO_1001413,Respiratory Syncytial Virus Infection
EFO_1001417,"Rhinitis, Allergic, Perennial"
EFO_1001434,Tendinopathy
EFO_1001435,tenosynovitis
EFO_1001444,Tularemia
EFO_1001450,Wolff-Parkinson-White Syndrome
EFO_1001454,amnesia
EFO_1001458,diabetic cardiomyopathy
EFO_1001459,diabetic foot
EFO_1001461,endothelial dysfunction
EFO_1001463,gastroenteritis
EFO_1001465,gliosarcoma
EFO_1001466,Graves ophthalmopathy
EFO_1001467,Hypereosinophilic syndrome
EFO_1001469,Mantle cell lymphoma
EFO_1001471,Merkel cell skin cancer
EFO_1001476,streptococcal infection
EFO_1001478,systemic inflammatory response syndrome
EFO_1001479,Tumor Lysis Syndrome
EFO_1001480,metastatic colorectal cancer
EFO_1001482,cardiotoxicity
EFO_1001484,pain agnosia
EFO_1001485,acromegaly
EFO_1001486,primary biliary cirrhosis
EFO_1001488,influenza A (H1N1)
EFO_1001491,abortion
EFO_1001492,atrophic macular degeneration
EFO_1001494,psoriasis vulgaris
EFO_1001496,Autosomal dominant polycystic kidney disease
EFO_1001511,monogenic diabetes
EFO_1001512,endometrial carcinoma
EFO_1001513,liver neoplasm
EFO_1001757,Adenomyosis
EFO_1001762,autonomic dysreflexia
EFO_1001767,brain stem neoplasm
EFO_1001769,carcinoid heart disease
EFO_1001779,chronic myelomonocytic leukemia
EFO_1001782,dental pulp exposure
EFO_1001788,Eye Burns
EFO_1001792,femoral neck fracture
EFO_1001799,incomplete abortion
EFO_1001800,Intervertebral Disc Displacement
EFO_1001801,intracranial subdural hematoma
EFO_1001806,macrophage activation syndrome
EFO_1001814,nephrogenic fibrosing dermopathy
EFO_1001818,oral submucous fibrosis
EFO_1001827,post-concussion syndrome
EFO_1001830,precursor T-cell lymphoblastic leukemia-lymphoma
EFO_1001857,Takayasu arteritis
EFO_1001865,ventilator-associated pneumonia
EFO_1001866,ventral hernia
EFO_1001872,agoraphobia
EFO_1001875,amyloidosis
EFO_1001881,cold urticaria
EFO_1001884,dental phobia
EFO_1001887,epicondylitis
EFO_1001888,eye infection
EFO_1001890,food allergy
EFO_1001892,generalized anxiety disorder
EFO_1001893,Hand-foot syndrome
EFO_1001896,lateral epicondylitis
EFO_1001898,mucositis
EFO_1001901,neuroendocrine neoplasm
EFO_1001904,oral mucositis
EFO_1001905,oxidative stress
EFO_1001909,Plantar Fasciitis
EFO_1001914,radiation-induced gastrointestinal mucositis
EFO_1001916,separation anxiety disorder
EFO_1001917,social anxiety disorder
EFO_1001918,specific phobia
EFO_1001919,Spinal cord injury
EFO_1001923,varicose ulcer
EFO_1001927,cutaneous squamous cell carcinoma
EFO_1001931,oropharynx cancer
EFO_1001932,adult acute megakaryoblastic leukemia
EFO_1001933,adult acute monocytic leukemia
EFO_1001934,adult acute myeloid leukemia
EFO_1001935,adult B acute lymphoblastic leukemia
EFO_1001936,adult T acute lymphoblastic leukemia
EFO_1001938,B-cell non-Hodgkins lymphoma
EFO_1001942,bronchogenic carcinoma
EFO_1001945,childhood acute myeloid leukemia with maturation
EFO_1001946,childhood B acute lymphoblastic leukemia
EFO_1001947,childhood T acute lymphoblastic leukemia
EFO_1001949,colon adenocarcinoma
EFO_1001950,colon carcinoma
EFO_1001951,colorectal carcinoma
EFO_1001952,endometrial adenosquamous carcinoma
EFO_1001953,"endometrial endometrioid adenocarcinoma, variant with squamous differentiation"
EFO_1001956,gallbladder carcinoma
EFO_1001958,high grade ovarian serous adenocarcinoma
EFO_1001959,hilar cholangiocarcinoma
EFO_1001960,hypopharyngeal squamous cell carcinoma
EFO_1001961,intrahepatic cholangiocarcinoma
EFO_1001963,ovarian mucinous cystadenocarcinoma
EFO_1001965,pharyngeal squamous cell carcinoma
EFO_1001967,salivary gland squamous cell carcinoma
EFO_1001968,soft tissue sarcoma
EFO_1001972,undifferentiated pleomorphic sarcoma
EFO_1001973,ureter urothelial carcinoma
EFO_1001974,uterine leiomyosarcoma
EFO_1001984,cardiac amyloidosis
EFO_1001986,connective tissue disease
EFO_1001993,scleroderma
EFO_1001996,Thalassemia
EFO_1001998,complex regional pain syndrome
EFO_1001999,systemic juvenile idiopathic arthritis
EFO_1002000,Takotsubo cardiomyopathy
EFO_1002001,core binding factor acute myeloid leukemia
EFO_1002002,high altitude pulmonary edema
EFO_1002005,lumbar disc herniation
EFO_1002008,atypical teratoid rhabdoid tumor
EFO_1002009,macular telangiectasia type 2
EFO_1002012,ligament rupture
EFO_1002014,melancholia
EFO_1002015,HPV-associated cervical carcinoma
EFO_1002017,differentiated thyroid carcinoma
EFO_1002022,Herpes simplex infection
EFO_1002023,plantar wart
EFO_1002027,osteomalacia
EFO_1002028,cicatricial alopecia
EFO_1002029,chronic rhinosinusitis with nasal polyps
EFO_1002030,chronic rhinosinusitis without nasal polyps
EFO_1002047,spotted fever
EFO_1002048,kidney failure
GO_0006629,lipid metabolic process
GO_0007596,blood coagulation
GO_0007613,memory
GO_0030728,ovulation
GO_0035176,social behavior
GO_0035483,gastric emptying
GO_0042060,wound healing
GO_0042697,menopause
GO_0045087,innate immune response
GO_0045453,bone resorption
GO_0050892,intestinal absorption
GO_0060279,positive regulation of ovulation
GO_0070527,platelet aggregation
HP_0000011,Neurogenic bladder
HP_0000016,Urinary retention
HP_0000020,Urinary incontinence
HP_0000023,Inguinal hernia
HP_0000044,Hypogonadotropic hypogonadism
HP_0000083,Renal insufficiency
HP_0000093,Proteinuria
HP_0000103,Polyuria
HP_0000130,Abnormality of the uterus
HP_0000131,Uterine leiomyoma
HP_0000132,Menorrhagia
HP_0000138,Ovarian cyst
HP_0000155,Oral ulcer
HP_0000175,Cleft palate
HP_0000303,Mandibular prognathia
HP_0000360,Tinnitus
HP_0000458,Anosmia
HP_0000473,Torticollis
HP_0000479,Abnormal retinal morphology
HP_0000486,Strabismus
HP_0000545,Myopia
HP_0000556,Retinal dystrophy
HP_0000559,Corneal scarring
HP_0000565,Esotropia
HP_0000573,Retinal hemorrhage
HP_0000580,Pigmentary retinopathy
HP_0000616,Miosis
HP_0000618,Blindness
HP_0000689,Dental malocclusion
HP_0000713,Agitation
HP_0000726,Dementia
HP_0000738,Hallucinations
HP_0000741,Apathy
HP_0000771,Gynecomastia
HP_0000786,Primary amenorrhea
HP_0000802,Impotence
HP_0000820,Abnormality of the thyroid gland
HP_0000842,Hyperinsulinemia
HP_0000863,Central diabetes insipidus
HP_0000938,Osteopenia
HP_0000951,Abnormality of the skin
HP_0000952,Jaundice
HP_0000964,Eczematoid dermatitis
HP_0000969,Edema
HP_0000975,Hyperhidrosis
HP_0000989,Pruritus
HP_0000992,Cutaneous photosensitivity
HP_0000999,Pyoderma
HP_0001065,Striae distensae
HP_0001082,Cholecystitis
HP_0001094,Iridocyclitis
HP_0001249,Intellectual disability
HP_0001250,Seizure
HP_0001257,Spasticity
HP_0001258,Spastic paraplegia
HP_0001268,Mental deterioration
HP_0001279,Syncope
HP_0001298,Encephalopathy
HP_0001300,Parkinsonism
HP_0001324,Muscle weakness
HP_0001337,Tremor
HP_0001397,Hepatic steatosis
HP_0001399,Hepatic failure
HP_0001410,Decreased liver function
HP_0001507,Growth abnormality
HP_0001510,Growth delay
HP_0001518,Small for gestational age
HP_0001537,Umbilical hernia
HP_0001541,Ascites
HP_0001600,Abnormality of the larynx
HP_0001605,Vocal cord paralysis
HP_0001623,Breech presentation
HP_0001626,Abnormality of the cardiovascular system
HP_0001636,Tetralogy of Fallot
HP_0001643,Patent ductus arteriosus
HP_0001647,Bicuspid aortic valve
HP_0001649,Tachycardia
HP_0001650,Aortic valve stenosis
HP_0001653,Mitral regurgitation
HP_0001655,Patent foramen ovale
HP_0001662,Bradycardia
HP_0001742,Nasal congestion
HP_0001788,Premature rupture of membranes
HP_0001822,Hallux valgus
HP_0001824,Weight loss
HP_0001871,Abnormality of blood and blood-forming tissues
HP_0001873,Thrombocytopenia
HP_0001880,Increased total eosinophil count
HP_0001891,Iron deficiency anemia
HP_0001907,Thromboembolism
HP_0001915,Aplastic anemia
HP_0001919,Acute kidney injury
HP_0001943,Hypoglycemia
HP_0001945,Fever
HP_0001952,Glucose intolerance
HP_0001959,Polydipsia
HP_0002013,Vomiting
HP_0002014,Diarrhea
HP_0002015,Dysphagia
HP_0002017,Nausea and vomiting
HP_0002018,Nausea
HP_0002019,Constipation
HP_0002024,Malabsorption
HP_0002027,Abdominal pain
HP_0002039,Anorexia
HP_0002063,Rigidity
HP_0002069,Bilateral tonic-clonic seizure
HP_0002093,Respiratory insufficiency
HP_0002094,Dyspnea
HP_0002104,Apnea
HP_0002105,Hemoptysis
HP_0002110,Bronchiectasis
HP_0002121,Generalized non-motor (absence) seizure
HP_0002140,Ischemic stroke
HP_0002148,Hypophosphatemia
HP_0002196,Myelopathy
HP_0002239,Gastrointestinal hemorrhage
HP_0002243,Protein-losing enteropathy
HP_0002253,Colonic diverticula
HP_0002307,Drooling
HP_0002315,Headache
HP_0002321,Vertigo
HP_0002381,Aphasia
HP_0002571,Achalasia
HP_0002576,Intussusception
HP_0002647,Aortic dissection
HP_0002653,Bone pain
HP_0002721,Immunodeficiency
HP_0002745,Oral leukoplakia
HP_0002829,Arthralgia
HP_0002901,Hypocalcemia
HP_0002902,Hyponatremia
HP_0002910,Elevated circulating hepatic transaminase concentration
HP_0003040,Arthropathy
HP_0003072,Hypercalcemia
HP_0003073,Hypoalbuminemia
HP_0003074,Hyperglycemia
HP_0003119,Abnormal circulating lipid concentration
HP_0003124,Hypercholesterolemia
HP_0003326,Myalgia
HP_0003394,Muscle spasm
HP_0003418,Back pain
HP_0003419,Low back pain
HP_0003470,Paralysis
HP_0003510,Severe short stature
HP_0003549,Abnormality of connective tissue
HP_0004308,Ventricular arrhythmia
HP_0004322,Short stature
HP_0004326,Cachexia
HP_0004372,Reduced consciousness
HP_0004398,Peptic ulcer
HP_0004418,Thrombophlebitis
HP_0004419,Recurrent thrombophlebitis
HP_0004755,Supraventricular tachycardia
HP_0004798,Recurrent infection of the gastrointestinal tract
HP_0004936,Venous thrombosis
HP_0005184,Prolonged QTc interval
HP_0005268,Miscarriage
HP_0005521,Disseminated intravascular coagulation
HP_0006536,Airway obstruction
HP_0006986,Upper limb spasticity
HP_0007141,Sensorimotor neuropathy
HP_0007359,Focal-onset seizure
HP_0008209,Premature ovarian insufficiency
HP_0008419,Intervertebral disk degeneration
HP_0009588,Vestibular schwannoma
HP_0009720,Adenoma sebaceum
HP_0009762,Facial wrinkling
HP_0009926,Epiphora
HP_0010307,Stridor
HP_0010783,Erythema
HP_0010865,Oppositional defiant disorder
HP_0010992,Stress urinary incontinence
HP_0011015,Abnormal blood glucose concentration
HP_0011096,Peripheral demyelination
HP_0011097,Epileptic spasm
HP_0011110,Recurrent tonsillitis
HP_0011277,Abnormality of the urinary system physiology
HP_0011499,Mydriasis
HP_0011736,Primary hyperaldosteronism
HP_0011868,Sciatica
HP_0011900,Hypofibrinogenemia
HP_0011950,Bronchiolitis
HP_0011974,Myelofibrosis
HP_0012042,Aspirin-induced asthma
HP_0012076,Borderline personality disorder
HP_0012115,Hepatitis
HP_0012167,Hair-pulling
HP_0012227,Urethral stricture
HP_0012228,Tension-type headache
HP_0012378,Fatigue
HP_0012390,Anal fissure
HP_0012424,Chorioretinitis
HP_0012450,Chronic constipation
HP_0012532,Chronic pain
HP_0012594,Moderate albuminuria
HP_0012664,Reduced left ventricular ejection fraction
HP_0012668,Vasovagal syncope
HP_0012735,Cough
