creeds_disease,disease_id,disease_name,drug_disease_match_id,drug_match_method,therapeutic_areas,primary_therapeutic_area
osteoporosis,EFO_0003882,osteoporosis,EFO_0003882,id_match,Musculoskeletal|Genetic/Congenital,Musculoskeletal
ovarian_cancer,MONDO_0008170,ovarian cancer,MONDO_0008170,id_match,Cancer/Tumor|Endocrine System|Reproductive/Breast,Cancer/Tumor
pancreatic_cancer,EFO_1000359,Malignant Pancreatic Neoplasm,EFO_1000359,id_match,Endocrine System|Gastrointestinal|Cancer/Tumor|Pancreas,Endocrine System
pancreatic_ductal_adenocarcinoma,MONDO_0005184,pancreatic ductal adenocarcinoma,MONDO_0005184,id_match,Pancreas|Cancer/Tumor|Endocrine System|Gastrointestinal,Pancreas
papillary_thyroid_carcinoma,EFO_0000641,papillary thyroid carcinoma,EFO_0000641,id_match,Endocrine System|Cancer/Tumor,Endocrine System
peripartum_cardiomyopathy,EFO_0002628,peripartum cardiomyopathy,EFO_0002628,id_match,Cardiovascular|Musculoskeletal|Pregnancy/Perinatal,Cardiovascular
polycystic_ovary_syndrome,EFO_0000660,polycystic ovary syndrome,EFO_0000660,id_match,Endocrine System|Genetic/Congenital|Reproductive/Breast,Endocrine System
post-traumatic_stress_disorder,EFO_0001358,post-traumatic stress disorder,EFO_0001358,id_match,Nervous System|Psychiatric,Nervous System
pre-eclampsia,EFO_0000668,preeclampsia,EFO_0000668,id_match,Pregnancy/Perinatal|Cardiovascular|Genetic/Congenital,Pregnancy/Perinatal
primary_open_angle_glaucoma,EFO_0004190,open-angle glaucoma,EFO_0004190,id_match,Visual System,Visual System
prostate_cancer,MONDO_0008315,prostate cancer,MONDO_0008315,id_match,Reproductive/Breast|Cancer/Tumor,Reproductive/Breast
psoriasis,EFO_0000676,psoriasis,EFO_0000676,id_match,Immune System|Genetic/Congenital|Skin/Integumentary,Immune System
psoriatic_arthritis,EFO_0003778,psoriatic arthritis,EFO_0003778,id_match,Immune System|Musculoskeletal,Immune System
pulmonary_fibrosis,EFO_0009448,pulmonary fibrosis,EFO_0009448,id_match,Cancer/Tumor|Respiratory,Cancer/Tumor
pulmonary_hypertension,MONDO_0005149,pulmonary hypertension,MONDO_0005149,id_match,Cardiovascular,Cardiovascular
pulmonary_sarcoidosis,DOID_13406,pulmonary sarcoidosis,DOID_13406,id_match,Musculoskeletal|Respiratory,Musculoskeletal
relapsing-remitting_multiple_sclerosis,EFO_0003929,relapsing-remitting multiple sclerosis,EFO_0003929,id_match,Nervous System|Immune System,Nervous System
renal_cell_carcinoma,EFO_0000681,renal cell carcinoma,EFO_0000681,id_match,Urinary System|Cancer/Tumor,Urinary System
rheumatoid_arthritis,EFO_0000685,rheumatoid arthritis,EFO_0000685,id_match,Immune System|Musculoskeletal,Immune System
salivary_gland_adenoid_cystic_carcinoma,MONDO_0003175,salivary gland adenoid cystic carcinoma,MONDO_0003175,id_match,Cancer/Tumor|Gastrointestinal,Cancer/Tumor
sarcoidosis,MONDO_0019338,sarcoidosis,MONDO_0019338,id_match,Musculoskeletal,Musculoskeletal
scleroderma,EFO_1001993,scleroderma,EFO_1001993,id_match,Musculoskeletal|Immune System|Visual System|Genetic/Congenital,Musculoskeletal
serous_cystadenocarcinoma,MONDO_0024621,serous cystadenocarcinoma,EFO_0003825,synonym_match,Cancer/Tumor,Cancer/Tumor
severe_acute_respiratory_syndrome,EFO_0000694,severe acute respiratory syndrome,EFO_0000694,id_match,Infectious Disease|Respiratory,Infectious Disease
sickle_cell_anemia,MONDO_0011382,sickle cell anemia,MONDO_0011382,id_match,Hematologic|Genetic/Congenital,Hematologic
skin_squamous_cell_carcinoma,MONDO_0002529,skin squamous cell carcinoma,MONDO_0002529,id_match,Cancer/Tumor|Skin/Integumentary,Cancer/Tumor
smoldering_myeloma,EFO_0003073,asymptomatic myeloma,EFO_0003073,id_match,Immune System|Hematologic|Cancer/Tumor|Genetic/Congenital,Immune System
stomach_cancer,EFO_0003897,stomach neoplasm,EFO_0003897,id_match,Cancer/Tumor|Gastrointestinal,Cancer/Tumor
swine_influenza,EFO_0005226,swine influenza,EFO_0005226,id_match,Respiratory|Infectious Disease,Respiratory
systemic_lupus_erythematosus,MONDO_0007915,systemic lupus erythematosus,MONDO_0007915,id_match,Musculoskeletal|Immune System|Urinary System,Musculoskeletal
tendinitis,MONDO_0004857,tendinitis,MONDO_0004857,id_match,Immune System|Musculoskeletal,Immune System
testicular_cancer,EFO_0005088,testicular carcinoma,EFO_0005088,id_match,Cancer/Tumor|Endocrine System|Reproductive/Breast,Cancer/Tumor
tuberculosis,MONDO_0018076,tuberculosis,MONDO_0018076,id_match,Infectious Disease,Infectious Disease
type_1_diabetes_mellitus,MONDO_0005147,type 1 diabetes mellitus,MONDO_0005147,id_match,Pancreas|Endocrine System|Gastrointestinal|Immune System|Metabolic,Pancreas
type_2_diabetes_mellitus,MONDO_0005148,type 2 diabetes mellitus,MONDO_0005148,id_match,Pancreas|Endocrine System|Metabolic,Pancreas
ulcerative_colitis,EFO_0000729,ulcerative colitis,EFO_0000729,id_match,Gastrointestinal|Genetic/Congenital|Immune System,Gastrointestinal
urticaria,EFO_0005531,urticaria,EFO_0005531,id_match,Skin/Integumentary,Skin/Integumentary
uterine_fibroid,EFO_0000731,uterine fibroid,EFO_0000731,id_match,Genetic/Congenital|Musculoskeletal|Reproductive/Breast|Cancer/Tumor,Genetic/Congenital
