gene_symbol,adj.P.Val,logfc_dz
BBS7,4.86214703773074e-19,1.32166130072177
ACOT13,1.10820925121125e-16,1.32072779774196
BORCS7,6.39028518980709e-14,1.32039385142284
MSH2,3.85803748078155e-10,1.31871610218769
CHMP2B,8.91576612575665e-17,1.31658841235756
CDO1,1.62417364359209e-12,1.31565319007709
GTF2H3,3.61086605948344e-19,1.31521066098224
ENPP5,1.31587302517211e-16,1.31325691161813
ZNF140,7.82011240822236e-10,1.31319122823613
ZNF281,1.48215402434275e-17,1.31094097962651
BUB1B,1.12710015753533e-05,1.3105359021794
PLEKHG1,2.91718222801323e-11,1.31050276967285
TRIM6,5.26148814756096e-13,1.3097429399571
GMCL1,3.21893070494444e-17,1.30867726393364
KIF4A,3.84040487392598e-08,1.30795012088234
TBPL1,6.33712571506689e-14,1.30617508741936
IFI44L,3.40786719293548e-08,1.30524661340905
KIF23,1.73141556321896e-06,1.30485255350583
FAM13B,3.0471396965792e-11,1.30448692411485
CETN3,2.13873079468051e-13,1.3041387364774
UBLCP1,1.31252784503922e-12,1.30287273447825
LRIF1,6.15414770855812e-13,1.30227126713552
B3GALNT1,9.59576609242562e-15,1.30193064553794
IFIH1,3.26653924410036e-12,1.30187225905042
HAT1,9.1916385349392e-12,1.29993387521701
FAHD1,2.30388536109803e-16,1.29978857062887
TRIM59,1.19604662146602e-13,1.2993232339487
ZBED8,2.13265369464725e-13,1.29766061118292
LY75,3.7392161318388e-09,1.29728700401052
ANKRD29,4.80056089982466e-09,1.29587038593152
EIF3F,9.02872041540969e-18,1.29419851438972
PLK2,2.55664455475157e-09,1.29266242141395
CNOT7,9.29091955697653e-18,1.29248146655896
KIF21A,1.64843565845713e-12,1.291331513505
FAIM,2.28059261452106e-11,1.29128196338946
UBXN8,2.24248921431336e-17,1.29068179084878
GIMAP2,9.84168113072869e-14,1.28824467117607
ATL1,5.51431985767448e-16,1.28662967323224
RFC4,9.9001026674858e-10,1.28470859636865
NUDT15,6.76843337123336e-17,1.28430739384933
ZNF823,2.78720081394625e-15,1.28407180593374
KIF14,2.408859528004e-10,1.28242962990199
ARMCX5,2.22962542007654e-14,1.2817957795539
VRK1,1.69897799297696e-11,1.2802026998376
PPIL4,3.36646621234584e-10,1.27981809825753
PHYH,1.62546675899327e-16,1.27879738234302
TAF1D,8.96673120277145e-11,1.2787839667084
DDX60,1.65957343978544e-10,1.27785129063011
OXR1,1.01122663839181e-12,1.27614230311188
OBI1,8.30045323979052e-15,1.2761013476371
CENPW,7.21132696883989e-10,1.27560279155969
ZNF367,2.03937851666497e-06,1.27527038242284
RUBCNL,3.52821785596698e-12,1.27275416104951
CRACD,4.74888388634069e-11,1.27252637590659
PRC1,4.14099914976046e-06,1.27088621849939
C9orf64,1.87768465234869e-17,1.27022804577945
TUBE1,6.04971564024291e-10,1.26917887458937
TSNAX,2.29372609582644e-12,1.26690667537419
DKK3,6.628123788559e-06,1.26621734364074
PPWD1,9.72193615848628e-09,1.26613652618984
ZNF260,8.05222171363212e-16,1.2654662919436
DARS1,8.84749382936487e-13,1.26509906149095
MLLT3,3.03521892761169e-18,1.26424217073142
TTC30B,7.4263858212951e-23,1.26246004827714
SLC25A32,6.97747717800367e-13,1.26143433861125
HPS5,2.90836738465094e-11,1.26063903348714
SKA1,5.9229511646858e-10,1.25944176679623
MGME1,5.29328344103378e-12,1.25784006784204
LOC100505851,1.5223563176552e-08,1.25774423611694
P2RY14,2.75943529353606e-07,1.25684575532066
MSMO1,3.29513743508182e-10,1.25599683352324
POGLUT1,1.95277828678887e-16,1.25592634567673
PABPC4L,4.08728335424157e-07,1.25583412039576
CNTN3,3.11194905864289e-08,1.25572342519761
RAI14,1.18027379278852e-06,1.25516854344539
EIF2AK3,4.17524764270221e-11,1.25374423345679
ZCRB1,2.68071617312675e-17,1.25280969408351
DDX60L,1.4624714131755e-12,1.25273826807483
RLF,6.76393432058363e-19,1.25237371860358
TBC1D31,5.19455933058874e-17,1.25217623743018
EOGT,1.57237836271848e-09,1.25168264142643
GSPT2,1.84959615149425e-14,1.25146623611041
CEP57,2.19144559480805e-14,1.25079717999698
ELOVL6,5.823488336692e-18,1.25079583003459
DNAJB6,1.32707244693109e-16,1.2505957021763
NUCB2,2.52012502791281e-13,1.25007576817169
