gene_symbol,logfc_dz,mean_logfc,median_logfc,P.Value,adj.P.Val,AveExpr,t,B,probe.id,signature_type
CTF1,1.19412526947233,1.19412526947233,1.19412526947233,1.69215860577654e-07,7.34368154252685e-06,7.30158249466269,-6.49292861280908,7.26227188016951,1489_at,UP
UBALD1,1.18994467084643,1.18994467084643,1.18994467084643,5.05430929678796e-08,3.96676136534117e-06,8.23092834377953,-6.89496045616853,8.43221707696101,124402_at,UP
SSC4D,1.18946650178709,1.18946650178709,1.18946650178709,4.8180443738567e-07,1.27675059449005e-05,7.05969362030396,-6.14742578065593,6.24910310407595,136853_at,UP
FCGBP,1.18742395872093,1.18742395872093,1.18742395872093,0.0075554326215599,0.0133533634012109,7.84358521903813,-2.83428197430789,-2.96450318436249,8857_at,UP
EML3,1.18702128378382,1.18702128378382,1.18702128378382,1.76900481753676e-08,2.07064541042417e-06,8.43000972641089,-7.24776551799004,9.44813713403587,256364_at,UP
PLVAP,1.18369818323875,1.18369818323875,1.18369818323875,1.75221440493221e-05,0.0001181049459043,7.84117264366434,-4.96601618226629,2.77652384700791,83483_at,UP
LRRC32,1.17977096683104,1.17977096683104,1.17977096683104,0.0013857270910555,0.0032131801826104,7.58745796534123,-3.47194999419423,-1.39093541706495,2615_at,UP
LOC105376287,1.17943604577702,1.17943604577702,1.17943604577702,1.09559127688364e-07,5.90717911987528e-06,7.23460205187263,-6.63712855573149,7.68320732303255,105376287_at,UP
GPBAR1,1.1770293427644,1.1770293427644,1.1770293427644,1.7615448568133e-05,0.0001185301579004,7.90455596769803,-4.9642611181757,2.77140884460117,151306_at,UP
NR1D1,1.17670775784694,1.17670775784694,1.17670775784694,2.15422860937337e-08,2.34641951912781e-06,8.77158591985948,-7.18127151747472,9.25754175141018,9572_at,UP
PPT2,1.17626556169021,1.17626556169021,1.17626556169021,9.27864773298774e-08,5.36501550090468e-06,8.31991026698597,-6.69236935731541,7.84409695747369,9374_at,UP
LINC00957,1.17545654374331,1.17545654374331,1.17545654374331,2.60001536638605e-09,7.60838782357885e-07,9.08236183507512,-7.9029279521439,11.3011316733737,255031_at,UP
HNRNPCL1,1.17542966972436,1.17542966972436,1.17542966972436,5.82786109128281e-06,5.77541879989536e-05,7.78942135500434,-5.32862525504586,3.83817226507318,343069_at,UP
IL17C,1.17533442811061,1.17533442811061,1.17533442811061,5.40109749315123e-07,1.35456063287487e-05,7.50533408253962,-6.10981619384472,6.13851066274047,27189_at,UP
PRF1,1.17455327385004,1.17455327385004,1.17455327385004,0.0042883727895379,0.0082350265511292,9.22893437854075,-3.05349916641309,-2.44368717353856,5551_at,UP
TLE2,1.17125342706535,1.17125342706535,1.17125342706535,6.89999559287485e-05,0.0003153491961723,8.55324328839952,-4.51011315813377,1.45929779831318,7089_at,UP
STRN4,1.1701730801126,1.1701730801126,1.1701730801126,8.07031030665259e-07,1.69203926634055e-05,8.10208452262101,-5.97772849259182,5.74977453595708,29888_at,UP
HDAC7,1.1673194954999,1.1673194954999,1.1673194954999,9.207202756694641e-09,1.39017419023443e-06,8.78168165071535,-7.46919408907326,10.0796335576938,51564_at,UP
CENPB,1.16548096879466,1.16548096879466,1.16548096879466,5.25867103372982e-05,0.0002603156535885,8.36542912874531,-4.60102755605355,1.71983969401145,1059_at,UP
MDFI,1.16416774747419,1.16416774747419,1.16416774747419,5.4977318989459e-07,1.36278413505222e-05,6.31450480634641,-6.10397933959921,6.12134303996327,4188_at,UP
RHOB,1.16252561048632,1.16252561048632,1.16252561048632,0.0013790273933208,0.0031998184328029,9.57888524317836,-3.47370120186786,-1.38638647741541,388_at,UP
SLCO4A1,1.16202893341797,1.16202893341797,1.16202893341797,0.0001935146401817,0.000683440325773,9.65306632369655,-4.1614217203528,0.473154082690877,28231_at,UP
STING1,1.16130316523625,1.16130316523625,1.16130316523625,4.80039842678938e-07,1.27474969767222e-05,8.5079847059674,-6.14863409898305,6.25265542001032,340061_at,UP
CCDC92B,1.16113811888882,1.16113811888882,1.16113811888882,1.6805055226943e-07,7.3196860815992e-06,6.87747700563442,-6.49521746487473,7.26896337910898,101928991_at,UP
SERINC2,1.16076430660164,1.16076430660164,1.16076430660164,8.35727176438098e-07,1.72169387375148e-05,9.64185740451908,-5.96624458677545,5.71595721315142,347735_at,UP
PTMS,1.16027872220908,1.16027872220908,1.16027872220908,1.34330125420832e-07,6.500976797716e-06,8.78681015198846,-6.56945767072023,7.48583342932322,5763_at,UP
WFDC1,1.15971228628861,1.15971228628861,1.15971228628861,0.0014459462858988,0.0033290731392999,8.01950177860299,-3.45656506346551,-1.43085206789895,58189_at,UP
MUC8,1.15874820899341,1.15874820899341,1.15874820899341,2.4504086424972e-07,8.84630675458244e-06,8.85209030703903,-6.37044179783466,6.903748265127,100129528_at,UP
