"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"65983_at",1.12897731613572,8.63876262852658,5.18991901069699,4.14971172338964e-06,8.48414960993246e-06,3.79929769237287,"65983_at","GRAMD2B"
"64847_at",-1.12893037742385,10.0710447696573,-6.75372918505775,1.70415539937752e-08,6.46802282765411e-08,9.19118172192801,"64847_at","SPATA20"
"2339_at",1.12881962708186,9.56045736732635,6.94871706691724,8.53995440016405e-09,3.59277933729637e-08,9.87208884171678,"2339_at","FNTA"
"115908_at",1.12880900577538,9.56620192318387,4.37839525017585,6.39003773356813e-05,0.000105960926847251,1.14505420424487,"115908_at","CTHRC1"
"51122_at",1.12879281624216,7.52030454117938,8.97139455218887,7.38127718420019e-12,1.26525591498876e-10,16.8373581959777,"51122_at","COMMD2"
"58533_at",1.12872346302113,9.38478297866989,6.98223543370294,7.58404820740946e-09,3.25343755980262e-08,9.98912250434295,"58533_at","SNX6"
"23253_at",1.12855464143882,6.86242868119406,7.12400705180232,4.59162580517663e-09,2.12793807677009e-08,10.4839780284503,"23253_at","ANKRD12"
"26175_at",1.12847792301436,8.79857766688739,7.67593216737432,6.5559547566516e-10,4.24035924329812e-09,12.4049637409693,"26175_at","TMEM251"
"27132_at",-1.12846654475983,6.68657786155535,-10.679827371687,2.54873147789237e-14,2.1844441670773e-12,22.4328813488591,"27132_at","CPNE7"
"28969_at",1.12840673563675,10.0417519374153,8.8904639363179,9.7259023478196e-12,1.55644831009951e-10,16.5648090678302,"28969_at","BZW2"
"169792_at",1.12819801048245,7.60342594173206,7.59027059561531,8.85962101178746e-10,5.39799157660483e-09,12.1076421596116,"169792_at","GLIS3"
"10346_at",1.1281968082928,9.47761543028689,4.68123622497622,2.34042975771121e-05,4.16917672466792e-05,2.11664872443751,"10346_at","TRIM22"
"57190_at",-1.12815090991616,9.16677158354911,-9.93064557408015,2.95329883598134e-13,1.20311290936217e-11,20.0162240731372,"57190_at","SELENON"
"54899_at",1.12808673534973,6.55900144333018,7.34093910174317,2.13312813229502e-09,1.11981026811715e-08,11.2403366651786,"54899_at","PXK"
"29850_at",-1.12804203570254,5.4864326274887,-9.96563081005603,2.63174683480223e-13,1.11843780423421e-11,20.1300233517404,"29850_at","TRPM5"
"11130_at",1.12749236521209,9.56093177504669,5.48711435992625,1.48221813727752e-06,3.33206280992019e-06,4.80500053517787,"11130_at","ZWINT"
"6745_at",1.12743047803251,8.55439887125802,8.2399435762819,9.13744210412052e-11,8.97274036724855e-10,14.3513778625566,"6745_at","SSR1"
"51426_at",1.1274090127132,5.91767638146376,8.71500288487944,1.77272475669274e-11,2.50646275998871e-10,15.9716557943546,"51426_at","POLK"
"1478_at",1.12734921501195,5.74764513073003,11.2266555626494,4.49578792463706e-15,6.87251640658698e-13,24.1427261789193,"1478_at","CSTF2"
"283229_at",-1.12715755158287,7.40879945268538,-5.8320138898133,4.43332723248618e-07,1.12992752308382e-06,5.9872311126261,"283229_at","CRACR2B"
