gene_symbol,logfc_dz:496,logfc_dz:741,logfc_dz:941,logfc_dz:940,logfc_dz:1080,logfc_dz:788,mean_logfc,median_logfc,common_experiment,organism,signature_type
TNS3,,0.0205251667648553,,,,,0.0205251667648553,0.0205251667648553,0.0205251667648553,human,UP
SARAF,0.0213476531207561,0.0179342608898878,,,,0.0220368281006813,0.020439580703775,0.0213476531207561,0.0179342608898878,human,UP
RPL32,,0.0539327301084995,0.0556638799607753,0.0132942851632833,-0.0556893311440944,0.0348819009959697,0.0204166930168867,0.0348819009959697,0.0539327301084995,human,UP
KLHL2,0.0370270647108554,0.0349245481193065,-0.01090401224792,,,,0.0203492001940806,0.0349245481193065,0.0349245481193065,human,UP
BCAS1,0.043671615421772,0.0265277437865734,,,-0.011932753957808,,0.0194222017501791,0.0265277437865734,0.0265277437865734,human,UP
DDX5,0.0275022312998771,0.0427309274673461,-0.0100878775119781,0.0169997997581958,-0.0075111482292413,0.0453327074646949,0.0191611067081491,0.0222510155290365,0.0427309274673461,human,UP
VAPA,0.0219189189374446,0.0514831691980361,,,-0.0159765370190143,,0.0191418503721555,0.0219189189374446,0.0514831691980361,human,UP
SRP14,0.0250761620700359,,0.041566539555788,,-0.0098144188523292,,0.0189427609244982,0.0250761620700359,,human,UP
PCDH9,,,0.0288670510053634,0.0330697670578956,-0.0116965128108859,,0.0167467684174577,0.0288670510053634,,human,UP
PABPC3,0.0301796738058328,,,0.0359193310141563,,-0.0162713099271059,0.0166092316309611,0.0301796738058328,,human,UP
ERH,0.0120074059814214,,0.0303243082016706,-0.0198043398559093,0.0424993298947811,,0.0162566760554909,0.021165857091546,,human,UP
SST,0.028302501887083,0.0321146510541439,,-0.0161002948880195,0.0145617742091417,,0.0147196580655872,0.0214321380481123,0.0321146510541439,human,UP
RPL41,-0.0221745260059833,0.1720177233219146,0.0825798287987709,-0.0235267672687768,-0.2367844134569168,0.1021645218133926,0.0123793945337335,0.0302026513963937,0.1720177233219146,human,UP
DENND5A,0.0264831967651844,-0.0110554229468107,0.0205106064677238,,,,0.0119794600953658,0.0205106064677238,-0.0110554229468107,human,UP
RPS15A,0.0244960281997919,,,,-0.0166423115879297,0.0279758721590042,0.0119431962569554,0.0244960281997919,,human,UP
RPS8,0.0200129132717847,,,0.0230164788663387,-0.0077564194798469,,0.0117576575527588,0.0200129132717847,,human,UP
ATF4,,0.0120972674340009,0.036490298807621,0.0389961898326873,,-0.0428644195199012,0.011179834138602,0.0242937831208109,0.0120972674340009,human,UP
SNX3,,,0.0314930006861686,0.0336082391440868,,-0.0334780141711235,0.0105410752197106,0.0314930006861686,,human,UP
DPYSL2,0.0518434680998325,0.0816298425197601,0.0101330196484923,,-0.1048305183649063,,0.0096939529757946,0.0309882438741624,0.0816298425197601,human,UP
GPM6B,,0.0346361920237541,0.0402186922729015,0.0461456850171089,-0.0833046287298202,,0.009423985145986,0.0374274421483278,0.0346361920237541,human,UP
FTL,0.0214593596756458,0.03828876465559,-0.0390370599925518,0.020363975316286,-0.0461184158921241,0.0394276864826679,0.0057307183742523,0.0209116674959659,0.03828876465559,human,UP
HBD,,,,,,-0.2287597507238388,-0.2287597507238388,-0.2287597507238388,,human,DOWN
ALAS2,,,,,,-0.2015658468008041,-0.2015658468008041,-0.2015658468008041,,human,DOWN
CLC,,,,,,-0.124914176762104,-0.124914176762104,-0.124914176762104,,human,DOWN
ALDH1A1,,,-0.0184252392500638,-0.1627354472875595,,,-0.0905803432688117,-0.0905803432688117,,human,DOWN
ADIPOR1,,,,,,-0.0822882354259491,-0.0822882354259491,-0.0822882354259491,,human,DOWN
SELENBP1,,,,,,-0.076428398489952,-0.076428398489952,-0.076428398489952,,human,DOWN
CFL1,-0.262313961982727,0.0655847564339637,-0.0497035458683967,,-0.1178643777966499,-0.0177828893065452,-0.076416003704071,-0.0497035458683967,0.0655847564339637,human,DOWN
SELL,,,,,,-0.0682522431015968,-0.0682522431015968,-0.0682522431015968,,human,DOWN
LTA4H,,,,,,-0.0680290386080741,-0.0680290386080741,-0.0680290386080741,,human,DOWN
GLRX5,,,,,,-0.066819317638874,-0.066819317638874,-0.066819317638874,,human,DOWN
SLC4A1,,,,,,-0.0647783502936363,-0.0647783502936363,-0.0647783502936363,,human,DOWN
R3HDM4,,,,,,-0.0639196559786796,-0.0639196559786796,-0.0639196559786796,,human,DOWN
SERPINA3,-0.0768956318497657,-0.139513611793518,-0.1416631639003753,0.089450255036354,-0.0385719425976276,,-0.0614388190209865,-0.0768956318497657,-0.139513611793518,human,DOWN
TUBA1A,0.077752836048603,0.203721672296524,-0.1170417889952659,-0.1494091749191284,-0.444697231054306,0.062098030000925,-0.061262609437108,-0.0274718794971704,0.203721672296524,human,DOWN
FCN1,,,,,,-0.0561706610023975,-0.0561706610023975,-0.0561706610023975,,human,DOWN
QDPR,-0.0543261989951133,,,,-0.0560509711503982,,-0.0551885850727558,-0.0551885850727558,,human,DOWN
CD247,,,,,,-0.0551017560064792,-0.0551017560064792,-0.0551017560064792,,human,DOWN
PLAC8,,,,,,-0.0543167442083358,-0.0543167442083358,-0.0543167442083358,,human,DOWN
NDRG4,,,,-0.0505292117595672,,,-0.0505292117595672,-0.0505292117595672,,human,DOWN
MOBP,-0.0186224803328514,-0.0424661114811897,-0.0801835507154464,-0.0858255475759506,-0.0252609830349683,,-0.0504717346280813,-0.0424661114811897,-0.0424661114811897,human,DOWN
IFI30,,,,,,-0.0494185090065002,-0.0494185090065002,-0.0494185090065002,,human,DOWN
PEG10,,,,-0.0483612827956676,,,-0.0483612827956676,-0.0483612827956676,,human,DOWN
EEF1A1,,0.2096765339374542,,,-0.1798063963651657,-0.1742469072341919,-0.0481255898873011,-0.1742469072341919,0.2096765339374542,human,DOWN
MPP1,,,,,,-0.0466343872249126,-0.0466343872249126,-0.0466343872249126,,human,DOWN
TUBB2A,0.0824642106890678,,-0.0442675128579139,-0.2204308211803436,-0.0217436961829662,-0.0280764233320951,-0.0464108485728502,-0.0280764233320951,,human,DOWN
PAQR6,0.0193339902907609,0.0648242682218551,-0.0483734533190727,-0.1384927481412887,-0.1279427260160446,,-0.0461301337927579,-0.0483734533190727,0.0648242682218551,human,DOWN
CNP,0.0330843664705753,-0.1600192189216613,0.0155896069481968,-0.0264389719814062,-0.0909962505102157,,-0.0457560935989022,-0.0264389719814062,-0.1600192189216613,human,DOWN
TUBA1C,,-0.0164776258170604,,-0.0463094487786293,-0.1426441967487335,0.0235394015908241,-0.0454729674383997,-0.0313935372978448,-0.0164776258170604,human,DOWN
ACTG1,,0.0276117678731679,-0.0619280748069286,-0.0874077007174491,-0.0714713931083679,-0.0308492928743362,-0.0448089387267828,-0.0619280748069286,0.0276117678731679,human,DOWN
APLP1,-0.0583202950656414,-0.0609049424529075,-0.0162702221423387,-0.0564043149352073,-0.0318446084856987,,-0.0447488766163587,-0.0564043149352073,-0.0609049424529075,human,DOWN
MKRN1,,,,,,-0.0445510149002075,-0.0445510149002075,-0.0445510149002075,,human,DOWN
SLC6A3,,,-0.0156651306897401,-0.073275938630104,,,-0.0444705346599221,-0.0444705346599221,,human,DOWN
MAP1B,,,-0.0444448143243789,,,,-0.0444448143243789,-0.0444448143243789,,human,DOWN
PADI2,-0.0488071329891681,-0.0410255342721939,,,-0.043331891298294,,-0.044388186186552,-0.043331891298294,-0.0410255342721939,human,DOWN
GBE1,,,-0.0157500077039003,-0.0696470215916633,,,-0.0426985146477818,-0.0426985146477818,,human,DOWN
NDUFA13,,,,-0.0417997166514396,,,-0.0417997166514396,-0.0417997166514396,,human,DOWN
SYNGR3,,,,-0.0406337678432464,,,-0.0406337678432464,-0.0406337678432464,,human,DOWN
FBXO7,-0.0196322984993457,-0.0307689867913723,,,-0.0140715008601546,-0.0932090133428573,-0.0394204498734325,-0.025200642645359,-0.0307689867913723,human,DOWN
APLNR,-0.0591918304562568,-0.0444949865341186,,-0.0155985681340098,-0.0350627079606056,,-0.0385870232712477,-0.0397788472473621,-0.0444949865341186,human,DOWN
HMGN2,,-0.0276535563170909,,-0.0234500765800476,-0.0155832720920443,-0.0872740596532821,-0.0384902411606162,-0.0255518164485692,-0.0276535563170909,human,DOWN
RNF10,,,,,,-0.0383627153933048,-0.0383627153933048,-0.0383627153933048,,human,DOWN
KDM5D,,-0.0378225333988666,,,,,-0.0378225333988666,-0.0378225333988666,-0.0378225333988666,human,DOWN
MYLK,-0.0211910046637058,-0.0574909783899784,,,-0.0344762355089187,,-0.0377194061875343,-0.0344762355089187,-0.0574909783899784,human,DOWN
EPB42,,,,,,-0.037578035145998,-0.037578035145998,-0.037578035145998,,human,DOWN
RPS15,-0.0768692344427108,0.0731632485985755,,,-0.091230571269989,-0.0543829202651977,-0.0373298693448305,-0.0656260773539543,0.0731632485985755,human,DOWN
MXRA7,-0.0439431518316268,-0.0299913249909877,,,,,-0.0369672384113073,-0.0369672384113073,-0.0299913249909877,human,DOWN
ANP32B,-0.0598988719284534,,,-0.0163589380681514,-0.0502591989934444,-0.0208076350390911,-0.0368311610072851,-0.0355334170162677,,human,DOWN
B2M,-0.0126860411837697,0.0789385512471199,,,-0.0352590046823024,-0.1761946976184845,-0.0363002980593591,-0.023972522933036,0.0789385512471199,human,DOWN
BLVRB,,,,,,-0.0362200923264026,-0.0362200923264026,-0.0362200923264026,,human,DOWN
RCAN2,0.0207283236086368,,-0.029424775391817,-0.0993392467498779,,,-0.0360118995110193,-0.029424775391817,,human,DOWN
PI3,,,,,,-0.0355648286640644,-0.0355648286640644,-0.0355648286640644,,human,DOWN
HLA-DQA2,,,,,,-0.0348771661520004,-0.0348771661520004,-0.0348771661520004,,human,DOWN
ATP6V1B2,,,-0.0195243060588836,-0.049583300948143,,,-0.0345538035035133,-0.0345538035035133,,human,DOWN
GABRB1,,,,-0.0344433411955833,,,-0.0344433411955833,-0.0344433411955833,,human,DOWN
USP11,,,,-0.0342505425214767,,,-0.0342505425214767,-0.0342505425214767,,human,DOWN
SLC1A3,-0.0428551621735096,,,,-0.0253090318292379,,-0.0340820970013737,-0.0340820970013737,,human,DOWN
LGALS3,,,,,,-0.0337914898991584,-0.0337914898991584,-0.0337914898991584,,human,DOWN
AHSP,,,,,,-0.0335344076156616,-0.0335344076156616,-0.0335344076156616,,human,DOWN
RPL21,-0.0713760405778884,0.0136402416974306,-0.0300601981580257,-0.0573887154459953,-0.0653761625289917,0.0118147302418947,-0.0331243574619293,-0.0437244568020105,0.0136402416974306,human,DOWN
RPS4X,-0.0540973357856273,0.0673364028334617,,,-0.0984144210815429,-0.0466399751603603,-0.0329538322985172,-0.0503686554729938,0.0673364028334617,human,DOWN
HK1,,,,-0.0243626050651073,,-0.0414433553814888,-0.032902980223298,-0.032902980223298,,human,DOWN
PEA15,,0.010110592469573,-0.0604607164859771,-0.0671523287892341,-0.0140445977449417,,-0.032886762637645,-0.0372526571154594,0.010110592469573,human,DOWN
DYNC1I2,-0.0557370148599147,-0.0298299584537744,,-0.0185935869812965,-0.0254107508808374,,-0.0323928277939558,-0.0276203546673059,-0.0298299584537744,human,DOWN
MAL,-0.0129237668588757,-0.0725554674863815,-0.0179017148911952,-0.0282092001289129,-0.0491516925394535,-0.0131016792729496,-0.0323072535296281,-0.0230554575100541,-0.0725554674863815,human,DOWN
GABARAPL3,,0.0098575204610824,-0.0133971804752945,-0.0782259404659271,-0.047400664538145,,-0.032291566254571,-0.0303989225067198,0.0098575204610824,human,DOWN
TM9SF2,,,,,,-0.0321567393839359,-0.0321567393839359,-0.0321567393839359,,human,DOWN
GNG3,,,,-0.0319792404770851,,,-0.0319792404770851,-0.0319792404770851,,human,DOWN
GZMB,,,,,,-0.0315012633800506,-0.0315012633800506,-0.0315012633800506,,human,DOWN
RALYL,,,,-0.0314605385065078,,,-0.0314605385065078,-0.0314605385065078,,human,DOWN
CTSW,,,,,,-0.0311609469354152,-0.0311609469354152,-0.0311609469354152,,human,DOWN
PRKAR2B,,,,-0.0309297069907188,,,-0.0309297069907188,-0.0309297069907188,,human,DOWN
PIN1,,,,-0.0307143349200487,,,-0.0307143349200487,-0.0307143349200487,,human,DOWN
RPL7A,-0.0280142743140459,-0.0154731282964348,,,-0.0480192638933658,,-0.0305022221679488,-0.0280142743140459,-0.0154731282964348,human,DOWN
WAS,,,,,,-0.0303466916084289,-0.0303466916084289,-0.0303466916084289,,human,DOWN
ACTR10,,,-0.0136239463463425,-0.047016754746437,,,-0.0303203505463898,-0.0303203505463898,,human,DOWN
RPS11,-0.0149546833708882,,,,-0.0452703982591629,,-0.0301125408150255,-0.0301125408150255,,human,DOWN
UCP2,,,,,,-0.029857138171792,-0.029857138171792,-0.029857138171792,,human,DOWN
WLS,-0.0296062715351581,,,,,,-0.0296062715351581,-0.0296062715351581,,human,DOWN
DCAF6,,,-0.0877233296632766,0.0285610184073448,,,-0.0295811556279659,-0.0295811556279659,,human,DOWN
SPARCL1,-0.0497620962560176,0.040192387998104,-0.069367691874504,-0.0250792168080806,-0.0422254428267478,,-0.0292484119534492,-0.0422254428267478,0.040192387998104,human,DOWN
PMP22,0.0187948290258646,-0.0723544284701347,,,-0.0341234169900417,,-0.0292276721447706,-0.0341234169900417,-0.0723544284701347,human,DOWN
CSTA,,,,,,-0.0288696121424436,-0.0288696121424436,-0.0288696121424436,,human,DOWN
TOMM20,,,-0.0287558902055025,,,,-0.0287558902055025,-0.0287558902055025,,human,DOWN
SNCA,,,-0.011451126076281,-0.0284502152353525,,-0.0456727519631385,-0.0285246977582573,-0.0284502152353525,,human,DOWN
KCNJ6,,,-0.0125738270580768,-0.0435923412442207,,,-0.0280830841511487,-0.0280830841511487,,human,DOWN
ANAPC13,,,,-0.0280588306486606,,,-0.0280588306486606,-0.0280588306486606,,human,DOWN
RGS4,,,,-0.0279737748205661,,,-0.0279737748205661,-0.0279737748205661,,human,DOWN
ZFYVE16,,-0.0329134240746498,,,-0.0229033976793289,,-0.0279084108769893,-0.0279084108769893,-0.0329134240746498,human,DOWN
GPX3,-0.024999501183629,-0.017415827140212,-0.0459561347961425,-0.0395375229418277,-0.0075884838588535,,-0.027099493984133,-0.024999501183629,-0.017415827140212,human,DOWN
PRF1,,,,,,-0.0267345234751701,-0.0267345234751701,-0.0267345234751701,,human,DOWN
S100A13,,,,-0.0266808252781629,,,-0.0266808252781629,-0.0266808252781629,,human,DOWN
SLC18A2,,,-0.0146609945222735,-0.038626879453659,,,-0.0266439369879663,-0.0266439369879663,,human,DOWN
DYSF,,,,,,-0.0265744496136903,-0.0265744496136903,-0.0265744496136903,,human,DOWN
RPLP0,-0.0123285520821809,-0.0299126617610454,-0.0256145689636468,,-0.0246887151151895,-0.040088728070259,-0.0265266451984643,-0.0256145689636468,-0.0299126617610454,human,DOWN
CERS1,-0.0170390643179416,-0.042781013995409,,-0.0176551397889852,-0.0285889022052288,,-0.0265160300768911,-0.023122020997107,-0.042781013995409,human,DOWN
SERPINE2,-0.0431651100516319,-0.0098575996235013,,,,,-0.0265113548375666,-0.0265113548375666,-0.0098575996235013,human,DOWN
OFD1,,-0.0264749061316251,,,,,-0.0264749061316251,-0.0264749061316251,-0.0264749061316251,human,DOWN
PRODH,-0.026543928310275,-0.0262990798801183,,,,,-0.0264215040951967,-0.0264215040951967,-0.0262990798801183,human,DOWN
RHOB,-0.0419030897319316,0.0100261000916361,,,-0.0464470759034156,,-0.0261080218479037,-0.0419030897319316,0.0100261000916361,human,DOWN
BHLHE41,,-0.0259042810648679,,,,,-0.0259042810648679,-0.0259042810648679,-0.0259042810648679,human,DOWN
IFIT1,,,,,,-0.0257376972585916,-0.0257376972585916,-0.0257376972585916,,human,DOWN
STMN2,,0.0220700502395629,,-0.0734613761305809,,,-0.0256956629455089,-0.0256956629455089,0.0220700502395629,human,DOWN
VBP1,,,,-0.0365511327981948,-0.0145660163834691,,-0.0255585745908319,-0.0255585745908319,,human,DOWN
ACSBG1,-0.0342050530016422,-0.0248177032917737,,,-0.0175510812550783,,-0.0255246125161647,-0.0248177032917737,-0.0248177032917737,human,DOWN
MYOM2,,,,,,-0.0255167074501514,-0.0255167074501514,-0.0255167074501514,,human,DOWN
MARCKSL1,0.0473320856690406,,,-0.0776028335094451,-0.0453855879604816,,-0.0252187786002953,-0.0453855879604816,,human,DOWN
CCL5,,,,,,-0.0251907091587781,-0.0251907091587781,-0.0251907091587781,,human,DOWN
HIGD1A,-0.0252743158489465,,,-0.0250961929559707,-0.0248042494058609,,-0.025058252736926,-0.0250961929559707,,human,DOWN
DCTN6,,,,-0.024911418557167,,,-0.024911418557167,-0.024911418557167,,human,DOWN
RTN1,,,,-0.0383923687040805,-0.0112222591415047,,-0.0248073139227926,-0.0248073139227926,,human,DOWN
TH,0.0133706852793693,,,-0.0628025233745575,,,-0.024715919047594,-0.024715919047594,,human,DOWN
BACE1,,-0.0333292558789253,,,-0.0160221401602029,,-0.0246756980195641,-0.0246756980195641,-0.0333292558789253,human,DOWN
PLD3,,,,-0.0246374271810054,,,-0.0246374271810054,-0.0246374271810054,,human,DOWN
DDR1,-0.0207567550241947,-0.0474371798336505,-0.0195554587990045,,-0.0105971125885844,,-0.0245866265613585,-0.0201561069115996,-0.0474371798336505,human,DOWN
RPL27A,-0.0165165029466152,,,,-0.0280343946069479,-0.0286953467875719,-0.0244154147803783,-0.0280343946069479,,human,DOWN
TRIM58,,,,,,-0.0243693441152572,-0.0243693441152572,-0.0243693441152572,,human,DOWN
KRT1,,,,,,-0.0242969244718551,-0.0242969244718551,-0.0242969244718551,,human,DOWN
FAM117A,,,,,,-0.0242744144052267,-0.0242744144052267,-0.0242744144052267,,human,DOWN
